date,window_start,window_end,n_days,p_uu,p_du,p_ud,p_dd,mu_u,sig_u,mu_d,sig_d,last_up,p_u,ai_loss,ai_adam
2019-09-03,2018-03-05,2019-09-03,378,0.5448977296228771,0.4551022703771229,0.5307880233952751,0.46921197660472497,0.0140604511168836,0.015200941853606714,0.013619218868750529,0.013849233944936968,1.0,0.5570291777188329,0.10503146817657008,1.0
2019-09-30,2018-04-02,2019-09-30,378,0.6083693021068871,0.3916306978931129,0.5007807573468583,0.4992192426531417,0.019138293129894526,0.01848541056651329,0.013019879811567532,0.013373702790752619,1.0,0.5517241379310345,0.36893858809047353,1.0
2019-10-31,2018-05-01,2019-10-31,380,0.6063039843301559,0.39369601566984413,0.5603759572505558,0.4396240427494442,0.01977762061554705,0.015700774419463125,0.01065583925757504,0.011366946824883591,0.0,0.5461741424802111,0.4527786210155831,1.0
2019-11-30,2018-05-31,2019-11-29,379,0.5882903844475291,0.4117096155524709,0.5205849488078109,0.4794150511921891,0.015912304787439005,0.014633087043258348,0.013874814959295493,0.011706678356230883,0.0,0.5396825396825397,0.18484314900366147,1.0
2019-12-31,2018-07-02,2019-12-31,378,0.5946559416836756,0.40534405831632436,0.5093370316644117,0.49066296833558826,0.01665525634426332,0.013434744090809459,0.014529093544759323,0.010592059175717402,1.0,0.5358090185676393,0.2077770173256479,1.0
2020-01-31,2018-08-01,2020-01-31,378,0.5279085388721274,0.4720914611278726,0.49757924343379467,0.5024207565662053,0.006571758399446517,0.013282996701169877,0.008198856021412466,0.020112583383542954,1.0,0.5278514588859416,0.14325538314829145,1.0
2020-02-29,2018-08-30,2020-02-28,376,0.5242701144825316,0.4757298855174684,0.48413819494571986,0.5158618050542801,0.007468012552951361,0.01517385114918551,0.007739167234472072,0.024631572344354216,0.0,0.5146666666666667,0.1910040946916594,1.0
2020-03-31,2018-10-01,2020-03-31,377,0.4962387080836953,0.5037612919163047,0.5146810080629587,0.48531899193704137,0.008290327393955067,0.017266085900268426,0.006677029038747635,0.029221830624618243,0.0,0.5132978723404256,0.25806393130335026,1.0
2020-04-30,2018-10-31,2020-04-30,376,0.5468778944377655,0.45312210556223453,0.5095715544022223,0.4904284455977777,0.008029555014639716,0.01879758373607968,0.008265998723094104,0.023308333227816436,1.0,0.5333333333333333,0.12492406290428922,1.0
2020-05-31,2018-12-03,2020-05-29,374,0.5280568285365479,0.4719431714634521,0.5629828477226237,0.4370171522773763,0.008857887467278282,0.01034414703819376,0.011257874949463285,0.016362585258120333,1.0,0.5427807486631016,0.2128020913579574,1.0
2020-06-30,2018-12-31,2020-06-30,378,0.5685319240273435,0.43146807597265646,0.5415399922664195,0.4584600077335806,0.012563567840711267,0.009918779243378,0.01301961263320916,0.010917624537583135,1.0,0.5582010582010583,0.15022687693506745,1.0
2020-07-31,2019-02-01,2020-07-31,378,0.5836085918272254,0.41639140817277465,0.5484241538245638,0.4515758461754362,0.007874014654694637,0.018857787528945902,0.005816160258837618,0.023849360742655104,1.0,0.5502645502645502,0.19852393319311834,1.0
2020-08-31,2019-03-01,2020-08-31,380,0.5128385991543432,0.48716140084565684,0.549555651354935,0.450444348645065,0.006388365704443296,0.026807239555102,0.004440844245448493,0.0342123854911487,1.0,0.5526315789473685,1.5171477989077764,1.0
