date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0,lam,mu_j,sigma_j,kappa_j,eta_v,kappa_q,theta_q,v0_q,mu_j_q,kappa_j_q,n_quotes,q_success,q_explosive,jump_premium_identified
2018-10-01,2017-04-03,2018-10-01,378,0.32112713357878214,20.0,0.04325200634813462,3.0,0.15568748788527975,0.04654308931922359,6.0,0.01641141028167523,0.044047327415219203,0.01753343099324889,-0.2878052342622379,20.287805234262237,0.04263842820719732,0.010384408331659737,-0.07152818828575173,-0.06812640833827388,24,True,False,True
2018-10-31,2017-05-01,2018-10-31,381,0.2937341490088637,20.0,0.048731818850733764,3.0,0.10312012622104841,0.11218766208370293,4.6299212598425195,0.008483948132570949,0.049819203218645865,0.009772365378007075,-40.0,60.0,0.016243939616911254,0.3476241855293987,-0.10844934377552455,-0.10166153084771412,24,True,False,True
2018-11-30,2017-05-31,2018-11-30,381,0.11418621079817849,20.0,0.058392444929448444,3.0,-0.014516703052451752,0.21448395150228255,4.6299212598425195,-0.00956025357308026,0.056196135715693325,-0.00794948512267657,-18.141210498203943,38.14121049820395,0.0306190832261069,0.12476802000128363,-0.112009764055305,-0.10455167220764072,24,True,False,True
2018-12-31,2017-07-03,2018-12-31,377,0.07580395241847175,20.0,0.06589811826787799,3.0,0.0419785132232876,0.17921733111715363,3.3421750663129974,-0.008796800296079432,0.06576383040245233,-0.006612400825458442,-14.176110778412804,34.176110778412806,0.03856384870422544,0.24583210027957872,-0.2181973910747186,-0.19429285838948596,24,True,False,True
2019-01-31,2017-08-01,2019-01-31,378,0.08994102876989363,20.0,0.0786561711059434,3.0,-0.14676798048733267,0.2477315863064549,3.3333333333333335,0.003567342582859734,0.08356572024396625,0.007083930549395934,-40.0,60.0,0.026218723701981136,0.29724008185590184,-0.04226481472205211,-0.038031140980615,24,True,False,True
2019-02-28,2017-08-29,2019-02-28,377,0.06190275038059058,20.0,0.07678857138254336,3.0,-0.15925598804579882,0.07642177450368642,3.3421750663129974,0.003567342582859734,0.08356572024396625,0.007083930549395934,-40.0,60.0,0.025596190460847785,0.02957989160324833,-0.050561625700417764,-0.04597939658927486,24,True,False,True
2019-03-31,2017-10-02,2019-03-29,375,0.15576893669898945,20.0,0.0785022140712066,3.0,-0.14356559899812624,0.05128580759892521,3.36,0.003567342582859734,0.08356572024396625,0.007083930549395934,-38.071915169058826,58.071915169058826,0.027036206346104184,0.17973238555809498,-0.01562979810432109,-0.012064812719316698,24,True,False,True
2019-04-30,2017-10-31,2019-04-30,375,0.13985378454532554,20.0,0.07764359997921016,3.0,-0.1458236100718641,0.021542232069974132,3.36,0.003567342582859734,0.08356572024396625,0.007083930549395934,-40.0,60.0,0.025881199993070054,0.19333433334132535,-0.02734805367677721,-0.023574123508057654,24,True,False,True
2019-05-31,2017-12-01,2019-05-31,375,0.027947594279138555,20.0,0.08256459003269474,3.0,-0.16417920092309327,0.09637399265767854,4.032,-0.00700668683419677,0.07910400918152581,-0.0038704551052450853,-36.100923990659304,56.100923990659304,0.029434306660061995,0.11080554751167822,-0.09858982555001096,-0.09104628383908664,23,True,False,True
2019-06-30,2018-01-02,2019-06-28,375,0.1207106709044247,20.0,0.08432727090589029,3.0,-0.1556939215848628,0.05616821301917107,4.032,-0.00700668683419677,0.07910400918152581,-0.0038704551052450853,-40.0,60.0,0.028109090301963433,0.07250811828157372,-0.08888927111851784,-0.08218602360105853,24,True,False,True
2019-07-31,2018-02-01,2019-07-31,376,0.17689548687403686,20.0,0.08456640160434285,3.0,-0.15384574410320662,0.0291310693795416,4.0212765957446805,-0.00700668683419677,0.07910400918152581,-0.0038704551052450853,-40.0,60.0,0.028188800534780952,0.1401415290313689,-0.02088470947692834,-0.01759927867584965,24,True,False,True
2019-08-31,2018-03-01,2019-08-30,379,0.12060112010483834,20.0,0.08521016184499014,3.0,-0.1851115798976779,0.13281679703097612,3.9894459102902373,-0.00700668683419677,0.07910400918152581,-0.0038704551052450853,-20.9540676847378,40.9540676847378,0.04161255116387137,0.06617543670913842,-0.10047027161540176,-0.0927539162197748,24,True,False,True
2019-09-30,2018-04-02,2019-09-30,378,0.20773796769561148,20.0,0.08411265915295381,3.0,-0.19531473537966604,0.04417293986767099,4.0,-0.00700668683419677,0.07910400918152581,-0.0038704551052450853,-27.021587568090535,47.02158756809054,0.035776188556438174,0.028853902241082682,-0.08785633438648635,-0.08123749002841696,24,True,False,True
