date,window_start,window_end,n_days,mu,sigma
2008-08-01,2007-02-02,2008-08-01,378,0.40966002063602613,0.4043838942227817
2008-08-31,2007-03-01,2008-08-29,380,0.4608795079658626,0.403951284001977
2008-09-30,2007-04-02,2008-09-30,379,0.13403233465830136,0.45813817957919273
2008-10-31,2007-05-01,2008-10-31,382,0.04958187056390587,0.5079694787118463
2008-11-30,2007-05-31,2008-11-28,380,-0.16455874763134623,0.5350105495646631
2008-12-31,2007-07-02,2008-12-31,380,-0.2371375047258022,0.5444151887957593
2009-01-31,2007-08-01,2009-01-30,379,-0.25248457715781314,0.5463698725690787
2009-02-28,2007-08-29,2009-02-27,378,-0.2337702045797036,0.5451262497315202
2009-03-31,2007-10-01,2009-03-31,378,-0.2522685507957175,0.5489899625445105
2009-04-30,2007-10-31,2009-04-30,377,-0.26481837939384756,0.5483826971875129
2009-05-31,2007-12-03,2009-05-29,375,-0.1975393789216882,0.5402260879034951
2009-06-30,2007-12-31,2009-06-30,378,-0.22574451477619278,0.5367791406776654
2009-07-31,2008-02-01,2009-07-31,378,0.1254678131854119,0.5177774266939869
