timestamp,S_t,p25,p50,p75
2018-10-01,291.649787,291.649787,291.649787,291.649787
2018-10-02,291.540791,291.1357787412536,291.81899643436486,292.5377780854766
2018-10-03,291.751724,291.0609968826281,292.1210504716305,293.07595487184733
2018-10-04,289.436923,291.09155914059556,292.3730052319936,293.515217700396
2018-10-05,287.8384,291.0506420183578,292.58856545196556,293.95911229355033
2018-10-08,287.72446,291.00018306117073,292.80406465745006,294.39548162398256
2018-10-09,287.3985,290.9294325491064,293.02430684609817,294.85687071068395
2018-10-10,277.964682,290.84053122324997,293.26513626461497,295.30607078834174
2018-10-11,272.250941,290.8736013087403,293.4970541651837,295.7334564324143
2018-10-12,276.142418,290.88243409542906,293.7177978063083,296.15542069713104
2018-10-15,274.519374,290.8450475163099,293.9460623400789,296.58529778483734
2018-10-16,280.420498,290.87616975249585,294.1593976006819,297.0146790122924
2018-10-17,280.360867,290.7978428694819,294.40311328529066,297.3799578171475
2018-10-18,276.354889,290.8073134821776,294.6481011453374,297.80045326364603
2018-10-19,276.260451,290.84308679879615,294.89725004045124,298.28644241469544
2018-10-22,275.080978,290.79504807964383,295.0837048605545,298.624272646737
2018-10-23,273.579373,290.77814845592997,295.22949286121377,299.0895051816625
2018-10-24,265.142478,290.7694357196888,295.5479697809812,299.5426736520232
2018-10-25,270.074991,290.8030976860946,295.71822616821396,299.9658097858087
2018-10-26,265.400278,290.7413882487799,295.998049827841,300.40887728831154
2018-10-29,263.663397,290.81879933777736,296.1978269529647,300.8749930256146
2018-10-30,267.813327,290.74237706374146,296.40533500292827,301.2497353525081
2018-10-31,270.723004,290.7636368008548,296.6348032103767,301.6305191939765
2018-11-01,273.584945,290.81778928880215,296.8144408634161,301.9748455882364
2018-11-02,271.882733,290.777832611756,296.93071048821673,302.30220210944293
2018-11-05,273.409676,290.7403290969064,297.08130356220454,302.5649842972498
2018-11-06,275.137807,290.66348795482395,297.1900567385168,302.84464657516503
2018-11-07,280.964928,290.49247373515857,297.3362405082835,303.23325032627326
2018-11-08,280.407242,290.3442481419341,297.39609016677366,303.5197688495002
2018-11-09,277.878836,290.16284044331724,297.5371311284247,303.8118204091425
2018-11-12,272.425741,289.9725622272007,297.693511412801,304.1169534393045
2018-11-13,272.031962,289.9966315859396,297.8775469173503,304.38991544089913
2018-11-14,270.048832,289.89572291780246,298.00611918117573,304.6251629304797
2018-11-15,272.988656,289.8071636023124,298.1791322190004,304.9698332056523
2018-11-16,273.610424,289.74854228539425,298.28524065409397,305.34779950843324
2018-11-19,269.080766,289.7413745291078,298.38704449143125,305.5651211002779
2018-11-20,264.232148,289.7386986468547,298.4235333292386,305.8986294755974
2018-11-21,265.054563,289.66455367140605,298.58270291879484,306.2757467253151
2018-11-23,263.334453,289.51057131785143,298.679997496365,306.66008474611533
2018-11-26,267.439415,289.4355054319579,298.8700551891547,307.00354746101516
2018-11-27,268.310398,289.24866340547527,298.96012325809585,307.2856370670805
2018-11-28,274.465522,289.2575246404524,299.08256540303125,307.70876514253337
2018-11-29,273.930031,289.1387999391102,299.2479812162836,308.0388721715502
2018-11-30,276.209553,288.9960830047596,299.3038942938839,308.27722657345106
2018-12-03,279.217779,289.0196901706289,299.4785053777442,308.4412048312884
2018-12-04,270.231278,289.036481606633,299.6650796547719,308.7713588095799
2018-12-06,269.905158,288.83127691977126,299.8228827378964,309.0794322024135
2018-12-07,263.679846,288.9101604075367,299.98712997801425,309.36482550787633
2018-12-10,264.143101,288.7583696301591,300.1132945153971,309.78740689545293
2018-12-11,264.062127,288.70577369000046,300.1899784980287,309.9401295239865
2018-12-12,265.488438,288.66093079867477,300.33215640455796,310.32636559788597
2018-12-13,265.483314,288.4302381936752,300.30128772131604,310.48917234744636
2018-12-14,260.471217,288.443638295136,300.3298783916383,310.7985524430143
2018-12-17,255.102188,288.39001707453133,300.5770992093342,310.9831987775142
2018-12-18,255.139243,288.3996158259549,300.59976282800454,311.4800926445097
2018-12-19,251.254942,288.3415423548121,300.6843116634658,311.6264846855628
2018-12-20,247.319284,288.3107330982631,300.84129493208485,311.8710323581968
2018-12-21,240.819043,288.36855600027536,301.01076850492063,312.27793361473107
2018-12-24,234.313158,288.0848511436316,301.04115407268233,312.5880752313734
2018-12-26,245.929637,287.87065237210226,301.174595247287,313.09240576524746
2018-12-27,248.055579,287.8408801109199,301.3166013493246,313.30037370923895
2018-12-28,247.786909,287.63990085153,301.4810721039423,313.47802287136324
2018-12-31,249.920282,287.63591550896064,301.4048601444708,313.74135145998383
2019-01-02,250.240552,287.5452302150546,301.5006291345504,314.16553884710487
2019-01-03,244.112068,287.3897815975557,301.3984015550635,314.3517255110079
2019-01-04,252.48355,287.24602717923864,301.36099135491145,314.5019456641261
2019-01-07,254.251764,286.9490423690369,301.45094691594784,314.78158590080085
2019-01-08,256.717487,286.81674609796187,301.4872551940512,314.83178557495455
2019-01-09,257.849279,286.53970906093576,301.56033094843895,315.0788229379257
2019-01-10,259.011174,286.2760746036465,301.76084566794196,315.18113354199204
2019-01-11,258.971731,286.1867548984709,301.67950757457925,315.36771709543063
2019-01-14,257.642637,285.79447884306916,301.631837158694,315.61358734010594
2019-01-15,260.405414,285.9544038203037,301.6439655360516,315.80624042317487
2019-01-16,260.990136,285.66741601681997,301.83482976378804,316.1684667903197
2019-01-17,262.993622,285.3347988568639,301.9572783679367,316.2998343296565
2019-01-18,266.4624,285.3512269486553,301.996445699865,316.77979218616986
2019-01-22,262.704106,285.09093715037756,302.21180887202627,316.93717134453254
2019-01-23,263.282206,285.04697138402673,302.02946618603676,317.3374338685688
2019-01-24,263.652314,285.1719384951064,301.9096953049971,317.3924323626816
2019-01-25,265.894593,284.82648229876287,301.93747604255896,317.5463674516256
2019-01-28,263.809511,284.7763983428686,301.96525679712323,317.69279324964634
2019-01-29,263.428405,284.6206620212024,301.9551116024713,317.9448356404639
2019-01-30,267.547077,284.54983527922593,302.1783021608944,318.12004311318606
2019-01-31,269.900676,284.1552511098388,302.2696843315133,318.2523068877795
2019-02-01,270.17689,284.0729471185571,302.3923274612482,318.58619884110647
2019-02-04,272.008045,283.8227197324097,302.3853873308765,318.87686446691845
2019-02-05,273.290061,283.7249103808115,302.543565579875,318.9284531172236
2019-02-06,272.708317,283.41609784613655,302.59718397235315,319.24044435169856
2019-02-07,270.199782,283.34029214818247,302.5658192232704,319.38636293811174
2019-02-08,270.467887,283.0965852427342,302.7060194424702,319.54603902085745
2019-02-11,270.661094,283.0226024729905,302.85643012407826,319.8058458304326
2019-02-12,274.160879,282.83137949460814,302.81326349114073,320.01095488620047
2019-02-13,275.009734,282.7654654513159,302.8970085243477,320.42355118392095
2019-02-14,274.376532,282.63229265142354,302.7613870450531,320.67420747231756
2019-02-15,277.372415,282.44048798963485,303.05969834017617,320.7143545866141
2019-02-19,277.80642,282.3392312623173,303.1906226302417,320.91312553836957
2019-02-20,278.352975,282.3005719903602,303.0250766349978,321.37648636787713
2019-02-21,277.396709,282.0629084916957,303.3491403596996,321.39244018459686
2019-02-22,279.17559,282.06030451528216,303.18385782521807,321.4433839190932
2019-02-25,279.556779,281.896807006311,303.31421391621177,321.76694563068395
2019-02-26,279.33964,281.5730529473098,303.28970245978917,321.9911808502874
2019-02-27,279.231328,281.79543438864556,303.0977054963831,322.3234420183928
2019-02-28,278.52683,281.3292699622129,303.08463478534543,322.30552140477107
2019-03-01,280.453689,281.58636601935706,303.1544080824831,322.5940142099629
2019-03-04,279.375132,281.4957564376421,303.2273480255874,323.1436291386776
2019-03-05,279.069172,281.54368729080915,303.4415152594038,323.2296246495934
2019-03-06,277.267287,281.2169381593051,303.3236154549761,323.44014989886955
2019-03-07,275.078384,281.27893696931346,303.3752580580202,323.70886562358726
2019-03-08,274.518083,281.3810797274427,303.64036149862585,323.93965165339245
2019-03-11,278.530706,281.3459807521312,303.74398707060595,324.1615233300563
2019-03-12,279.362464,280.94658010428117,303.8621381636216,324.20075112583083
