ticker,regime,model,n_updates,asof,P_lambda,P_omega,P_alpha,P_beta,P_sigma0,P_lam,P_mu_j,P_sigma_j,P_kappa,P_sigma,P_mean_equation,P_variance_shock,prem_mu_j_q,prem_n_quotes,prem_jump_premium_identified,Q_lambda,Q_omega,Q_alpha,Q_beta,Q_sigma0,Q_lam,Q_mu_j_q,Q_sigma_j,Q_kappa_q,Q_mean_equation,Q_variance_shock,Q_q_stationary,P_persist,P_uncond_var,P_mu_p,P_rf_mean,Q_persist,Q_uncond_var,P_mu,P_theta,P_xi,P_rho,P_v0,P_variance_drift,P_kappa_j,prem_eta_v,prem_source,prem_q_explosive,prem_mu_j_minus_mu_j_q,Q_theta_q,Q_xi,Q_rho,Q_v0_q,Q_variance_drift,Q_kappa_j_q,Q_sigma
AAPL,2008-2009,GARCH–Merton,13,2009-07-31 00:00:00,0.106642081176984,1.535115587215452e-05,0.1129851851856031,0.8747761909289425,0.0176723618432686,1.3333333333333333,-0.1437768885506015,0.0759334084026328,-0.131418577777174,0.5622177036080944,r_f + λ σ − ½ σ² + J,ε_t,-0.0123424768594426,12.0,True,0.106642081176984,1.535115587215452e-05,0.1129851851856031,0.8747761909289425,0.0176723618432686,1.3333333333333333,-0.0123424768594426,0.0759334084026328,-0.0094149349413459,r_f − λ κ* − ½ σ² + J*,ξ_t − λ,True,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2008-2009,GARCH,13,2009-07-31 00:00:00,0.106642081176984,1.535115587215452e-05,0.1129851851856031,0.8747761909289425,0.0176723618432686,,,,,,r_f + λ σ − ½ σ²,ε_t,,,,0.106642081176984,1.535115587215452e-05,0.1129851851856031,0.8747761909289425,0.0176723618432686,,,,,r_f − ½ σ²,ξ_t − λ,True,0.9877613761145456,0.0012543204216284,0.7004578582005149,0.0084579365079365,0.9890463039155596,0.0014014589919069,,,,,,,,,,,,,,,,,,
AAPL,2008-2009,Merton,13,2009-07-31 00:00:00,,,,,,2.0,0.0170061005093342,0.1858369547250473,0.0348679017165853,0.4454708758177363,,,,12.0,True,,,,,,2.0,-0.0745722539269629,0.1858369547250473,-0.0556935790621684,r_f − λ κ^Q − ½ σ²,,,,,,,,,0.0921872570640773,,,,,,,,listed calls (Pan 2002 μ*); λ* = λ (timing not separately identified),,0.0915783544362971,,,,,,,0.4454708758177363
AMZN,2008-2009,GARCH–Merton,13,2009-07-31 00:00:00,0.0587546674792679,2.3282557184488315e-05,0.0564217562212131,0.9273191492830392,0.0318527937916309,2.0,0.0588029040894302,0.1364347335034869,0.0704831861042507,0.600713555190532,r_f + λ σ − ½ σ² + J,ε_t,-0.0276832912813003,6.0,True,0.0587546674792679,2.3282557184488315e-05,0.0564217562212131,0.9273191492830392,0.0318527937916309,2.0,-0.0276832912813003,0.1364347335034869,-0.0182082624700699,r_f − λ κ* − ½ σ² + J*,ξ_t − λ,True,,,,,,,,,,,,,,,,,,,,,,,,
AMZN,2008-2009,GARCH,13,2009-07-31 00:00:00,0.0587546674792679,2.3282557184488315e-05,0.0564217562212131,0.9273191492830392,0.0318527937916309,,,,,,r_f + λ σ − ½ σ²,ε_t,,,,0.0587546674792679,2.3282557184488315e-05,0.0564217562212131,0.9273191492830392,0.0318527937916309,,,,,r_f − ½ σ²,ξ_t − λ,True,0.9837409055042524,0.0014319713309113,0.3746491112071983,0.0084579365079365,0.9839356796667555,0.0014493334732815,,,,,,,,,,,,,,,,,,
AMZN,2008-2009,Merton,13,2009-07-31 00:00:00,,,,,,3.3333333333333335,0.0338713947244231,0.1477350687340203,0.0458021723583599,0.5524999357755372,,,,6.0,True,,,,,,3.3333333333333335,-0.033157245817655,0.1477350687340203,-0.0219988377474468,r_f − λ κ^Q − ½ σ²,,,,,,,,,-0.0477378082725277,,,,,,,,listed calls (Pan 2002 μ*); λ* = λ (timing not separately identified),,0.0670286405420782,,,,,,,0.5524999357755372
MSFT,2008-2009,GARCH–Merton,13,2009-07-31 00:00:00,0.0058455609502759,3.286691650056395e-05,0.1396041534891513,0.8331188858490184,0.0298616764289317,4.0,0.0087961485283978,0.1240997305592065,0.0166333389882227,0.5510382706090419,r_f + λ σ − ½ σ² + J,ε_t,-0.0220826762448228,8.0,True,0.0058455609502759,3.286691650056395e-05,0.1396041534891513,0.8331188858490184,0.0298616764289317,4.0,-0.0220826762448228,0.1240997305592065,-0.0142793733923191,r_f − λ κ* − ½ σ² + J*,ξ_t − λ,True,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2008-2009,GARCH,13,2009-07-31 00:00:00,0.0058455609502759,3.286691650056395e-05,0.1396041534891513,0.8331188858490184,0.0298616764289317,,,,,,r_f + λ σ − ½ σ²,ε_t,,,,0.0058455609502759,3.286691650056395e-05,0.1396041534891513,0.8331188858490184,0.0298616764289317,,,,,r_f − ½ σ²,ξ_t − λ,True,0.9727230393381696,0.0012049332368087,-0.0699961315069105,0.0084579365079365,0.972727809693459,0.0012051439994785,,,,,,,,,,,,,,,,,,
MSFT,2008-2009,Merton,13,2009-07-31 00:00:00,,,,,,3.3333333333333335,0.0340954223038152,0.1327925329649264,0.043846398444592,0.4109195688010657,,,,8.0,True,,,,,,3.3333333333333335,-0.0311779719347578,0.1327925329649264,-0.0221128885052735,r_f − λ κ^Q − ½ σ²,,,,,,,,,-0.3144863953268905,,,,,,,,listed calls (Pan 2002 μ*); λ* = λ (timing not separately identified),,0.065273394238573,,,,,,,0.4109195688010657
SPY,2008-2009,GARCH–Merton,13,2009-07-31 00:00:00,0.0103891565634432,5.872551385641099e-06,0.1080134501938007,0.8827629310752716,0.0130474223663815,0.6666666666666666,-0.0919288693156215,0.0,-0.0878299694839107,0.4005557882393729,r_f + λ σ − ½ σ² + J,ε_t,5.2436639144850245e-09,24.0,True,0.0103891565634432,5.872551385641099e-06,0.1080134501938007,0.8827629310752716,0.0130474223663815,0.6666666666666666,5.2436639144850245e-09,0.0,5.243663947496202e-09,r_f − λ κ* − ½ σ² + J*,ξ_t − λ,True,,,,,,,,,,,,,,,,,,,,,,,,
SPY,2008-2009,GARCH,13,2009-07-31 00:00:00,0.0103891565634432,5.872551385641099e-06,0.1080134501938007,0.8827629310752716,0.0130474223663815,,,,,,r_f + λ σ − ½ σ²,ε_t,,,,0.0103891565634432,5.872551385641099e-06,0.1080134501938007,0.8827629310752716,0.0130474223663815,,,,,r_f − ½ σ²,ξ_t − λ,True,0.9907763812690724,0.0006366862678256,-0.0100612593308719,0.0084579365079365,0.990788039654816,0.0006374920392173,,,,,,,,,,,,,,,,,,
SPY,2008-2009,Merton,13,2009-07-31 00:00:00,,,,,,4.0,-0.0244577329675599,0.1010909660064194,-0.0191620692425841,0.327911505503046,,,,24.0,True,,,,,,4.0,-0.0341852372946347,0.1010909660064194,-0.0286569189919684,r_f − λ κ^Q − ½ σ²,,,,,,,,,-0.1254264719235284,,,,,,,,listed calls (Pan 2002 μ*); λ* = λ (timing not separately identified),,0.0097275043270747,,,,,,,0.327911505503046
