ticker,date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0,lam,mu_j,sigma_j,kappa_j
AAPL,2013-01-02,2012-07-03,2013-01-02,127,-0.14212022407276428,195.38260438241787,0.06798829078307328,5.149208705382586,-0.1464576055323364,0.0982495010220804,3.968503937007874,0.0015527939977642014,0.09627127903765689,0.006206051814595659
MSFT,2013-01-02,2012-07-03,2013-01-02,127,-0.1713699371350532,239.36893094535563,0.039255061578282124,4.33074096117079,0.19385145517939298,0.04040428214916422,0.0,0.0,0.0,0.0
SPY,2013-01-02,2012-07-03,2013-01-02,127,0.08411255509704318,251.54638565199008,0.014611838845041377,2.708581848221079,0.14045456161928754,0.014451594303137656,1.984251968503937,0.025269060157969925,0.0,0.025591029089062634
