date,window_start,window_end,n_days,mu,sigma
2019-09-03,2018-03-05,2019-09-03,378,0.11832700889140894,0.2924207312585396
2019-09-30,2018-04-02,2019-09-30,378,0.20773796769561148,0.2901104361430425
2019-10-31,2018-05-01,2019-10-31,380,0.28629654241511315,0.2881192705461973
2019-11-30,2018-05-31,2019-11-29,379,0.2502067606197388,0.2857072310627653
2019-12-31,2018-07-02,2019-12-31,378,0.3222236300890208,0.287101238638145
2020-01-31,2018-08-01,2020-01-31,378,0.33889256210589824,0.2924025020669574
2020-02-29,2018-08-30,2020-02-28,376,0.1504457121466315,0.3008524027874189
2020-03-31,2018-10-01,2020-03-31,377,0.0934861112958312,0.38422459257613645
2020-04-30,2018-10-31,2020-04-30,376,0.22851975793713597,0.3934608444674975
2020-05-31,2018-12-03,2020-05-29,374,0.4021306918071535,0.3805454373225362
2020-06-30,2018-12-31,2020-06-30,378,0.5786712196193096,0.3726911591274023
2020-07-31,2019-02-01,2020-07-31,378,0.6383571275128099,0.36785397187504965
2020-08-31,2019-03-01,2020-08-31,380,0.7359508844157324,0.3730383296994032
