date,window_start,window_end,n_days,mu,sigma
2014-01-02,2012-07-03,2014-01-02,379,0.19452939687884388,0.11465843945343542
2014-01-31,2012-08-01,2014-01-31,379,0.1694915333382101,0.11393665650825797
2014-02-28,2012-08-29,2014-02-28,378,0.18383243438077793,0.11584486756215256
2014-03-31,2012-10-01,2014-03-31,377,0.174618095888515,0.11535530559915677
2014-04-30,2012-10-31,2014-04-30,377,0.19213841057281048,0.11652441942341436
2014-05-31,2012-12-03,2014-05-30,376,0.2041088125056091,0.11278360366589714
2014-06-30,2012-12-31,2014-06-30,378,0.22331802953510996,0.11041782463213047
2014-07-31,2013-02-01,2014-07-31,378,0.1692583089438866,0.11010590550522469
2014-08-31,2013-03-01,2014-08-29,380,0.1853580794195883,0.10754836720787461
2014-09-30,2013-04-01,2014-09-30,381,0.15111990481947266,0.10831593200614079
2014-10-31,2013-05-01,2014-10-31,382,0.15407457311951092,0.11190049185687587
2014-11-30,2013-05-31,2014-11-28,380,0.14763087411286527,0.11028498745028535
2014-12-31,2013-07-01,2014-12-31,381,0.1637851575965882,0.10855003228850536
