date,window_start,window_end,n_days,mu,omega,alpha,beta,sigma0,lam,mu_j,sigma_j,kappa
2014-01-02,2012-07-03,2014-01-02,379,0.22624711425227353,1.216769034100465e-05,0.10523314547927572,0.6605022489954971,0.0062405970502518605,2.6596306068601585,-0.012756098202650668,0.022035384283978242,-0.012435353088105172
2014-01-31,2012-08-01,2014-01-31,379,0.20198561156672978,1.2100449926471372e-05,0.10575381417679973,0.6580002051907455,0.00827990791991398,3.324538258575198,-0.014417613499886706,0.01944149649131191,-0.014127879088945083
2014-02-28,2012-08-29,2014-02-28,378,0.21312163071869702,1.2376051384017033e-05,0.10642465939358255,0.660133651473416,0.006390360079422337,2.6666666666666665,-0.02308929963255979,0.001625252351162716,-0.0228234909327516
2014-03-31,2012-10-01,2014-03-31,377,0.19932446977178592,1.2376047471932338e-05,0.10642469660734695,0.6601328392260752,0.006655567046361851,2.673740053050398,-0.02308929963255979,0.001625252351162716,-0.0228234909327516
2014-04-30,2012-10-31,2014-04-30,377,0.22121186694595293,1.209236735532191e-05,0.18714246488555622,0.5983966546691942,0.006314911946531015,2.0053050397877983,-0.022438877803782436,0.0011932629531412726,-0.022188302535964266
2014-05-31,2012-12-03,2014-05-30,376,0.23325935241664728,1.4443951639062983e-05,0.23162386142522243,0.4986160789127581,0.0060337527715200795,1.3404255319148937,-0.02213212014117305,0.0015110100493581852,-0.021887885060802637
2014-06-30,2012-12-31,2014-06-30,378,0.24338261721945761,1.363340922678648e-05,0.2314868510014123,0.4929805377773215,0.005488929241629982,2.0,-0.02244017729934278,0.001194266855744368,-0.022189572025267168
2014-07-31,2013-02-01,2014-07-31,378,0.1899899961669488,1.489233936260031e-05,0.16279347965276436,0.5320869278858529,0.005941909960163514,2.6666666666666665,-0.02185237068299939,0.0015273884098970865,-0.02161419610544857
2014-08-31,2013-03-01,2014-08-29,380,0.21050039046167213,9.268720813791869e-06,0.12090105683704111,0.6783680367436606,0.005578316192743403,3.3157894736842106,-0.022490009570177882,0.0019448915826408163,-0.022237145360014754
2014-09-30,2013-04-01,2014-09-30,381,0.17198055510859325,9.2687221314258e-06,0.12090106109289579,0.6783672871172665,0.007513783354998467,3.3070866141732282,-0.022490009570177882,0.0019448915826408163,-0.022237145360014754
2014-10-31,2013-05-01,2014-10-31,382,0.19035815199107534,6.89139419314704e-06,0.1422735514303543,0.7198396896301966,0.007331653526571769,1.3193717277486912,-0.02057631276140004,0.0006892338475569554,-0.02036583226452149
2014-11-30,2013-05-31,2014-11-28,380,0.20260662828077858,6.320107601596286e-06,0.16678312504181322,0.7006366308798913,0.004956913602831021,1.3263157894736843,-0.02057631276140004,0.0006892338475569554,-0.02036583226452149
2014-12-31,2013-07-01,2014-12-31,381,0.20702018243951498,6.508170379208118e-06,0.16558266860564624,0.7027781586502098,0.006444410804695749,1.984251968503937,-0.01916514159249812,0.0024923350200422695,-0.018979610987052142
