date,ticker,mu,sigma
2019-01-02,AAPL,-0.3259959213353225,0.3272233564334995
2019-01-02,MSFT,0.03837865023198539,0.2991148823313852
2019-01-02,SPY,-0.16670793782431303,0.17825632404867414
2019-01-31,AAPL,-0.25386020448338087,0.3811442231588001
2019-01-31,MSFT,-0.015049505237156424,0.31289837576505786
2019-01-31,SPY,-0.08200070001727688,0.19114261850077272
2019-02-28,AAPL,-0.4643698667121387,0.3730982357031523
2019-02-28,MSFT,0.049388035648663446,0.3188285360830998
2019-02-28,SPY,-0.0800136039235088,0.19248159752788888
2019-03-31,AAPL,-0.3350385592777855,0.37554636618764076
2019-03-31,MSFT,0.0798870607245592,0.32020400941501226
2019-03-31,SPY,-0.056241717523998085,0.19734932358963014
2019-04-30,AAPL,-0.10914950069704268,0.3579193115257254
2019-04-30,MSFT,0.48949510170588545,0.2765563224791166
2019-04-30,SPY,0.1917017232990632,0.1748708600526555
2019-05-31,AAPL,-0.02402753825381748,0.3334613122175727
2019-05-31,MSFT,0.23994371938953887,0.25956296569834214
2019-05-31,SPY,-0.005834244799657475,0.16876285727880921
2019-06-30,AAPL,0.49322792744030275,0.29543594894976594
2019-06-30,MSFT,0.597612845328465,0.2179596812034365
2019-06-30,SPY,0.33989079647193843,0.12535000467604188
2019-07-31,AAPL,0.5140159614739644,0.2250796598956399
2019-07-31,MSFT,0.5525400629757787,0.18833517710718248
2019-07-31,SPY,0.1962553067075021,0.10510172486870362
2019-08-31,AAPL,0.38305419615995734,0.2625948077723964
2019-08-31,MSFT,0.42227950270497727,0.20768357695279246
2019-08-31,SPY,0.09812914044996748,0.1358688248161723
2019-09-30,AAPL,0.34205932394684346,0.2616065773640512
2019-09-30,MSFT,0.34036457563347383,0.20806225861336428
2019-09-30,SPY,0.09697614563788266,0.13339271525444812
2019-10-31,AAPL,0.43457840036114986,0.2689641759039786
2019-10-31,MSFT,0.1959512147000795,0.2153442722853103
2019-10-31,SPY,0.05977374829982708,0.14074658889899894
2019-11-30,AAPL,0.8101544149782347,0.23512258012432807
2019-11-30,MSFT,0.3787443035415631,0.1988546892445021
2019-11-30,SPY,0.23355888546972825,0.13060611765995106
2019-12-31,AAPL,0.7900903284503371,0.22666627432428366
2019-12-31,MSFT,0.334440824073455,0.17695443513998854
2019-12-31,SPY,0.18407905737125435,0.12482707481808096
2020-01-31,AAPL,0.7546124335172438,0.24420926576761712
2020-01-31,MSFT,0.4548570699555177,0.18632978004158965
2020-01-31,SPY,0.15629983539147485,0.12963674276831225
2020-02-29,AAPL,0.5519321033379455,0.2488764107291925
2020-02-29,MSFT,0.333970225924134,0.2205460113536853
2020-02-29,SPY,0.019959490419325307,0.1351724462651517
2020-03-31,AAPL,0.26466278704543367,0.4849880693012235
2020-03-31,MSFT,0.2643854776415786,0.498854588507171
2020-03-31,SPY,-0.2830054580759658,0.40888725110949387
2020-04-30,AAPL,0.39137914024221043,0.5173677130928963
2020-04-30,MSFT,0.44481516616044087,0.5269424547876321
2020-04-30,SPY,-0.09147969683772197,0.4406695925272237
2020-05-31,AAPL,0.36327026119749356,0.5207459504885772
2020-05-31,MSFT,0.399474166215084,0.5343531999372322
2020-05-31,SPY,-0.06427528054894788,0.4510532915332284
2020-06-30,AAPL,0.45862880198118283,0.529071382358249
2020-06-30,MSFT,0.5224547154092658,0.5442246230314618
2020-06-30,SPY,-0.07636662474914324,0.462866314350279
2020-07-31,AAPL,0.644533491737354,0.5455528080640011
2020-07-31,MSFT,0.38283464057985483,0.5511856114368516
2020-07-31,SPY,0.028129794456399182,0.463894282839402
2020-08-31,AAPL,1.2602591184972818,0.5330613299359163
2020-08-31,MSFT,0.661481713298532,0.5362109471804049
2020-08-31,SPY,0.3326461536186418,0.4507417090746268
2020-09-30,AAPL,1.185643954893714,0.3961518303861346
2020-09-30,MSFT,0.5458615507360549,0.33887722971515255
2020-09-30,SPY,0.48642040578881324,0.25462992455805794
2020-10-31,AAPL,0.7834890348339046,0.3929411419768908
2020-10-31,MSFT,0.25048247559773884,0.3127096659897332
2020-10-31,SPY,0.22778108342652767,0.21131100457878121
2020-11-30,AAPL,0.8022661217013236,0.40075575464316865
2020-11-30,MSFT,0.3159464074181977,0.32373368780907824
2020-11-30,SPY,0.3407454000098628,0.20300086434484899
2020-12-31,AAPL,0.7451438508663141,0.39582938999015327
2020-12-31,MSFT,0.1848290780779881,0.30373741607584614
2020-12-31,SPY,0.3765388105824463,0.16662821898734553
