ticker,regime,model,n_updates,asof,P_lambda,P_omega,P_alpha,P_beta,P_sigma0,P_mean_equation,P_variance_shock,P_persist,P_uncond_var,P_mu_p,P_rf_mean,Q_lambda,Q_omega,Q_alpha,Q_beta,Q_sigma0,Q_mean_equation,Q_variance_shock,Q_persist,Q_uncond_var,Q_q_stationary,P_mu,P_kappa,P_theta,P_xi,P_rho,P_v0,P_variance_drift,P_lam,P_mu_j,P_sigma_j,P_kappa_j,prem_eta_v,prem_source,prem_q_explosive,prem_n_quotes,prem_mu_j_minus_mu_j_q,prem_jump_premium_identified,Q_kappa_q,Q_theta_q,Q_xi,Q_rho,Q_v0_q,Q_variance_drift,Q_lam,Q_mu_j_q,Q_sigma_j,Q_kappa_j_q,P_sigma,Q_sigma
AAPL,2008-2009,GARCH,1,2008-08-01 00:00:00,0.11282133586131878,4.945398674340513e-05,0.09911823081502034,0.8268941457256853,0.026077931750939407,r_f + λ σ − ½ σ²,ε_t,0.9260123765407057,0.0006684089099119822,0.6669822118454061,0.0340383597883598,0.11282133586131878,4.945398674340513e-05,0.09911823081502034,0.8268941457256853,0.026077931750939407,r_f − ½ σ²,ξ_t − λ,0.9272740181885493,0.0006800043878626411,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,2008-2009,Heston–Merton,1,2008-08-01 00:00:00,,,,,,,,,,,,,,,,,r_f − λ κ^Q − ½ v,,,,,0.40966002063602613,20.0,0.1637596822265028,3.0,-0.07620236736166615,0.15352280316658887,κ(θ − v),2.0,-0.03060109782853922,0.11445910655796028,-0.023763742050551873,-15.965946180698984,listed calls (Pan 2002 η_v); not from returns,False,12.0,0.15071458208812258,True,35.965946180698985,0.09106374202071399,3.0,-0.07620236736166615,0.15330355823868405,κ(θ − v) + η_v v,2.0,-0.1813156799166618,0.11445910655796028,-0.16034588212674938,,
AAPL,2008-2009,Heston,1,2008-08-01 00:00:00,,,,,,,,,,,,,,,,,r_f − ½ v,,,,,0.40966002063602613,20.0,0.1637596822265028,3.0,-0.07620236736166615,0.15352280316658887,κ(θ − v),,,,,1.8025337099471046,listed calls (Pan 2002 η_v); not from returns,False,12.0,,,18.197466290052894,0.17998075074442335,3.0,-0.07620236736166615,0.14236184276692124,κ(θ − v) + η_v v,,,,,,
AAPL,2008-2009,Merton,1,2008-08-01 00:00:00,,,,,,,,,,,,,,,,,r_f − λ κ^Q − ½ σ²,,,,,0.4746291140234494,-0.023763742050551873,,,,,,2.0,-0.03060109782853922,0.11445910655796028,,,listed calls (Pan 2002 μ*); λ* = λ (timing not separately identified),,12.0,0.02813378819658485,True,-0.050846213588705336,,,,,,2.0,-0.05873488602512407,0.11445910655796028,,0.36803764125706656,0.36803764125706656
AMZN,2008-2009,GARCH,1,2008-08-01 00:00:00,0.07775695453426662,0.0009007938235561275,0.1090544519268815,1.568120045114432e-15,0.031230953055837465,r_f + λ σ − ½ σ²,ε_t,0.10905445192688307,0.0010110537344333891,0.5240697250863754,0.0340383597883598,0.07775695453426662,0.0009007938235561275,0.1090544519268815,1.568120045114432e-15,0.031230953055837465,r_f − ½ σ²,ξ_t − λ,0.1097138108447233,0.001011802535554124,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMZN,2008-2009,Heston–Merton,1,2008-08-01 00:00:00,,,,,,,,,,,,,,,,,r_f − λ κ^Q − ½ v,,,,,0.44773256290249497,20.0,0.2546890503671517,3.0,0.3535868964130814,0.3569781025760281,κ(θ − v),4.0,0.10642237000325605,0.13040043722097946,0.12178874719635568,-39.99999989866235,listed calls (Pan 2002 η_v); not from returns,False,8.0,0.2697707242024156,True,59.99999989866235,0.08489635026577051,3.0,0.3535868964130814,0.20013657501987514,κ(θ − v) + η_v v,4.0,-0.16334835419915955,0.13040043722097946,-0.14345311045270182,,
AMZN,2008-2009,Heston,1,2008-08-01 00:00:00,,,,,,,,,,,,,,,,,r_f − ½ v,,,,,0.44773256290249497,20.0,0.2546890503671517,3.0,0.3535868964130814,0.3569781025760281,κ(θ − v),,,,,-2.5578940818602933,listed calls (Pan 2002 η_v); not from returns,False,8.0,,,22.557894081860294,0.22580924393288768,3.0,0.3535868964130814,0.16148510456157247,κ(θ − v) + η_v v,,,,,,
AMZN,2008-2009,Merton,1,2008-08-01 00:00:00,,,,,,,,,,,,,,,,,r_f − λ κ^Q − ½ σ²,,,,,0.022398616484462192,0.12178874719635568,,,,,,4.0,0.10642237000325605,0.13040043722097946,,,listed calls (Pan 2002 μ*); λ* = λ (timing not separately identified),,8.0,0.20627937313684447,True,-0.0873062306718364,,,,,,4.0,-0.09985700313358842,0.13040043722097946,,0.37582846456572994,0.37582846456572994
MSFT,2008-2009,GARCH,1,2008-08-01 00:00:00,-0.03398419442042174,1.1955323234397347e-05,0.10269146670482732,0.866672218354277,0.0238507137007258,r_f + λ σ − ½ σ²,ε_t,0.9693636850591043,0.0003902337228697982,-0.15248639134402373,0.0340383597883598,-0.03398419442042174,1.1955323234397347e-05,0.10269146670482732,0.866672218354277,0.0238507137007258,r_f − ½ σ²,ξ_t − λ,0.969482286049595,0.0003917502881711975,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2008-2009,Heston–Merton,1,2008-08-01 00:00:00,,,,,,,,,,,,,,,,,r_f − λ κ^Q − ½ v,,,,,-0.10821405048516268,20.0,0.07439818505669271,3.0,0.06017299181064518,0.15224432039782704,κ(θ − v),2.6666666666666665,-0.02590273794569775,0.07783068420421607,-0.022614305217270925,-14.759490801612747,listed calls (Pan 2002 η_v); not from returns,False,10.0,0.06573057396420265,True,34.75949080161275,0.04280740789979629,3.0,0.06017299181064518,0.12233225442215288,κ(θ − v) + η_v v,2.6666666666666665,-0.0916333119099004,0.07783068420421607,-0.08479253729281977,,
