date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0,eta_v,kappa_q,theta_q,v0_q,n_quotes,q_success,q_explosive
2008-08-01,2007-02-02,2008-08-01,378,-0.10821405048516268,20.0,0.07439818505669271,3.0,0.06017299181064519,0.15224432039782704,-0.19272076784976513,20.192720767849764,0.07368812346986667,0.11854961415682753,10,True,False
2008-08-31,2007-03-01,2008-08-29,380,-0.0067445684997423615,20.0,0.07475435887653671,3.0,0.087465532934474,0.06340617231229645,9.739793875969116,10.260206124030884,0.14571707034510975,0.05960310612743837,10,True,False
2008-09-30,2007-04-02,2008-09-30,379,-0.014424978994809058,20.0,0.08838017126377062,3.0,-0.08541171124344421,0.28261303953090705,15.528453097202384,4.471546902797616,0.3953002090103347,0.15254829708925624,10,True,False
2008-10-31,2007-05-01,2008-10-31,382,-0.17923483896540496,20.0,0.13398702977834312,3.0,0.2596344943913084,0.8709319842884607,12.485329282820464,7.514670717179536,0.35660120002871437,0.3521437063614565,8,True,False
2008-11-30,2007-05-31,2008-11-28,380,-0.26909121574110717,20.0,0.1626194884199637,3.0,0.2393892367662801,0.5290061679420686,-21.024046343281377,41.02404634328138,0.07928008225185537,0.13149311052571394,24,True,False
2008-12-31,2007-07-02,2008-12-31,380,-0.2592650371826342,20.0,0.17667871972288235,3.0,0.20357096325756582,0.20259821791373683,13.522667340773324,6.477332659226676,0.5455292448851188,0.1985064965027865,6,True,False
2009-01-31,2007-08-01,2009-01-30,379,-0.3343073758783345,20.0,0.1979504394114847,3.0,0.09824270060955276,0.41774311815922877,-3.5912190843054512,23.59121908430545,0.1678170498133989,0.09073325131360203,6,True,False
2009-02-28,2007-08-29,2009-02-27,378,-0.34624150701258244,20.0,0.2043330996675321,3.0,0.0896874595035324,0.16506679900756774,2.617701103548527,17.382298896451474,0.23510480504882572,0.23826546136894244,7,True,False
2009-03-31,2007-10-01,2009-03-31,378,-0.29593067193019407,20.0,0.22172320243906368,3.0,0.11365456397482111,0.3370241063122194,9.474963612195042,10.525036387804958,0.4213252938412026,0.10195424971526898,6,True,False
2009-04-30,2007-10-31,2009-04-30,377,-0.3572354819547944,20.0,0.22823844661515236,3.0,0.12597493917232888,0.2566739421976958,-20.279221461682074,40.27922146168207,0.11332813213993093,0.16375192958889132,8,True,False
2009-05-31,2007-12-03,2009-05-29,375,-0.2982383898282279,20.0,0.22815801217662263,3.0,0.12726455573630324,0.06149714825785896,-16.83598238935142,36.83598238935142,0.12387779414433576,0.08336042492669861,8,True,False
2009-06-30,2007-12-31,2009-06-30,378,-0.2579828123966479,20.0,0.22618679799508726,3.0,0.12713392938717835,0.053355127105651996,-26.288547441260622,46.28854744126062,0.09772905416058453,0.12432184276512565,10,True,False
2009-07-31,2008-02-01,2009-07-31,378,-0.19667511469344698,20.0,0.23105044514963358,3.0,0.12457296727950835,0.1745854024441728,-39.502782450076154,59.502782450076154,0.07766038347651685,0.10214956704849046,8,True,False
