Datetime,Open,High,Low,Close,Volume
2023-09-20 09:30:00,179.26,179.695,179.26,179.315,741072
2023-09-20 09:31:00,179.3,179.32,178.82,178.83,280244
2023-09-20 09:32:00,178.83,179.0,178.82,178.86,121019
2023-09-20 09:33:00,178.87,178.88,178.68,178.7423,228313
2023-09-20 09:34:00,178.73,178.83,178.63,178.665,161866
2023-09-20 09:35:00,178.67,178.9199,178.67,178.755,126488
2023-09-20 09:36:00,178.76,178.8827,178.64,178.695,120636
2023-09-20 09:37:00,178.695,178.8,178.63,178.65,117587
2023-09-20 09:38:00,178.65,178.7099,178.5,178.58,245781
2023-09-20 09:39:00,178.57,178.67,178.53,178.65,142780
2023-09-20 09:40:00,178.64,178.8199,178.53,178.57,225756
2023-09-20 09:41:00,178.56,178.84,178.56,178.8001,161689
2023-09-20 09:42:00,178.81,178.81,178.46,178.495,195550
2023-09-20 09:43:00,178.5,178.52,178.41,178.4714,176299
2023-09-20 09:44:00,178.475,178.5399,178.35,178.35,187047
2023-09-20 09:45:00,178.3401,178.465,178.2874,178.4475,182172
2023-09-20 09:46:00,178.447,178.51,178.3,178.31,141259
2023-09-20 09:47:00,178.315,178.44,178.31,178.335,124383
2023-09-20 09:48:00,178.335,178.35,178.09,178.1313,294378
2023-09-20 09:49:00,178.138,178.18,177.98,178.08,362762
2023-09-20 09:50:00,178.075,178.23,178.03,178.0401,161895
2023-09-20 09:51:00,178.05,178.18,178.0403,178.15,122058
2023-09-20 09:52:00,178.14,178.21,178.06,178.13,102043
2023-09-20 09:53:00,178.1249,178.17,178.055,178.13,100968
2023-09-20 09:54:00,178.14,178.3452,178.13,178.305,188394
2023-09-20 09:55:00,178.306,178.47,178.29,178.43,205580
2023-09-20 09:56:00,178.44,178.5,178.34,178.495,153704
2023-09-20 09:57:00,178.4908,178.58,178.37,178.4099,153871
2023-09-20 09:58:00,178.4059,178.43,178.25,178.39,170739
2023-09-20 09:59:00,178.385,178.42,178.33,178.41,136035
2023-09-20 10:00:00,178.4,178.425,178.23,178.27,215656
2023-09-20 10:01:00,178.27,178.417,178.2598,178.38,87573
2023-09-20 10:02:00,178.36,178.4,178.12,178.135,119252
2023-09-20 10:03:00,178.12,178.1314,177.96,177.97,183037
2023-09-20 10:04:00,177.975,178.04,177.8354,177.8354,200086
2023-09-20 10:05:00,177.84,177.91,177.71,177.775,215810
2023-09-20 10:06:00,177.79,177.83,177.62,177.6301,156694
2023-09-20 10:07:00,177.635,177.83,177.6,177.8,182886
2023-09-20 10:08:00,177.8,177.94,177.755,177.935,169948
2023-09-20 10:09:00,177.94,177.95,177.8,177.82,105784
2023-09-20 10:10:00,177.83,177.92,177.8,177.81,76046
2023-09-20 10:11:00,177.8,177.84,177.67,177.7149,100010
2023-09-20 10:12:00,177.72,177.745,177.62,177.625,88273
2023-09-20 10:13:00,177.625,177.7164,177.59,177.7,107704
2023-09-20 10:14:00,177.69,177.75,177.4617,177.475,208224
2023-09-20 10:15:00,177.475,177.52,177.415,177.46,182940
2023-09-20 10:16:00,177.455,177.49,177.2792,177.28,227609
2023-09-20 10:17:00,177.285,177.3799,177.26,177.31,125516
2023-09-20 10:18:00,177.32,177.47,177.31,177.425,154231
2023-09-20 10:19:00,177.425,177.489,177.3501,177.42,109498
2023-09-20 10:20:00,177.429,177.44,177.31,177.32,92025
2023-09-20 10:21:00,177.34,177.38,177.2808,177.36,100445
2023-09-20 10:22:00,177.36,177.42,177.28,177.405,153734
2023-09-20 10:23:00,177.42,177.555,177.3901,177.55,163691
2023-09-20 10:24:00,177.54,177.56,177.453,177.48,102834
2023-09-20 10:25:00,177.4772,177.5399,177.45,177.5,79262
2023-09-20 10:26:00,177.49,177.53,177.41,177.425,81503
2023-09-20 10:27:00,177.42,177.47,177.37,177.405,98737
2023-09-20 10:28:00,177.41,177.58,177.41,177.54,88152
2023-09-20 10:29:00,177.5401,177.64,177.5401,177.58,80211
2023-09-20 10:30:00,177.59,177.6,177.46,177.4775,102918
2023-09-20 10:31:00,177.48,177.5399,177.44,177.48,134410
2023-09-20 10:32:00,177.49,177.55,177.45,177.485,124752
2023-09-20 10:33:00,177.5,177.58,177.49,177.5199,67532
2023-09-20 10:34:00,177.525,177.72,177.5199,177.715,104481
2023-09-20 10:35:00,177.7199,177.7199,177.63,177.695,52892
2023-09-20 10:36:00,177.6908,177.91,177.6908,177.91,148664
2023-09-20 10:37:00,177.91,177.94,177.86,177.895,111219
2023-09-20 10:38:00,177.895,177.9,177.81,177.8299,102198
2023-09-20 10:39:00,177.825,177.92,177.82,177.92,76690
2023-09-20 10:40:00,177.93,178.0,177.91,177.9699,96415
2023-09-20 10:41:00,177.965,177.9699,177.83,177.92,79230
2023-09-20 10:42:00,177.9266,177.94,177.87,177.88,111739
2023-09-20 10:43:00,177.88,177.94,177.85,177.87,82138
2023-09-20 10:44:00,177.86,177.97,177.85,177.96,91685
2023-09-20 10:45:00,177.945,178.02,177.925,177.95,153177
2023-09-20 10:46:00,177.92,177.951,177.79,177.82,161822
2023-09-20 10:47:00,177.8,177.8,177.73,177.765,80686
2023-09-20 10:48:00,177.765,177.84,177.75,177.7545,76226
2023-09-20 10:49:00,177.755,177.78,177.65,177.67,96122
2023-09-20 10:50:00,177.68,177.7299,177.64,177.67,56877
2023-09-20 10:51:00,177.67,177.6752,177.51,177.5142,69762
2023-09-20 10:52:00,177.52,177.6,177.52,177.5301,73571
2023-09-20 10:53:00,177.53,177.6,177.525,177.555,59777
2023-09-20 10:54:00,177.55,177.6,177.53,177.5405,58339
2023-09-20 10:55:00,177.54,177.6406,177.54,177.61,55779
2023-09-20 10:56:00,177.6188,177.725,177.6089,177.7,70883
2023-09-20 10:57:00,177.709,177.715,177.6,177.6,71245
2023-09-20 10:58:00,177.6,177.6,177.37,177.45,178388
2023-09-20 10:59:00,177.445,177.46,177.3374,177.43,95623
2023-09-20 11:00:00,177.43,177.43,177.33,177.34,82561
2023-09-20 11:01:00,177.3312,177.46,177.32,177.429,95790
2023-09-20 11:02:00,177.42,177.44,177.36,177.38,73771
2023-09-20 11:03:00,177.39,177.4936,177.38,177.451,88216
2023-09-20 11:04:00,177.46,177.46,177.32,177.38,70247
2023-09-20 11:05:00,177.38,177.39,177.33,177.34,50447
2023-09-20 11:06:00,177.335,177.41,177.33,177.41,74342
2023-09-20 11:07:00,177.4171,177.51,177.4,177.4738,97691
2023-09-20 11:08:00,177.47,177.5507,177.445,177.5,94461
2023-09-20 11:09:00,177.5084,177.575,177.4801,177.5158,61647
2023-09-20 11:10:00,177.51,177.565,177.5,177.5001,67662
2023-09-20 11:11:00,177.5033,177.5033,177.42,177.449,70271
