timestamp,S_t,p25,p50,p75
2008-08-01,126.087165,126.087165,126.087165,126.087165
2008-08-04,124.96076,125.30568098741549,126.36841303496942,127.09456535419673
2008-08-05,128.554048,124.93702195680213,126.15990450885795,127.3203099295313
2008-08-06,129.043172,124.64486822281933,126.13125451491277,127.54632995807037
2008-08-07,126.746809,124.3987966448729,126.04952073402652,127.69449628871794
2008-08-08,129.766737,124.1286001003164,125.98867926768537,127.8209980882482
2008-08-11,130.696582,123.99601528505382,125.91051812506805,127.94860939510005
2008-08-12,129.132483,123.72867005267491,125.87274428413303,128.01604610114438
2008-08-13,128.798139,123.5662217941769,125.8274522180219,128.1022000875572
2008-08-14,129.514094,123.37823750785368,125.7578310036657,128.2687033021178
2008-08-15,130.054359,123.20135248739803,125.79272234202314,128.3549887056225
2008-08-18,128.107383,123.01314390143266,125.71313375979756,128.36723363022662
2008-08-19,126.929098,122.84378463750983,125.6677327704279,128.493420701679
2008-08-20,127.72116,122.6823069390562,125.58405391026444,128.57154741035694
2008-08-21,128.046816,122.51426587452849,125.59924939544855,128.65982608812087
2008-08-22,129.506902,122.41457604679894,125.50450175007934,128.70950850721337
2008-08-25,126.973898,122.20155369434626,125.47717070117214,128.75898701714289
2008-08-26,127.441796,122.05613353216677,125.40843836701458,128.8210205658216
2008-08-27,128.476927,121.93972537821088,125.42394709515082,128.91241701177015
2008-08-28,130.395766,121.8403921387459,125.28987826173551,128.91231670598683
2008-08-29,128.618938,121.64348324344104,125.29835242219538,128.96865663400658
2008-09-02,128.098338,121.49347096873836,125.27139454257274,129.04338513196882
2008-09-03,127.902889,121.47074548179437,125.26473377504915,129.0956480807631
2008-09-04,124.096095,121.28994432714427,125.15569936459599,129.08919315416966
2008-09-05,124.647101,121.21507983825398,125.13233589528346,129.26478740030484
2008-09-08,127.212239,121.08190003185189,125.12201550109293,129.28835087568237
2008-09-09,122.890952,120.99878669003301,125.02844942325217,129.27006645062383
2008-09-10,123.648971,120.85203352537924,124.99917476622076,129.35970825495926
2008-09-11,125.386557,120.8080018659147,124.95712091608986,129.4056155185361
2008-09-12,125.651536,120.75320899711508,124.97392865451738,129.4997626242547
2008-09-15,119.760989,120.57880260515839,124.95203829499528,129.52394445626317
2008-09-16,121.849352,120.46588016395235,124.91372195017595,129.61098486189562
