timestamp,S_t,p25,p50,p75
2008-08-01,126.087165,126.087165,126.087165,126.087165
2008-08-04,124.96076,125.15292360939925,126.44238811278265,127.26872254518409
2008-08-05,128.554048,124.8494820123748,126.17526916476801,127.48355857612518
2008-08-06,129.043172,124.50402964576017,126.1727559569737,127.74567824058724
2008-08-07,126.746809,124.24185038503101,126.08801973731656,127.92434615875801
2008-08-08,129.766737,123.97822630071721,126.04860978257152,128.0728174311604
2008-08-11,130.696582,123.83684840812982,125.96727971961786,128.22353147693616
2008-08-12,129.132483,123.57100320258381,125.93530855865086,128.33261915439363
2008-08-13,128.798139,123.3474116615889,125.89907883165337,128.4164466256525
2008-08-14,129.514094,123.190453505878,125.83531041556478,128.6314841390532
2008-08-15,130.054359,123.00129246152339,125.8742422305961,128.71238363701013
2008-08-18,128.107383,122.79157507464488,125.81116899542019,128.731362647423
2008-08-19,126.929098,122.67602841567975,125.7823590493827,128.86594969926108
2008-08-20,127.72116,122.47242245296727,125.6900451563606,128.9991128686836
2008-08-21,128.046816,122.29058336772628,125.71139918146129,129.0544791287375
2008-08-22,129.506902,122.16165826155623,125.59496618099631,129.17657171320226
2008-08-25,126.973898,122.00038604696518,125.57705499353875,129.21408138841238
2008-08-26,127.441796,121.81783969464821,125.50964030931459,129.28191060111556
2008-08-27,128.476927,121.72812867252861,125.52794453045016,129.38211604236523
2008-08-28,130.395766,121.59960880142438,125.42573757891154,129.40552974268468
2008-08-29,128.618938,121.38584290830961,125.36301443242087,129.46592515208278
2008-09-02,128.098338,121.26215695579454,125.37659519649415,129.57369484717407
2008-09-03,127.902889,121.21684193926248,125.3872801873903,129.654559292725
2008-09-04,124.096095,121.04169722341256,125.2663348837315,129.72060771668671
2008-09-05,124.647101,121.04294117156428,125.30747059289769,129.89509991674885
2008-09-08,127.212239,120.85580781346054,125.31307583309564,129.92613251792775
2008-09-09,122.890952,120.7861221086735,125.26500054890116,129.967413149776
2008-09-10,123.648971,120.64694645788225,125.30666837577382,129.9928136279931
2008-09-11,125.386557,120.54147096064344,125.20963790644853,130.11818047827208
2008-09-12,125.651536,120.51872205406806,125.23267640040015,130.20754152936192
2008-09-15,119.760989,120.35613861878576,125.24930226311619,130.27593708135913
2008-09-16,121.849352,120.25493626236843,125.23655855465401,130.37048551152188
2008-09-17,116.138313,120.20136245908296,125.27014876964432,130.53508691216635
2008-09-18,121.180207,120.11959991037978,125.21947548097441,130.49179935146094
2008-09-19,125.337823,120.0168405643619,125.23151025375405,130.6129960205071
2008-09-22,120.551797,119.9669185973263,125.22408200303664,130.65662994548785
2008-09-23,118.670364,119.87481632703896,125.19546322390251,130.73193816186452
2008-09-24,118.437209,119.78959777962271,125.23170387536112,130.83604566694936
2008-09-25,120.764921,119.70221527881623,125.19357665981329,130.85003349212843
2008-09-26,121.174766,119.59046798592472,125.18638246765131,130.90795534063284
2008-09-29,110.53199,119.47244681441418,125.1219297106746,130.976827186091
2008-09-30,116.52079,119.37883463501896,125.09449331749552,131.02262987886627
