date,S_t,v_t,log_return
2014-01-02,100,0.04,
2014-01-03,98.81454162,0.0411517223,-0.0119254097
2014-01-06,99.01111705,0.04401956565,0.001987361007
2014-01-07,99.59408845,0.03625179789,0.00587067264
2014-01-08,99.2306774,0.03674154135,-0.003655595489
2014-01-09,98.5297814,0.03670654117,-0.007088362716
2014-01-10,98.47067584,0.03991671725,-0.0006000550515
2014-01-13,99.42741739,0.04016669086,0.009669107832
2014-01-14,98.26496389,0.04193606513,-0.01176036112
2014-01-15,97.08813469,0.04334777775,-0.01204837241
2014-01-16,96.27407446,0.04677758901,-0.008420104864
2014-01-17,95.81721948,0.04596820479,-0.004756653264
2014-01-20,94.58519341,0.05087435111,-0.01294146695
2014-01-21,94.65942808,0.04896227402,0.0007845366903
2014-01-22,94.52181377,0.05111709656,-0.001454841204
2014-01-23,94.55623586,0.05279235505,0.0003641045641
2014-01-24,92.14735261,0.06199021954,-0.02580579142
2014-01-27,91.83315418,0.05940546461,-0.003415565455
2014-01-28,92.37094858,0.06208872117,0.00583913078
2014-01-29,91.62662656,0.06137683695,-0.008090607433
2014-01-30,93.13560339,0.05734703111,0.01633461963
2014-01-31,92.95765248,0.06057302957,-0.001912492342
2014-02-03,93.87980739,0.05731436404,0.009871279615
2014-02-04,93.99329717,0.05770487167,0.001208153687
2014-02-05,93.36280043,0.06152038268,-0.006730489426
2014-02-06,92.74909652,0.06453191431,-0.006595023191
2014-02-07,93.12513155,0.06572520387,0.004046128912
2014-02-10,94.32989337,0.0584612266,0.01285405291
2014-02-11,94.15537702,0.05616540907,-0.001851777557
2014-02-12,95.95190079,0.05480482271,0.01890066784
2014-02-13,97.81444077,0.05085675271,0.01922518972
2014-02-14,99.13743743,0.04359849675,0.01343492204
2014-02-17,99.5467242,0.04421216034,0.004119979625
2014-02-18,99.64838563,0.04700491058,0.001020722216
2014-02-19,99.54177337,0.0455205018,-0.0010704572
2014-02-20,98.57102961,0.04893607876,-0.009799987857
2014-02-21,98.69600025,0.0435320607,0.001267020289
2014-02-24,100.0111972,0.03987863795,0.01323773026
