date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0,eta_v,kappa_q,theta_q,v0_q,n_quotes,q_success,q_explosive
2008-08-01,2007-02-02,2008-08-01,378,-0.09120879458668203,20.0,0.034250086860190224,3.0,-0.11442771585768256,0.04973288787961519,2.2602109477730385,17.73978905222696,0.038613860355786636,0.023420734735575852,23,True,False
2008-08-31,2007-03-01,2008-08-29,380,-0.060798541378026885,2.0,0.03534042611213056,3.0,-0.073916732209445,0.04105464507312373,2.0163091357540095,-0.016309135754009496,-4.333819602113784,0.02526653000049743,24,True,True
2008-09-30,2007-04-02,2008-09-30,379,-0.13134681162909329,20.0,0.050346008834183595,3.0,-0.42925142032081615,0.2885116777545101,9.630302285592728,10.369697714407272,0.09710217254305249,0.13229704761747632,24,True,False
2008-10-31,2007-05-01,2008-10-31,382,-0.28006387176696235,20.0,0.08719610825633073,3.0,-0.08250524214721465,0.6641533712885225,11.52164646741623,8.47835353258377,0.20569113548101314,0.36245733321292944,24,True,False
2008-11-30,2007-05-31,2008-11-28,380,-0.35320555785090446,20.0,0.11107872109456482,3.0,-0.09132699018325721,0.44294209933622347,10.975380657293915,9.024619342706085,0.24616821358640756,0.23133819547124504,24,True,False
2008-12-31,2007-07-02,2008-12-31,380,-0.33766072442539447,20.0,0.12366412149009177,3.0,-0.14675218865225143,0.14132727957131888,9.09777526474744,10.90222473525256,0.2268603417983513,0.13535762436253904,24,True,False
2009-01-31,2007-08-01,2009-01-30,379,-0.37594983540657856,20.0,0.13040331312817344,3.0,-0.15287367156144185,0.1473904874497517,4.419582579360636,15.580417420639364,0.16739386321630675,0.09704948560408896,24,True,False
2009-02-28,2007-08-29,2009-02-27,378,-0.4423840483792863,20.0,0.1344353230244782,3.0,-0.16276664286384948,0.14026965083977147,-3.4891368000512277,23.489136800051227,0.11446595434208122,0.21478778999115175,23,True,False
2009-03-31,2007-10-01,2009-03-31,378,-0.43174842008581277,20.0,0.14621708430139924,3.0,-0.1224081918682902,0.21409237083637908,3.865056523357153,16.134943476642846,0.18124275986843708,0.11978606484229301,22,True,False
2009-04-30,2007-10-31,2009-04-30,377,-0.3744184202722414,20.0,0.15057799923114767,3.0,-0.12338951873127763,0.08993282193506108,-3.4331536260943722,23.433153626094374,0.12851705889340398,0.0928431786933069,22,True,False
2009-05-31,2007-12-03,2009-05-29,375,-0.3193272532925623,20.0,0.1517073572266629,3.0,-0.11768691230006613,0.07485713434207449,-39.126784433760804,59.126784433760804,0.05131595052209182,0.0767097329312705,23,True,False
2009-06-30,2007-12-31,2009-06-30,378,-0.3155214520838783,20.0,0.15136292867376117,3.0,-0.11713399111244804,0.03371383161803554,-40.0,60.0,0.05045430955792039,0.023640385934353487,24,True,False
2009-07-31,2008-02-01,2009-07-31,378,-0.22126650741402956,20.0,0.15059156132336146,3.0,-0.1134647264008013,0.04472401403126358,-40.0,60.0,0.05019718710778716,0.036619273383206294,24,True,False
