date,window_start,window_end,n_days,mu,sigma
2008-08-01,2007-02-02,2008-08-01,378,-0.09120879458668203,0.18522374645697282
2008-08-31,2007-03-01,2008-08-29,380,-0.060798541378026885,0.1881992704909751
2008-09-30,2007-04-02,2008-09-30,379,-0.13134681162909329,0.22452295643054593
2008-10-31,2007-05-01,2008-10-31,382,-0.28006387176696235,0.29514894448586343
2008-11-30,2007-05-31,2008-11-28,380,-0.35320555785090446,0.3329796425606065
2008-12-31,2007-07-02,2008-12-31,380,-0.33766072442539447,0.3514779918192569
2009-01-31,2007-08-01,2009-01-30,379,-0.37594983540657856,0.3608128953898042
2009-02-28,2007-08-29,2009-02-27,378,-0.4423840483792863,0.3660782070415033
2009-03-31,2007-10-01,2009-03-31,378,-0.43174842008581277,0.3819204849352204
2009-04-30,2007-10-31,2009-04-30,377,-0.3744184202722414,0.38784105885174885
2009-05-31,2007-12-03,2009-05-29,375,-0.3193272532925623,0.38949617135567693
2009-06-30,2007-12-31,2009-06-30,378,-0.3155214520838783,0.3890608169085717
2009-07-31,2008-02-01,2009-07-31,378,-0.22126650741402956,0.38832487929743603
