date,window_start,window_end,n_days,p_uu,p_du,p_ud,p_dd,mu_u,sig_u,mu_d,sig_d,last_up,p_u,ai_loss,ai_adam
2018-10-01,2017-04-03,2018-10-01,378,0.5056041811246449,0.4943958188753551,0.7286769701593742,0.27132302984062584,0.004035727830485481,0.0023811076904891146,0.005016805173715423,0.002535127741890309,1.0,0.5714285714285714,0.5195921009486126,1.0
2018-10-31,2017-05-01,2018-10-31,381,0.5029241443454446,0.49707585565455537,0.6630275753627015,0.33697242463729843,0.004571195088162334,0.0033477565775099903,0.004837643533145853,0.004182463549419468,1.0,0.5616797900262467,0.35490917132842115,1.0
2018-11-30,2017-05-31,2018-11-30,381,0.5404275644263102,0.45957243557368976,0.6504863059221485,0.3495136940778515,0.006108225286240105,0.003240708433918498,0.005498225653508751,0.003530903003864606,1.0,0.5538057742782152,0.37998797089093844,1.0
2018-12-31,2017-07-03,2018-12-31,377,0.5637473817396748,0.43625261826032524,0.6376206782856503,0.3623793217143497,0.00699085085700924,0.0045755185731707615,0.006347329328892398,0.004286087993652274,1.0,0.5517241379310345,0.3627373093845367,1.0
2019-01-31,2017-08-01,2019-01-31,378,0.5916499309395938,0.40835006906040616,0.6353777943970855,0.3646222056029144,0.007906944037645709,0.005045232919524303,0.006707263701455372,0.005321206739967787,1.0,0.5608465608465608,0.3117807808852273,1.0
2019-02-28,2017-08-29,2019-02-28,377,0.5808164540391969,0.4191835459608031,0.6337700289957366,0.36622997100426335,0.007198249985177208,0.004390333413794483,0.006493997789752105,0.005125154195870291,0.0,0.5649867374005305,0.29977788221647067,1.0
2019-03-31,2017-10-02,2019-03-29,375,0.6075605300913922,0.3924394699086078,0.6051613050769873,0.39483869492301266,0.009814878026793289,0.004319648456854548,0.0066649660867595505,0.004431151472502834,1.0,0.5493333333333333,0.4887290505855888,1.0
2019-04-30,2017-10-31,2019-04-30,375,0.5736503851109286,0.4263496148890714,0.6167004592260064,0.38329954077399364,0.009116688793485529,0.0045850178969549,0.006102215814670523,0.004063182565370622,1.0,0.552,0.45169015131329715,1.0
2019-05-31,2017-12-01,2019-05-31,375,0.5991020408028902,0.4008979591971098,0.5741504299545481,0.4258495700454519,0.010989191126516258,0.007805169526011592,0.005798718790556982,0.005750974023942356,0.0,0.5386666666666666,0.6025753054710574,1.0
2019-06-30,2018-01-02,2019-06-28,375,0.5737204735530204,0.42627952644697964,0.5773201618639014,0.4226798381360985,0.011422414462032696,0.005658610188375601,0.005975286636005602,0.0039572913850164215,1.0,0.5466666666666666,0.6344444934468376,1.0
2019-07-31,2018-02-01,2019-07-31,376,0.5379673402126472,0.46203265978735275,0.564185410857035,0.435814589142965,0.0073799763177386695,0.006683958183808544,0.005976041412788864,0.006190326333816522,0.0,0.5398936170212766,0.1833017324813697,1.0
2019-08-31,2018-03-01,2019-08-30,379,0.6047818811185803,0.39521811888141967,0.5815878973407091,0.4184121026592909,0.010832600401502265,0.010710743428673782,0.004677880146591238,0.007237146195764359,1.0,0.5408970976253298,0.8528748511470501,1.0
2019-09-30,2018-04-02,2019-09-30,378,0.6062271462705706,0.3937728537294294,0.5465842838989291,0.4534157161010709,0.012244723063867528,0.007174606499387134,0.0052084453688754735,0.005211596871000216,1.0,0.5502645502645502,0.8383009848045796,1.0
