date,window_start,window_end,n_days,mu,sigma,lam,mu_j,sigma_j,kappa,mu_j_q,kappa_q,n_quotes,q_success,jump_premium_identified
2019-09-03,2018-03-05,2019-09-03,378,0.10315415640466362,0.13188636476819635,4.666666666666667,-0.010689159356941655,0.03562572359425228,-0.010004185129660725,-0.013905589824305398,-0.013183322353465643,24,True,True
2019-09-30,2018-04-02,2019-09-30,378,0.13192379835579596,0.1255451012687032,4.666666666666667,-0.010689159356941655,0.03562572359425228,-0.010004185129660725,-0.01425932906061692,-0.013532336397775624,24,True,True
2019-10-31,2018-05-01,2019-10-31,380,0.14308655436094153,0.12289398436341432,4.6421052631578945,-0.010689159356941655,0.03562572359425228,-0.010004185129660725,-0.013748361530090219,-0.013028154652479418,24,True,True
2019-11-30,2018-05-31,2019-11-29,379,0.14698419671033164,0.12148810543853222,4.654353562005277,-0.010689159356941655,0.03562572359425228,-0.010004185129660725,-0.013026090180463785,-0.01231503566399117,24,True,True
2019-12-31,2018-07-02,2019-12-31,378,0.1676396284717916,0.12097507212779625,4.666666666666667,-0.010689159356941655,0.03562572359425228,-0.010004185129660725,-0.013421935048621539,-0.012705928316950721,24,True,True
2020-01-31,2018-08-01,2020-01-31,378,0.14260264511219206,0.12234297065684349,4.666666666666667,-0.010689159356941655,0.03562572359425228,-0.010004185129660725,-0.015767563248256032,-0.015019039223181374,24,True,True
2020-02-29,2018-08-30,2020-02-28,376,0.11559814840686876,0.12642567835448465,6.031914893617021,-0.017201229778129386,0.03351543268602534,-0.016501914391744976,0.03571138448554725,0.036938919753166655,24,True,True
2020-03-31,2018-10-01,2020-03-31,377,-0.04065413804190663,0.17371575535325123,5.347480106100796,-0.007596881575928971,0.09060246758215028,-0.003486386402282049,0.19834001172615712,0.22439202575734996,24,True,True
2020-04-30,2018-10-31,2020-04-30,376,0.014824795897572414,0.1877663128811919,5.361702127659575,0.007512811110242823,0.09202842781772656,0.011816698882818777,-0.05765992726702658,-0.05202325868290192,24,True,True
2020-05-31,2018-12-03,2020-05-29,374,0.025543568229791962,0.19027271073122448,5.390374331550802,0.007512811110242823,0.09202842781772656,0.011816698882818777,-0.06215478535808762,-0.05627471759854741,24,True,True
2020-06-30,2018-12-31,2020-06-30,378,0.15106262241119145,0.18446652025995156,6.0,-3.333023702930168e-05,0.08901166119601568,0.003935933197690034,-0.06642591960267276,-0.06055347628327046,24,True,True
2020-07-31,2019-02-01,2020-07-31,378,0.13008655694375018,0.18189033949417446,6.0,-3.333023702930168e-05,0.08901166119601568,0.003935933197690034,-0.056753513116291274,-0.05142268043536813,24,True,True
2020-08-31,2019-03-01,2020-08-31,380,0.15503137817994367,0.18173109971404855,5.968421052631579,-3.333023702930168e-05,0.08901166119601568,0.003935933197690034,-0.049825925384792843,-0.04482851337050631,24,True,True
