date,ticker,mu,omega,alpha,beta,lam,kappa,sigma0,mu_j,sigma_j
2018-01-02,AAPL,0.37018290720647634,1.8534637747537216e-05,6.783568339397088e-06,0.8617550192462129,1.984251968503937,0.04725105190497514,0.011579158400956087,0.04616868528945384,0.0
2018-01-02,MSFT,0.45835805285108644,1.7697209535520357e-05,6.783568339397088e-06,0.8263469210031995,3.968503937007874,0.01447269952227681,0.010095210232003543,0.011837976037381459,0.07114764374988988
2018-01-02,SPY,0.21008637071162575,2.313568760542859e-06,0.04737844730438913,0.8029681802999747,3.968503937007874,-0.01470100031831667,0.0037902118886532976,-0.014810537645934208,0.0009019416067456555
2018-01-31,AAPL,0.3140608298934277,1.6485233468870158e-05,2.853674591151374e-09,0.8688029291358524,3.968503937007874,0.041556194244560585,0.011209480542350847,0.04068587415300251,0.007753865869099708
2018-01-31,MSFT,0.45835805285108644,1.8604564871202727e-05,3.043552951523862e-09,0.8334842879110089,3.968503937007874,0.01447269952227681,0.01057017440352618,0.011837976037381459,0.07114764374988988
2018-01-31,SPY,0.21008637071162575,1.7661309505367548e-06,0.0697149980937035,0.8399634474941038,3.968503937007874,-0.01470100031831667,0.0058417386728145185,-0.014810537645934208,0.0009019416067456555
2018-02-28,AAPL,0.257938752580379,2.516083919682295e-05,0.09239300014347597,0.7651374689280035,2.0,-0.04339019083998641,0.013858176031039903,-0.04435969359657044,0.0
2018-02-28,MSFT,0.45835805285108644,5.316535560527155e-05,0.18087043555391505,0.5158426689539783,4.0,0.01447269952227681,0.013935884497451182,0.011837976037381459,0.07114764374988988
2018-02-28,SPY,0.21008637071162575,1.2953633699647023e-06,0.2766013166807345,0.7233946437131251,4.0,-0.030959091222561574,0.011904299778956193,-0.0315527182772124,0.014440762811116262
2018-03-31,AAPL,0.257938752580379,3.499792540818282e-05,0.13885654427264724,0.6922829010790149,2.032258064516129,-0.04339019083998641,0.019825593557413767,-0.04435969359657044,0.0
2018-03-31,MSFT,0.8959281861768846,8.967472383064823e-05,0.33069050156793245,0.33837570736494427,4.064516129032258,0.01447269952227681,0.025101547298568453,0.011837976037381459,0.07114764374988988
2018-03-31,SPY,0.21008637071162575,2.0113200551393625e-06,0.288761446877621,0.7112374931147205,6.096774193548387,-0.02902753734362995,0.016962585557390063,-0.029515529981993065,0.01080362086219223
2018-04-30,AAPL,0.20181667526733035,4.597567868539158e-05,0.14688445044325477,0.6496090262504637,2.032258064516129,-0.04339019083998641,0.014374782606685994,-0.04435969359657044,0.0
2018-04-30,MSFT,0.6749050407825108,3.309367715885467e-05,0.3512761609922061,0.5920350882299196,2.032258064516129,-0.037740395258817894,0.017077679086850865,-0.03847100532361036,0.0
2018-04-30,SPY,0.21008637071162575,3.122991168351505e-06,0.288761446877621,0.7112374920858694,6.096774193548387,-0.02902753734362995,0.007919797361588007,-0.029515529981993065,0.01080362086219223
2018-05-31,AAPL,0.20181667526733035,4.4172946538784753e-05,0.24798154208861925,0.575345035280478,2.032258064516129,-0.04339019083998641,0.010546560859917327,-0.04435969359657044,0.0
2018-05-31,MSFT,0.6008671044015176,2.2822153261645727e-05,0.3221535667234308,0.5975199969386176,0.0,0.0,0.009458980606773743,0.0,0.0
2018-05-31,SPY,0.21008637071162575,4.658955355462352e-06,0.3012332492134637,0.6987656908203235,6.096774193548387,-0.02902753734362995,0.009845715738109473,-0.029515529981993065,0.01080362086219223
2018-06-30,AAPL,0.12777873888633712,3.504041078100833e-05,0.2535172276463202,0.6104578262319773,2.016,-0.04339019083998641,0.011545125859422157,-0.04435969359657044,0.0
2018-06-30,MSFT,0.5447450270884688,4.128732058758016e-05,0.32996845796864316,0.5261321601931256,0.0,0.0,0.014118007348191162,0.0,0.0
2018-06-30,SPY,0.21008637071162575,1.1926839138809366e-05,0.25514768108835145,0.6448040342424102,4.032,-0.0329798137731494,0.008535090673708313,-0.033602516489006806,0.011541910379868493
2018-07-31,AAPL,0.12777873888633712,2.3488289767833293e-05,0.26115874766236125,0.6189422843822603,2.016,-0.04339019083998641,0.011351679240343499,-0.04435969359657044,0.0
2018-07-31,MSFT,0.4707070907074756,4.0002618002437325e-05,0.2852109331316511,0.5601538959191629,2.016,0.07570564785165312,0.01923364906943503,0.07297686283866778,0.0
2018-07-31,SPY,0.15396429339857706,6.05942552124638e-06,0.17717084013235773,0.7494056347179666,4.032,-0.0329798137731494,0.006898383234380094,-0.033602516489006806,0.011541910379868493
2018-08-31,AAPL,0.5653488722121353,7.43872055885639e-05,0.28002877535559995,0.3352717404584661,1.9534883720930234,0.05891049753120359,0.011898324176947002,0.05724054702417414,0.0
2018-08-31,MSFT,0.4707070907074756,3.0233328301906257e-05,0.263332943444013,0.5747861042245642,1.9534883720930234,0.07570564785165312,0.01052329656461981,0.07297686283866778,0.0
2018-08-31,SPY,0.15396429339857706,2.037278802630535e-06,0.10953089936308928,0.8463069228768956,1.9534883720930234,-0.025120254355519234,0.005338076873689093,-0.025441153391554394,0.0
2018-09-30,AAPL,0.5653488722121353,6.93581707708503e-05,0.23429144266932345,0.38715666330910803,1.984251968503937,0.05891049753120359,0.014250516778922246,0.05724054702417414,0.0
2018-09-30,MSFT,0.4707070907074756,2.602206682332825e-05,0.09376877716388221,0.687817455540073,1.984251968503937,-0.028824661098834525,0.009720256020623035,-0.029248251399248915,0.0
2018-09-30,SPY,0.15396429339857706,2.3029711419069298e-07,0.03971657093470801,0.9409103179735474,1.984251968503937,-0.022328676148880122,0.003960231152789351,-0.022581735113272217,0.0
2018-10-31,AAPL,0.5653488722121353,3.844712647755736e-05,0.20682177458258827,0.6168763108162911,3.906976744186047,0.0076720245756389804,0.015907929026767128,0.004903586860054876,0.07401563887747786
2018-10-31,MSFT,0.4145850133944269,1.4179094319468415e-05,0.1553868077300464,0.8004325555408954,3.906976744186047,-0.05390328840486014,0.027285998794940317,-0.05541069398903131,0.0006495592249857444
2018-10-31,SPY,0.15396429339857706,4.579615291519747e-06,0.1095308993630898,0.8199232305160913,3.906976744186047,-0.031831389855360714,0.013294836228833895,-0.03235007473084073,0.0014504418095946322
2018-11-30,AAPL,0.4183636631987547,2.2287986256134116e-05,0.14040962769036117,0.8166543686185049,5.86046511627907,-0.017188241996986653,0.024828399802447883,-0.019608518273366737,0.06739204176634174
2018-11-30,MSFT,0.35846293608137825,1.4948222486454614e-05,0.11948343902933686,0.8361616795847945,3.906976744186047,-0.05390328840486014,0.021051145131008444,-0.05541069398903131,0.0006495592249857444
2018-11-30,SPY,0.15396429339857706,3.825216232729995e-06,0.1114966180255037,0.8448519230191144,1.9534883720930234,-0.032824868605786706,0.011665779315970529,-0.03337569197012158,0.0
2018-12-31,AAPL,0.27137845418537404,9.863209686157474e-06,0.06067715584277507,0.9296784265114146,4.0,-0.0017335660182598023,0.029265779914663125,-0.005696090758017913,0.08900584672173895
2018-12-31,MSFT,0.26759980438104636,1.41050443682828e-05,0.14544953794377347,0.839177862574181,2.0,-0.054337937660027924,0.030716165567210706,-0.05587000172180101,0.0
2018-12-31,SPY,0.15396429339857706,4.061754394351263e-06,0.18010467271880756,0.819893038103584,2.0,-0.032824868605786706,0.022963664912245857,-0.03337569197012158,0.0
2019-01-31,AAPL,0.12439324517199349,1.1864793467357542e-05,0.08647771923637736,0.9082093388418612,4.0,-0.08281798205959667,0.03108621308186725,-0.08677860646163249,0.025662146657642246
2019-01-31,MSFT,0.2114777270679977,2.3555426929342502e-05,0.1846401529535671,0.7866226778652549,2.0,-0.054337937660027924,0.02201180975093508,-0.05587000172180101,0.0
2019-01-31,SPY,0.15396429339857706,7.626393021207372e-06,0.20822107362940945,0.7665411772197304,2.0,-0.032824868605786706,0.01085664421019877,-0.03337569197012158,0.0
2019-02-28,AAPL,-0.022591963841387095,1.945957669766091e-05,0.12289834115380756,0.861081238964389,4.032,-0.08281798205959667,0.015311118017562159,-0.08677860646163249,0.025662146657642246
2019-02-28,MSFT,0.2114777270679977,3.30941403090766e-05,0.15906741465827606,0.7683515383585605,2.016,-0.054337937660027924,0.014121647702959999,-0.05587000172180101,0.0
2019-02-28,SPY,0.07992635701758383,1.1358932671218306e-05,0.1952602237834732,0.7466842034209158,2.016,-0.032824868605786706,0.007407889713876625,-0.03337569197012158,0.0
2019-03-31,AAPL,-0.022591963841387095,1.4707231683702876e-05,0.08052665665110949,0.8951198813803803,4.064516129032258,-0.08281798205959667,0.0174588298088082,-0.08677860646163249,0.025662146657642246
2019-03-31,MSFT,0.2114777270679977,4.6152047666436705e-06,0.08354823628456948,0.8984374072878761,2.032258064516129,-0.054337937660027924,0.012521382400809038,-0.05587000172180101,0.0
2019-03-31,SPY,0.07992635701758383,3.8962106550134994e-06,0.10284020116534061,0.8662830793612593,2.032258064516129,-0.032824868605786706,0.008459856978819008,-0.03337569197012158,0.0
2019-04-30,AAPL,0.4149781694844111,7.181165286189817e-10,0.053175798668461026,0.9369753391187666,4.097560975609756,-0.08281798205959667,0.009366127843415294,-0.08677860646163249,0.025662146657642246
2019-04-30,MSFT,0.6490478603937958,1.029994140853409e-05,0.14937663888346953,0.8146706398496455,2.048780487804878,0.033117282475311205,0.012987220051200938,0.03258071948690677,0.0
2019-04-30,SPY,0.517496490343382,1.6368708874454298e-06,0.17214800258496235,0.8150701720028778,4.097560975609756,-0.025522317959567387,0.0044088904599336445,-0.025900089852176844,0.00963613987713328
2019-05-31,AAPL,0.8525483028102093,1.6182060692483366e-05,0.20036199767111834,0.7996363283170658,6.146341463414634,-0.028555402368433458,0.017994128849746063,-0.032900151226221176,0.08864662180582372
