trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
2019-01-30,267.547077,258.0,7,0.0242,10.22,9.997919351968363,-0.2220806480316373,0.5595,5.4345
2019-10-17,299.188886,290.0,8,0.0166,9.52,10.087616147120327,0.5676161471203276,0.3515,6.5825
2019-06-17,289.425082,280.0,25,0.0223,10.52,12.45615130724986,1.93615130724986,0.4805,19.104
2019-06-10,288.990779,278.0,39,0.0229,12.79,15.423800715251078,2.6338007152510787,0.3665,33.4955
2019-09-19,301.095829,277.0,57,0.0192999999999999,25.22,27.182782282998993,1.9627822829989938,0.6625,47.7585
2019-02-06,272.708317,257.0,51,0.0242,17.69,19.085257069588444,1.3952570695884425,0.5205,37.45
2019-02-06,272.708317,271.0,9,0.0242,3.1,4.733721497269568,1.6337214972695677,0.314,8.1235
2019-07-09,297.272645,295.5,17,0.0226,3.91,6.505848367646509,2.595848367646509,0.2625,15.553
2019-10-03,290.3112,294.0,32,0.017,4.15,6.0556868645991555,1.9056868645991552,0.2095,31.0365
2019-10-17,299.188886,297.0,22,0.0166,5.13,7.7173107405228585,2.5873107405228586,0.2815,19.602
2019-08-06,287.752691,281.0,45,0.0204999999999999,12.21,13.496424458420018,1.2864244584200168,0.387,40.812
2019-11-07,308.164379,299.0,43,0.0156,12.07,14.893122808516337,2.8231228085163362,0.3895,37.7615
2019-10-03,290.3112,303.0,13,0.017,0.08,0.8950148967113949,0.8150148967113949,0.004,12.976
2019-06-10,288.990779,303.0,11,0.0229,0.07,0.5806471032633569,0.5106471032633568,0.026,10.919
2019-06-03,274.665808,283.0,32,0.0235,1.76,3.8702988283038247,2.110298828303825,0.23,30.9325
2019-03-14,281.166664,292.0,34,0.0245,0.26,3.7292767494410284,3.469276749441028,0.013,33.9625
2019-08-27,286.953978,315.0,52,0.0197999999999999,0.14,1.8618827377349128,1.7218827377349126,0.068,51.255
2019-10-10,293.156917,313.0,43,0.0168,0.21,2.421895961944584,2.211895961944584,0.0855,41.776
2019-02-06,272.708317,268.5,7,0.0242,4.72,5.874518890083206,1.1545188900832066,0.4365,6.0655
2019-02-13,275.009734,270.0,9,0.0243999999999999,5.64,6.900517844920545,1.2605178449205452,0.3555,7.5755
2019-01-15,260.405414,275.0,31,0.0245,0.29,1.8579860717042325,1.5679860717042324,0.1195,30.518
2019-09-12,301.265478,295.0,27,0.0195,7.87,10.318283904446854,2.4482839044468543,0.392,21.9695
2019-03-21,284.612008,294.0,32,0.0249,0.64,4.036466521323192,3.3964665213231915,0.0965,30.8005
2019-01-15,260.405414,264.0,59,0.0245,4.77,7.531127874540882,2.7611278745408825,0.238,54.3945
