date,window_start,window_end,n_days,p_uu,p_du,p_ud,p_dd,p_hh,p_ll,p_lh,p_hl,mu_u_l,sig_u_l,mu_u_h,sig_u_h,mu_d_l,sig_d_l,mu_d_h,sig_d_h,last_up,last_wild,p_u,p_h
2018-10-01,2017-04-03,2018-10-01,378,0.6148648648648649,0.3851351351351351,0.5445859872611465,0.4554140127388535,0.5026315789473684,0.5,0.5,0.49736842105263157,-5.7805608182322095,0.5878036635302627,-4.3046200712106595,0.6488940080674854,-5.683052492007812,0.5300442770494844,-4.056384799680809,0.5129360265465764,1.0,0.0,0.5873015873015873,0.5
2018-10-31,2017-05-01,2018-10-31,381,0.5967741935483871,0.4032258064516129,0.5303030303030303,0.4696969696969697,0.5236842105263158,0.5286458333333334,0.47135416666666663,0.47631578947368425,-5.676530531850665,0.5807886614961248,-4.2216537858152705,0.6607095038650679,-5.66327466734737,0.541671478120418,-3.9658089907766496,0.6051801629760101,1.0,1.0,0.5695538057742782,0.49868766404199477
2018-11-30,2017-05-31,2018-11-30,381,0.5892018779342723,0.41079812206572774,0.5267857142857143,0.4732142857142857,0.5394736842105263,0.5366492146596858,0.46335078534031415,0.4605263157894737,-5.611188032239764,0.5761881824633126,-4.145545714076839,0.6777610802847928,-5.637010906003826,0.5563725510912281,-3.921501419608543,0.5900319722586642,1.0,1.0,0.5605263157894737,0.5
2018-12-31,2017-07-03,2018-12-31,377,0.5947867298578199,0.4052132701421801,0.5210843373493976,0.4789156626506024,0.5398936170212766,0.5423280423280423,0.4576719576719577,0.4601063829787234,-5.557718849783268,0.5705745740080395,-4.095364249421462,0.6958286567376509,-5.6090046968623,0.550615106630363,-3.794135393745005,0.5649676823366354,1.0,1.0,0.5611702127659575,0.5
2019-01-31,2017-08-01,2019-01-31,378,0.6032863849765259,0.39671361502347413,0.5121212121212122,0.48787878787878786,0.5718085106382979,0.5710526315789474,0.42894736842105263,0.42819148936170215,-5.497728799865205,0.552372193778315,-4.016043373853992,0.674218935772651,-5.617034653753079,0.5643645225844428,-3.7912835185690046,0.5604533872861912,1.0,1.0,0.5649867374005305,0.4986737400530504
2019-02-28,2017-08-29,2019-02-28,377,0.6059907834101382,0.39400921658986177,0.528125,0.471875,0.5582010582010583,0.5558510638297872,0.4441489361702128,0.44179894179894175,-5.506773748365449,0.5552888291225471,-4.00074427027359,0.6686022640368392,-5.6218867922325915,0.5726244940789837,-3.783272180979104,0.5632087204347276,0.0,0.0,0.574468085106383,0.5
2019-03-31,2017-10-02,2019-03-29,375,0.6123853211009175,0.3876146788990825,0.5445859872611465,0.4554140127388535,0.5664893617021277,0.5641711229946524,0.43582887700534756,0.4335106382978723,-5.498863163169433,0.5590569264273907,-3.9836797378549447,0.6585091290992137,-5.637043423519505,0.5807293647034516,-3.746234609312428,0.5466669903375502,1.0,0.0,0.5828877005347594,0.5
2019-04-30,2017-10-31,2019-04-30,375,0.6004566210045662,0.3995433789954338,0.5608974358974359,0.4391025641025641,0.5664893617021277,0.5641711229946524,0.43582887700534756,0.4335106382978723,-5.530216156211653,0.5736709241303639,-3.9758349310050978,0.5758064521866068,-5.64130780123258,0.5937054032973685,-3.7309161505859088,0.54225153900498,0.0,0.0,0.5828877005347594,0.5
2019-05-31,2017-12-01,2019-05-31,375,0.5957943925233645,0.4042056074766355,0.5372670807453417,0.46273291925465837,0.5481283422459893,0.550531914893617,0.44946808510638303,0.4518716577540107,-5.535536578812544,0.5821197188299109,-3.9479811970590792,0.56768734559249,-5.624009898250271,0.5955762866264399,-3.7374958714781967,0.5378574973851215,0.0,1.0,0.56951871657754,0.5
2019-06-30,2018-01-02,2019-06-28,375,0.5921658986175116,0.40783410138248843,0.5537974683544304,0.4462025316455696,0.5345744680851063,0.5374331550802139,0.46256684491978606,0.46542553191489366,-5.537509114983136,0.5911368154724952,-3.932030827528867,0.5573912299610579,-5.609115060122518,0.5961196444493022,-3.7038721231875686,0.5273612039027835,0.0,0.0,0.5775401069518716,0.5
2019-07-31,2018-02-01,2019-07-31,376,0.5825471698113207,0.4174528301886793,0.5396341463414633,0.4603658536585366,0.5427807486631016,0.5476190476190477,0.45238095238095233,0.45721925133689845,-5.564971020713779,0.5779340994722655,-3.9424644454279894,0.5719813319971514,-5.54613125877765,0.5656165274196944,-3.739737637203377,0.5375842310407782,0.0,1.0,0.5626666666666666,0.49866666666666665
2019-08-31,2018-03-01,2019-08-30,379,0.5758293838862559,0.42417061611374407,0.5327380952380952,0.46726190476190477,0.5394736842105263,0.5423280423280423,0.4576719576719577,0.4605263157894737,-5.556287912531319,0.5701381174999824,-3.9729832100482505,0.5838999118044159,-5.554683469355573,0.5607577630583558,-3.772560455485244,0.5437983327968514,0.0,0.0,0.5555555555555556,0.5
2019-09-30,2018-04-02,2019-09-30,378,0.5697115384615384,0.43028846153846156,0.5323529411764706,0.4676470588235294,0.5317460317460317,0.5370370370370371,0.4629629629629629,0.46825396825396826,-5.583733894600368,0.5679598856462887,-3.998197773865944,0.5937698511034539,-5.5872870551773275,0.5672500023078686,-3.806654932331809,0.556832831328948,1.0,0.0,0.5517241379310345,0.4986737400530504
