Datetime,Open,High,Low,Close,Volume
2022-09-30 10:00:00,141.21,142.63,140.61,142.07,13180708
2022-09-30 11:00:00,142.08,142.89,141.37,142.3808,12542148
2022-09-30 12:00:00,142.3855,143.1,141.025,141.19,11097425
2022-09-30 13:00:00,141.19,141.76,140.85,141.13,7114423
2022-09-30 14:00:00,141.1385,141.2993,140.1769,140.32,7700881
2022-09-30 15:00:00,140.32,140.85,139.61,139.89,10936667
2022-09-30 16:00:00,139.899,140.35,138.0,138.08,25428004
2022-10-03 10:00:00,138.26,140.05,137.685,139.77,15079659
2022-10-03 11:00:00,139.78,141.585,139.59,141.265,15260195
2022-10-03 12:00:00,141.255,141.57,140.08,140.9399,10958690
2022-10-03 13:00:00,140.94,141.63,140.8,141.5563,7710255
2022-10-03 14:00:00,141.5599,142.24,141.48,142.18,9126298
2022-10-03 15:00:00,142.175,143.07,142.13,142.87,9792385
2022-10-03 16:00:00,142.855,143.07,142.22,142.44,14830674
2022-10-04 10:00:00,145.03,145.47,144.5,145.28,11967034
2022-10-04 11:00:00,145.28,146.22,145.28,145.6401,12854671
2022-10-04 12:00:00,145.6409,145.79,144.96,145.21,8372738
2022-10-04 13:00:00,145.22,145.67,144.83,144.925,5710018
2022-10-04 14:00:00,144.93,145.53,144.26,145.33,7031458
2022-10-04 15:00:00,145.33,146.09,145.04,145.892,5888186
2022-10-04 16:00:00,145.89,146.22,145.11,146.16,11767831
2022-10-05 10:00:00,144.07,145.33,143.915,144.79,9300347
2022-10-05 11:00:00,144.76,145.09,143.01,143.7184,11126320
2022-10-05 12:00:00,143.7174,144.48,143.66,144.33,7746354
2022-10-05 13:00:00,144.3302,145.905,144.01,145.395,7667619
2022-10-05 14:00:00,145.4,146.26,145.2801,145.3225,6081415
2022-10-05 15:00:00,145.33,146.7,145.2795,146.56,6892124
2022-10-05 16:00:00,146.56,147.38,145.87,146.42,14163108
2022-10-06 10:00:00,145.89,147.54,145.81,146.36,8475031
2022-10-06 11:00:00,146.355,146.685,145.6,146.4902,10305581
2022-10-06 12:00:00,146.5,146.94,145.72,145.815,7769598
2022-10-06 13:00:00,145.82,146.475,145.565,146.29,5412147
2022-10-06 14:00:00,146.2683,146.54,145.94,146.39,4783762
2022-10-06 15:00:00,146.3878,146.39,145.27,145.67,5279791
2022-10-06 16:00:00,145.66,146.045,145.22,145.49,9830623
2022-10-07 10:00:00,142.58,143.1,141.39,141.53,9580038
2022-10-07 11:00:00,141.52,141.86,140.88,141.425,10343470
2022-10-07 12:00:00,141.425,141.645,140.79,141.075,7219468
2022-10-07 13:00:00,141.0795,141.37,140.165,140.1999,6213877
2022-10-07 14:00:00,140.19,140.6,139.94,140.175,5792973
2022-10-07 15:00:00,140.175,140.56,139.92,140.31,5865861
2022-10-07 16:00:00,140.3,140.535,139.445,140.1,15973381
2022-10-10 10:00:00,140.42,140.63,138.5729,138.812,9915738
2022-10-10 11:00:00,138.8,140.46,138.64,139.44,10049467
2022-10-10 12:00:00,139.45,140.82,139.23,140.38,7772150
2022-10-10 13:00:00,140.375,140.5195,139.49,139.51,5174241
2022-10-10 14:00:00,139.515,141.89,139.055,141.195,8724780
2022-10-10 15:00:00,141.18,141.3992,140.4194,141.02,6984481
2022-10-10 16:00:00,141.01,141.54,140.12,140.35,10190373
2022-10-11 10:00:00,139.89,140.0702,138.67,138.78,8932970
2022-10-11 11:00:00,138.77,139.83,138.36,139.0499,10171865
2022-10-11 12:00:00,139.05,140.78,139.04,140.27,8282818
2022-10-11 13:00:00,140.26,141.35,140.01,140.7301,7025584
2022-10-11 14:00:00,140.7345,140.93,139.83,140.3,6087534
2022-10-11 15:00:00,140.3,140.55,138.52,138.79,7878973
2022-10-11 16:00:00,138.8,139.25,138.22,138.95,12926102
2022-10-12 10:00:00,139.12,140.36,138.6507,139.86,8921004
2022-10-12 11:00:00,139.87,140.09,138.831,139.4729,9187855
2022-10-12 12:00:00,139.49,140.14,139.05,139.91,7279951
2022-10-12 13:00:00,139.91,140.02,138.94,139.52,5211865
2022-10-12 14:00:00,139.535,139.6,138.25,138.28,5661383
2022-10-12 15:00:00,138.3,139.36,138.28,138.43,8306342
2022-10-12 16:00:00,138.42,138.8,138.16,138.295,9592818
2022-10-13 10:00:00,134.99,136.395,134.37,136.27,12816574
2022-10-13 11:00:00,136.2799,136.89,135.62,136.14,13771576
2022-10-13 12:00:00,136.1299,142.61,135.98,140.91,20178709
2022-10-13 13:00:00,140.9,141.37,140.07,140.7198,9305155
2022-10-13 14:00:00,140.73,142.37,140.6,141.66,8279798
