ticker,date,window_start,window_end,n_days,mu,omega,alpha,beta,sigma0,lam,mu_j,sigma_j,kappa
SPY,2023-03-09 09:59:00,2023-03-08 10:00:00,2023-03-09 09:59:00,390,-0.5017742630942871,1.5423466353120288e-08,0.1447086442499231,0.7840285524798797,0.0003652041200421083,1512.0,2.93657695419706e-06,0.0018686596258369714,4.682532315891663e-06
SPY,2023-03-09 10:59:00,2023-03-08 11:00:00,2023-03-09 10:59:00,390,-0.40179653619472905,1.5423466368846388e-08,0.1447086434135767,0.7840276364760489,0.00046707106731572125,1512.0,-0.00033530791455064585,0.0015093706612413038,-0.00033411298647467724
SPY,2023-03-09 11:59:00,2023-03-08 12:00:00,2023-03-09 11:59:00,390,-1.3919381236909942,1.542346590919643e-08,0.1447086370631612,0.7840267232495963,0.0003382390895270848,1260.0,-0.0006378316190179589,0.00147015145581512,-0.000636548263504344
SPY,2023-03-09 12:59:00,2023-03-08 13:00:00,2023-03-09 12:59:00,390,-0.7081863892239426,1.5423465900019664e-08,0.14470863633814468,0.7840258071057569,0.0003945414852169627,1260.0,-0.0007311796744158272,0.0015102533615248507,-0.0007297728279953564
SPY,2023-03-09 13:59:00,2023-03-08 14:00:00,2023-03-09 13:59:00,390,-1.3624952211604628,1.5423465932963117e-08,0.14470863545813648,0.7840248912013117,0.0003999431979890363,1008.0,-0.0006242630278168182,0.0017219018049421302,-0.0006225866673459368
SPY,2023-03-09 14:59:00,2023-03-08 15:00:00,2023-03-09 14:59:00,390,-2.3396363901294435,1.542346613082142e-08,0.1447086337940576,0.7840239764121786,0.0005108114247951458,1008.0,-0.0006242630278168182,0.0017219018049421302,-0.0006225866673459368
SPY,2023-03-09 15:59:00,2023-03-09 09:30:00,2023-03-09 15:59:00,390,-4.825181551406984,1.5423466642068813e-08,0.14470862914886445,0.7840230657724578,0.0005861809658029251,1260.0,-2.7793258646013898e-05,0.00200064746946347,-2.5791630887672667e-05
SPY,2023-03-10 09:59:00,2023-03-09 10:00:00,2023-03-10 09:59:00,390,-6.111220889115483,1.5423469026896263e-08,0.14470861273510047,0.7840221757951038,0.000814063853435901,1512.0,-0.0005814916724324881,0.002037189149402442,-0.0005792487732335649
SPY,2023-03-10 10:59:00,2023-03-09 11:00:00,2023-03-10 10:59:00,390,-5.852193555484879,1.5423469306341985e-08,0.14470861169056315,0.7840212616709769,0.0008089272831834493,1512.0,0.0007855083364914547,0.002367122984672458,0.000788620770072912
SPY,2023-03-10 11:59:00,2023-03-09 12:00:00,2023-03-10 11:59:00,390,-7.807784141943291,1.5423470790185846e-08,0.1447086064010429,0.7840203583829397,0.0006354194259210416,1260.0,0.0012286146436551349,0.002351917310375527,0.001232138861304355
SPY,2023-03-10 12:59:00,2023-03-09 13:00:00,2023-03-10 12:59:00,390,-10.078837365537018,1.542347159667392e-08,0.1447086049238399,0.7840194475082821,0.0004543071469833884,1512.0,0.0012982999060452787,0.0021105326916779905,0.0013013731322411015
SPY,2023-03-10 13:59:00,2023-03-09 14:00:00,2023-03-10 13:59:00,390,-8.708075471357386,2.57539733806931e-08,0.13187383226828972,0.8294504370923461,0.0004880840669280812,1260.0,0.0012593140359745902,0.0023572305928383766,0.0012628890776658075
SPY,2023-03-10 14:59:00,2023-03-09 15:00:00,2023-03-10 14:59:00,390,-6.912743731895893,2.5753980330013205e-08,0.1318738006215062,0.8294495171659425,0.0008109934976578292,1512.0,0.0014548716300692988,0.002149725474672711,0.0014582444958703977
SPY,2023-03-10 15:59:00,2023-03-10 09:30:00,2023-03-10 15:59:00,390,-6.0578611470358945,2.575398145962824e-08,0.1318737930781949,0.8294485695511382,0.0007828918631487048,1260.0,0.001274228792475718,0.0023520014370248714,0.0012778104528285983
SPY,2023-03-13 10:59:00,2023-03-13 09:30:00,2023-03-13 10:59:00,90,9.510184145515096,8.411057265072184e-08,2.8365808282377668e-12,0.941797945033546,0.001204659419825716,2184.0,-0.002882125729700924,0.010177357178521102,-0.0028263348041835945
