date,ticker,mu,sigma,lam,mu_j,kappa,sigma_j
2019-01-02,AAPL,-0.33007477477319713,0.2640247662374547,4.0,-0.0002901071753456108,0.004390215603081504,0.0966510620223204
2019-01-02,MSFT,-0.21072160070967927,0.2723942446330018,4.0,0.061438865907203155,0.06338836937864767,0.006560322916625689
2019-01-02,SPY,-0.2655897204594454,0.16459866500386144,2.0,0.04838696385542551,0.04957672500833232,0.0
2019-03-25,AAPL,-0.10426060055350977,0.34672196447966636,2.048780487804878,-0.10492448438305502,-0.09960748628479688,0.0
2019-03-25,MSFT,-0.061645341113480356,0.3068106565002143,2.048780487804878,0.06607771472832269,0.0683097373410082,0.0
2019-03-25,SPY,-0.1846387023999124,0.18498979716793312,2.048780487804878,0.04838696385542551,0.04957672500833232,0.0
2019-06-13,AAPL,0.2210816647226641,0.21260864250822034,6.096774193548387,0.009742964810111499,0.014782369168453435,0.09930971836813023
2019-06-13,MSFT,0.2696894454434071,0.23858437343355732,2.032258064516129,0.06607771472832269,0.0683097373410082,0.0
2019-06-13,SPY,0.009889781815555316,0.1367135124360209,4.064516129032258,0.04105282350113182,0.041963186565967314,0.010372040757389959
2019-09-03,AAPL,0.5661693712087805,0.23774180830191616,3.9375,-0.0568223060785944,-0.055229252292896214,0.0043197546992256195
2019-09-03,MSFT,0.3873489328589806,0.2087023635819082,0.0,0.0,0.0,0.0
2019-09-03,SPY,0.24563136928811355,0.11674232550593044,5.90625,-0.028574533373960282,-0.028168029482635304,0.002085219627474278
2019-11-20,AAPL,0.9341442565405416,0.21560614938042447,3.906976744186047,-0.0505452271895761,-0.04927919725582941,0.004557375397709893
2019-11-20,MSFT,0.34536448290916555,0.19904217893712772,0.0,0.0,0.0,0.0
2019-11-20,SPY,0.3513710056115169,0.1126256863846206,5.86046511627907,-0.028574533373960282,-0.028168029482635304,0.002085219627474278
2020-02-12,AAPL,1.1852059191767457,0.20970394227459924,3.968503937007874,-0.046337180318870796,-0.045279077652667254,0.0013937015579432136
2020-02-12,MSFT,0.6238466154598156,0.1868373330974048,0.0,0.0,0.0,0.0
2020-02-12,SPY,0.4304507402873149,0.10492760181840054,3.968503937007874,-0.027790983833050564,-0.027405929466374435,0.0022388797402381725
2020-05-04,AAPL,0.5489754967254378,0.3797183226224569,6.096774193548387,-0.042842790933018605,-0.03301717823865147,0.13614876261175055
2020-05-04,MSFT,0.5071303770963548,0.32841789636216984,4.064516129032258,-0.013262317644573862,0.008142492156179681,0.20674544042972098
2020-05-04,SPY,-0.06743140714384516,0.28974934596809626,8.129032258064516,-0.011942792145555936,-0.005039712696078835,0.11739111779117418
2020-07-23,AAPL,0.5837302315553597,0.4029754624068827,6.0,-0.042842790933018605,-0.03301717823865147,0.13614876261175055
2020-07-23,MSFT,0.46062159947232484,0.36779997550714694,4.0,-0.013262317644573862,0.008142492156179681,0.20674544042972098
2020-07-23,SPY,0.04213999884700829,0.32343822203875494,8.0,-0.011942792145555936,-0.005039712696078835,0.11739111779117418
2020-10-12,AAPL,1.2144716757467577,0.2872542832159968,3.9375,0.008057889067498714,0.016566919607171604,0.12940862574519377
2020-10-12,MSFT,0.7189377458337054,0.3143010510778191,1.96875,-0.06394872006364682,-0.06194689839927059,0.0
2020-10-12,SPY,0.588776702996534,0.20626143031715,1.96875,-0.0604024610152063,-0.058614413665160514,0.0
2020-12-31,AAPL,0.7247399747688004,0.3008081417292999,3.9375,0.008057889067498714,0.016566919607171604,0.12940862574519377
2020-12-31,MSFT,0.31317479881906674,0.29018155573934207,1.96875,-0.06394872006364682,-0.06194689839927059,0.0
2020-12-31,SPY,0.5252504837499767,0.15083392573935567,3.9375,-0.035683716662587184,-0.03505451417529548,0.0003034810543877211
