timestamp,S_t,p25,p50,p75
2008-08-01,3.7875,3.7875,3.7875,3.7875
2008-08-04,3.7855,3.710207399222731,3.7883128658480967,3.8700608729364956
2008-08-05,3.9555,3.6827123993925,3.7967815942330985,3.9116408599534216
2008-08-06,3.9045,3.661837155290722,3.797912331908122,3.939779710439481
2008-08-07,3.8475,3.6427884544808697,3.799814520840227,3.9727455547185877
2008-08-08,4.0255,3.624482689376823,3.8037891300579902,3.9985657216543604
2008-08-11,4.4045,3.612357234619277,3.8085483326781002,4.026184461058021
2008-08-12,4.3625,3.5991483345577264,3.8124737486484603,4.053578127386473
2008-08-13,4.3345,3.586998405376143,3.820973546354537,4.081316152299131
2008-08-14,4.4015,3.5817939760511903,3.826857534638735,4.107865011090084
2008-08-15,4.32,3.5690697853712368,3.828220715200019,4.138784694254485
2008-08-18,4.1555,3.5633692248813595,3.84234316195547,4.159586607640174
2008-08-19,4.0645,3.553456951444771,3.850974922908274,4.176774759884413
2008-08-20,4.1065,3.5524919534730968,3.852424468375949,4.2047991959869755
2008-08-21,4.163,3.54773945477532,3.8616583172481955,4.22785135857791
2008-08-22,4.263,3.5403068052123476,3.8642740242937026,4.247399359330162
2008-08-25,4.1425,3.53179397756848,3.8708933860483468,4.26693630763832
2008-08-26,4.088,3.5261193016898718,3.880172078463765,4.290120371736044
2008-08-27,4.0865,3.520340512986349,3.8854747026709333,4.320709179807198
2008-08-28,4.171,3.5105894001182048,3.8874224896238925,4.337298481084913
2008-08-29,4.0405,3.508929351309339,3.896062221776483,4.361763850840246
2008-09-02,4.0705,3.5060722777335167,3.9065200936451205,4.384580727527511
2008-09-03,4.0385,3.4980592314560184,3.910868137196488,4.401147294902166
2008-09-04,3.9015,3.5004964442586854,3.9185021993620373,4.415578283559986
2008-09-05,3.9595,3.499443768528698,3.930012393883633,4.441919380884358
2008-09-08,4.058,3.491686869074182,3.928367199299914,4.459984829482124
2008-09-09,3.952,3.4927424657379245,3.9413189370237496,4.478032497118662
2008-09-10,3.837,3.494401941910232,3.946169862583792,4.496451037361532
2008-09-11,3.9755,3.4975549874332788,3.958310237664146,4.524107272768765
2008-09-12,3.915,3.4933498221634056,3.9613812712890573,4.542281062186309
2008-09-15,3.867,3.494384573505983,3.9661692869568856,4.565873051083813
2008-09-16,3.9365,3.4777007846130688,3.9854142834981543,4.580061486231628
2008-09-17,3.577,3.4753783341421465,3.990530497612527,4.600973610948081
2008-09-18,3.825,3.478755438465483,3.9987218092079786,4.622335936281942
2008-09-19,4.05,3.4768229579981256,4.008450421501294,4.642001625212755
2008-09-22,3.7465,3.4725592689431366,4.012665750081105,4.674082261620564
2008-09-23,3.588,3.4795324487834516,4.023875130294819,4.678581779946638
2008-09-24,3.498,3.4738771717665218,4.027661430858087,4.704259107350831
2008-09-25,3.604,3.4718846159214465,4.039268389549161,4.724978641068998
2008-09-26,3.535,3.477157488362909,4.050984711599175,4.748302746627358
2008-09-29,3.1675,3.4825297139193623,4.056873565503846,4.755043466114746
2008-09-30,3.638,3.484690965296115,4.059444864352232,4.786999135763944
2008-10-01,3.479,3.4856945519312736,4.074993956005045,4.8017221239837955
2008-10-02,3.368,3.479435650242191,4.073465631945755,4.820310430224435
2008-10-03,3.35,3.47641153188774,4.088901609837256,4.845449384604772
2008-10-06,3.2615,3.4702280807289405,4.0947019934240165,4.858410267128141
2008-10-07,2.926,3.4669004354820854,4.101007707023687,4.87022777964924
