ticker,date,window_start,window_end,n_days,mu,sigma,lam,mu_j,sigma_j,kappa
AAPL,2008-01-02,2007-07-03,2008-01-02,127,0.7481422179251709,0.41677867201778396,1.984251968503937,0.10017073341069183,0.0,0.10535962378461439
AAPL,2008-01-31,2007-08-01,2008-01-31,127,0.07933729635960543,0.3722893072662752,3.968503937007874,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-29,2007-08-30,2008-02-29,126,-0.11698832170643363,0.36150427667791846,4.0,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-31,2007-10-01,2008-03-31,125,-0.11221817947726764,0.37562020935578094,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-04-30,2007-10-31,2008-04-30,125,-0.12281078552195956,0.38762787138747684,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-05-31,2007-12-03,2008-05-30,124,0.3027625054260512,0.41907555552075376,2.032258064516129,-0.11256812287424744,0.0,-0.10646352523776614
AAPL,2008-06-30,2007-12-31,2008-06-30,126,-0.12957625416175675,0.42514842068378084,2.0,-0.11256812287424744,0.0,-0.10646352523776614
AAPL,2008-07-31,2008-02-01,2008-07-31,126,0.32130263587010965,0.4065083209572113,0.0,0.0,0.0,0.0
AAPL,2008-08-31,2008-03-03,2008-08-29,127,0.6043163599342516,0.3824824915245247,0.0,0.0,0.0,0.0
AAPL,2008-09-30,2008-03-31,2008-09-30,129,-0.0634590975552354,0.42822290803144036,1.9534883720930234,-0.19746991655071078,0.0,-0.17919516710312466
AAPL,2008-10-31,2008-05-01,2008-10-31,129,-0.8198218138333622,0.4097261150901674,3.906976744186047,-0.033637911275697374,0.23169344381070442,-0.006773938065377516
AAPL,2008-11-30,2008-06-02,2008-11-28,127,-1.2985105748271728,0.49203353553694656,3.968503937007874,-0.033637911275697374,0.23169344381070442,-0.006773938065377516
AAPL,2008-12-31,2008-07-01,2008-12-31,128,-0.9452876725217929,0.6348390137179524,1.96875,-0.19746991655071078,0.0,-0.17919516710312466
AAPL,2009-01-31,2008-08-01,2009-01-30,126,-0.7456511023344043,0.6513802794032816,2.0,-0.19746991655071078,0.0,-0.17919516710312466
AAPL,2009-02-28,2008-08-29,2009-02-27,125,-0.951048416942234,0.6632412262940637,2.016,-0.19746991655071078,0.0,-0.17919516710312466
AAPL,2009-03-31,2008-10-01,2009-03-31,125,-0.42332571411146946,0.6176832984190076,2.016,0.13019409399931603,0.0,0.13904944453270884
AAPL,2009-04-30,2008-10-31,2009-04-30,124,0.013824085514631943,0.4985541198726189,2.032258064516129,0.11829412407939743,0.0,0.12557512143232463
AAPL,2009-05-31,2008-12-01,2009-05-29,124,0.7767535551421053,0.4528352315805078,0.0,0.0,0.0,0.0
AAPL,2009-06-30,2008-12-31,2009-06-30,125,1.0102916674050424,0.4073352322671373,0.0,0.0,0.0,0.0
AAPL,2009-07-31,2009-02-02,2009-07-31,126,1.189773873230409,0.360554645046766,0.0,0.0,0.0,0.0
AAPL,2009-08-31,2009-03-02,2009-08-31,128,1.0067793663137177,0.30293192272469,3.9375,0.06485508439358778,0.0007774475314360803,0.06700471005388153
AAPL,2009-09-30,2009-03-31,2009-09-30,128,1.0075035944646027,0.26255908209629847,1.96875,0.06540482281508297,0.0,0.06759112216020302
AAPL,2009-10-31,2009-05-01,2009-10-30,128,0.6721878754838269,0.2650135113986489,1.96875,0.06540482281508297,0.0,0.06759112216020302
AAPL,2009-11-30,2009-06-01,2009-11-30,128,0.7611395241354514,0.2477068679959187,0.0,0.0,0.0,0.0
AAPL,2009-12-31,2009-07-01,2009-12-31,128,0.7712127781152978,0.25082503589566,0.0,0.0,0.0,0.0
MSFT,2008-01-02,2007-07-03,2008-01-02,127,0.1702779367682945,0.2289211398761646,1.984251968503937,0.09078180019181259,0.0,0.09503004384321989
MSFT,2008-01-31,2007-08-01,2008-01-31,127,0.06675829121833132,0.2448220891969984,1.984251968503937,0.09078180019181259,0.0,0.09503004384321989
MSFT,2008-02-29,2007-08-30,2008-02-29,126,-0.13253826874275373,0.19176946508619164,4.0,0.011277987105574816,0.112435370726933,0.01775461550658841
MSFT,2008-03-31,2007-10-01,2008-03-31,125,-0.10802334051152307,0.22292888681395998,4.032,0.011277987105574816,0.112435370726933,0.01775461550658841
MSFT,2008-04-30,2007-10-31,2008-04-30,125,-0.16705854980306484,0.2831562003057914,4.032,-0.06608886206576536,0.0030221233507500816,-0.06394804395592402
MSFT,2008-05-31,2007-12-03,2008-05-30,124,-0.06450250250683383,0.2754778730142758,4.064516129032258,-0.06608886206576536,0.0030221233507500816,-0.06394804395592402
MSFT,2008-06-30,2007-12-31,2008-06-30,126,-0.2694096339107914,0.2815020135525685,4.0,-0.06608886206576536,0.0030221233507500816,-0.06394804395592402
MSFT,2008-07-31,2008-02-01,2008-07-31,126,-0.19776487561307826,0.3064896419113504,4.0,-0.06608886206576536,0.0030221233507500816,-0.06394804395592402
MSFT,2008-08-31,2008-03-03,2008-08-29,127,0.276444172103101,0.29556727084135265,3.968503937007874,-0.06308346299697032,0.0012281527726833413,-0.06113418200368814
MSFT,2008-09-30,2008-03-31,2008-09-30,129,0.10675700853741832,0.34072496905954214,1.9534883720930234,-0.09126664863253087,0.0,-0.08722571156924541
MSFT,2008-10-31,2008-05-01,2008-10-31,129,-0.8025505759338978,0.44177038748445446,1.9534883720930234,0.1706253854610824,0.0,0.18604635558015614
MSFT,2008-11-30,2008-06-02,2008-11-28,127,-1.234756182053815,0.4961948897968112,3.968503937007874,0.14315715224214154,0.038845947952653365,0.15478208604027066
MSFT,2008-12-31,2008-07-01,2008-12-31,128,-1.245598473822458,0.5250741713649983,3.9375,0.14315715224214154,0.038845947952653365,0.15478208604027066
MSFT,2009-01-31,2008-08-01,2009-01-30,126,-0.9013165557829107,0.48147214706866825,4.0,0.023023472568478365,0.20874062704493285,0.04582892146150863
MSFT,2009-02-28,2008-08-29,2009-02-27,125,-1.1895256767460054,0.49701350350063306,4.032,0.023023472568478365,0.20874062704493285,0.04582892146150863
MSFT,2009-03-31,2008-10-01,2009-03-31,125,-1.078339132494701,0.6146650295809986,2.016,0.1706253854610824,0.0,0.18604635558015614
MSFT,2009-04-30,2008-10-31,2009-04-30,124,-0.18208796764808527,0.46886101592080454,4.064516129032258,-0.004444760650462509,0.16989467909227948,0.01003738027489498
MSFT,2009-05-31,2008-12-01,2009-05-29,124,0.14527697376980242,0.39363962410885767,4.064516129032258,-0.012285272166338013,0.1588065213705859,0.0003245360990240531
MSFT,2009-06-30,2008-12-31,2009-06-30,125,0.4998671861494829,0.3389949123430247,4.032,-0.012285272166338013,0.1588065213705859,0.0003245360990240531
MSFT,2009-07-31,2009-02-02,2009-07-31,126,0.4792903950389441,0.3218356525304,6.0,0.03266553155532037,0.10320956116711445,0.03872254736985692
MSFT,2009-08-31,2009-03-02,2009-08-31,128,0.6789848606079192,0.28595713335924144,5.90625,0.03266553155532037,0.10320956116711445,0.03872254736985692
MSFT,2009-09-30,2009-03-31,2009-09-30,128,0.7685996539926432,0.18947942979133545,3.9375,0.006924814756015918,0.13163935591062695,0.015711421412633708
MSFT,2009-10-31,2009-05-01,2009-10-30,128,0.7191578035288888,0.18255658510046896,3.9375,-0.016887470728097487,0.09796369882789378,-0.012016248859991863
MSFT,2009-11-30,2009-06-01,2009-11-30,128,0.7717136520134487,0.16575560166907027,3.9375,-0.016887470728097487,0.09796369882789378,-0.012016248859991863
MSFT,2009-12-31,2009-07-01,2009-12-31,128,0.5848784090824708,0.15155091743715993,3.9375,-0.016887470728097487,0.09796369882789378,-0.012016248859991863
SPY,2008-01-02,2007-07-03,2008-01-02,127,-0.09750293755582676,0.1946641180565994,0.0,0.0,0.0,0.0
SPY,2008-01-31,2007-08-01,2008-01-31,127,-0.10808887173735178,0.20624193587514356,0.0,0.0,0.0,0.0
SPY,2008-02-29,2007-08-30,2008-02-29,126,-0.19105792739250127,0.19822300150369473,0.0,0.0,0.0,0.0
SPY,2008-03-31,2007-10-01,2008-03-31,125,-0.37548151398831553,0.2101409766256648,2.016,0.04134868233097411,0.0,0.042215444307393435
SPY,2008-04-30,2007-10-31,2008-04-30,125,-0.20090001999576415,0.22449656496389045,0.0,0.0,0.0,0.0
SPY,2008-05-31,2007-12-03,2008-05-30,124,-0.1997096137648715,0.19750284726894923,2.032258064516129,0.04134868233097411,0.0,0.042215444307393435
SPY,2008-06-30,2007-12-31,2008-06-30,126,-0.3727732220712043,0.20270658372506087,2.0,0.04134868233097411,0.0,0.042215444307393435
SPY,2008-07-31,2008-02-01,2008-07-31,126,-0.2512635286085865,0.20105511050710892,2.0,0.04134868233097411,0.0,0.042215444307393435
SPY,2008-08-31,2008-03-03,2008-08-29,127,-0.15460559201479995,0.20132209670941362,1.984251968503937,0.04134868233097411,0.0,0.042215444307393435
SPY,2008-09-30,2008-03-31,2008-09-30,129,-0.054996121971754824,0.2493623892204205,1.9534883720930234,-0.0919288693156215,0.0,-0.08782996948391075
SPY,2008-10-31,2008-05-01,2008-10-31,129,-0.770236665308941,0.2829653578554222,7.813953488372094,0.006320123685817913,0.11494033931290584,0.013009663275904026
SPY,2008-11-30,2008-06-02,2008-11-28,127,-1.321385903116479,0.45786260176104454,3.968503937007874,0.10582535469218302,0.005052182273772531,0.11164190597431545
SPY,2008-12-31,2008-07-01,2008-12-31,128,-1.1199503841792815,0.4923928395697026,3.9375,0.10582535469218302,0.005052182273772531,0.11164190597431545
SPY,2009-01-31,2008-08-01,2009-01-30,126,-1.0827029609063743,0.5307015611394248,2.0,0.10939778703775804,0.0,0.11560603570970307
SPY,2009-02-28,2008-08-29,2009-02-27,125,-1.3759280317587554,0.5435532519728601,2.016,0.10939778703775804,0.0,0.11560603570970307
SPY,2009-03-31,2008-10-01,2009-03-31,125,-0.9918597017153314,0.5384590261842988,2.016,0.10939778703775804,0.0,0.11560603570970307
SPY,2009-04-30,2008-10-31,2009-04-30,124,0.009103301561052537,0.447493543012924,2.032258064516129,-0.09293279286004807,0.0,-0.08874525893687646
SPY,2009-05-31,2008-12-01,2009-05-29,124,0.2410814429788182,0.37264867430812687,2.032258064516129,-0.09293279286004807,0.0,-0.08874525893687646
SPY,2009-06-30,2008-12-31,2009-06-30,125,-0.07286424249014475,0.3340974556646938,2.016,0.06852851110111491,0.0,0.0709311579422438
SPY,2009-07-31,2009-02-02,2009-07-31,126,0.10019539028437832,0.2923636100506918,4.0,0.06487050141008632,0.00517320691634484,0.06703511568159692
SPY,2009-08-31,2009-03-02,2009-08-31,128,0.3932064137216482,0.2595563476472349,3.9375,0.06487050141008632,0.00517320691634484,0.06703511568159692
SPY,2009-09-30,2009-03-31,2009-09-30,128,0.6709496609568182,0.21179541605379318,1.96875,-0.043612755776667456,0.0,-0.04267539587417091
SPY,2009-10-31,2009-05-01,2009-10-30,128,0.33780122968603976,0.20507474860355207,0.0,0.0,0.0,0.0
SPY,2009-11-30,2009-06-01,2009-11-30,128,0.3453737912351924,0.18331108674573288,0.0,0.0,0.0,0.0
SPY,2009-12-31,2009-07-01,2009-12-31,128,0.3797123397642409,0.1685951080327187,0.0,0.0,0.0,0.0
