timestamp,S_t,p25,p50,p75
2019-09-03,290.768078,290.768078,290.768078,290.768078
2019-09-04,293.933332,288.1367592089979,290.87003363487827,293.7977249520974
2019-09-05,297.810846,287.2594512336708,291.0295752624273,294.8060945392699
2019-09-06,298.090207,286.5902013484956,291.19697230662496,295.5594394559616
2019-09-09,298.085491,286.14322257677424,291.27241144331396,296.2110619025276
2019-09-10,298.197222,285.84255527400643,291.49670834033986,296.74345169547706
2019-09-11,300.358512,285.6053408749773,291.5924136171765,297.2630512168159
2019-09-12,301.265478,285.3056462861743,291.6910333206087,297.6094276463564
2019-09-13,301.129416,285.0534319132098,291.7552183671802,297.9835369285009
2019-09-16,300.196843,284.79939599441775,291.85171407922917,298.362151290739
2019-09-17,300.968803,284.5328585263078,291.8763491837183,298.6965002132378
2019-09-18,301.072884,284.285605841047,291.9665586145446,299.2083090026896
2019-09-19,301.095829,284.01003399777363,291.99496264683864,299.2786851416291
2019-09-20,298.257065,283.73693406244524,292.06025683465555,299.78898737000793
2019-09-23,298.228356,283.35693926756875,292.08890731431643,300.1520874034196
2019-09-24,295.740191,283.2120521692215,292.24743989047147,300.46526299028096
2019-09-25,297.562284,283.03703701172515,292.1301993306763,300.64709292072524
2019-09-26,296.855946,283.0270778661526,292.33832039617744,301.10940640713807
2019-09-27,295.319179,282.8108500993514,292.34387125547096,301.4200983018509
2019-09-30,296.82332,282.56564443478806,292.517135705481,301.9195653111796
2019-10-01,293.195643,282.3183668355617,292.4945332020259,302.33621804713493
2019-10-02,287.944581,282.17001888549976,292.6571566376799,302.6315258438165
2019-10-03,290.3112,281.9850932882354,292.71288318894733,302.89696541503184
2019-10-04,294.436762,281.6967972373293,292.7252497144843,303.181456697898
2019-10-07,293.119143,281.59498814521214,292.8115842853502,303.57871133020666
2019-10-08,288.565804,281.46481090318247,292.8839595492112,303.77898045803784
2019-10-09,291.283265,281.24028160197577,293.02497423034526,304.3838514689024
2019-10-10,293.156917,281.22673923952345,293.00341650517066,304.5728164384515
2019-10-11,296.387756,280.851904255772,293.0097772716347,304.91950655536135
2019-10-14,295.976444,280.75763732045755,293.10768303134944,305.1487351092717
2019-10-15,298.921623,280.4667982980617,293.1672403779703,305.53332353577235
2019-10-16,298.34361,280.33432729028374,293.21727387163065,305.71002985320274
2019-10-17,299.188886,280.23185107951804,293.3990757001015,306.0731039946703
2019-10-18,298.021522,279.91002930374594,293.3018551248421,306.29694679820284
2019-10-21,300.076603,279.6563613998476,293.27351942967266,306.6466043052375
2019-10-22,299.015207,279.42058878101426,293.37403506750695,306.9114727513939
2019-10-23,299.875466,279.0855636305727,293.3827184128056,307.1473135396367
2019-10-24,300.450964,278.929239286935,293.52113289318686,307.3902777944925
2019-10-25,301.677694,278.9968335732102,293.5138466243709,307.57440149651836
2019-10-28,303.359944,278.67243870222364,293.5758588107775,307.86183780914655
2019-10-29,303.109723,278.38263962379773,293.51787206052074,308.1804070848815
2019-10-30,304.118804,278.62558682293695,293.623750911377,308.39765561130196
2019-10-31,303.21962,278.3222602533825,293.8150221783243,308.656193508484
2019-11-01,306.170997,278.2846544785376,293.73735837313666,308.92066472710707
2019-11-04,307.307432,278.4667437155267,293.82800318092166,309.1497454209176
2019-11-05,306.945322,278.24602833943464,294.04752455504695,309.2391568300674
2019-11-06,307.182317,278.03408334094445,293.96359570222705,309.33703736131895
2019-11-07,308.164379,277.93154219962497,293.828311656314,309.6507625665387
2019-11-08,309.006332,277.6270731517577,293.9170032344715,310.0701707270397
2019-11-11,308.399254,277.464290267226,294.1159947198264,310.32696767512243
2019-11-12,308.897124,277.1249592737991,294.13126567055366,310.59585963817983
2019-11-13,309.126317,277.35509400256683,294.2556170436743,311.0037017933432
2019-11-14,309.462203,277.0752953431653,294.29799479513565,311.3090555589699
2019-11-15,311.890846,277.1451687945153,294.26185146169394,311.64712993141075
2019-11-18,312.051434,276.67564973320594,294.41006190280274,311.7231855740554
2019-11-19,311.885123,276.6632641287714,294.5947727945961,311.8383588277113
2019-11-20,310.776348,276.4118030491882,294.5615950281675,311.87088835086695
2019-11-21,310.307562,276.29109855603645,294.5573047691345,312.1168600297439
2019-11-22,310.981524,276.08315759723047,294.59844823641976,312.5424524945696
2019-11-25,313.345482,275.8821818734765,294.7238660567251,312.70227412957655
2019-11-26,314.038053,276.0534775901903,294.81861037702924,312.7346327809437
2019-11-27,315.380853,275.72986880919296,294.88402151026776,313.15657903415234
2019-11-29,314.18715,275.52450738875416,294.8436565878422,313.5632335526289
2019-12-02,311.494123,275.25277634438925,294.84094804525057,313.69207252245195
2019-12-03,309.44236,275.2008038475782,294.7164962939299,314.0123749877479
2019-12-04,311.423731,274.91917594635254,294.79145272577796,314.34632250893856
2019-12-05,311.974773,274.8990218156966,294.7309425121757,314.57412084175826
2019-12-06,314.827815,274.9847896531601,294.7227801915085,314.6319319255044
2019-12-09,313.862026,274.7099443403848,294.84229067283724,314.66428971424546
2019-12-10,313.528704,274.5592995397119,294.9218636095346,315.0912853943064
2019-12-11,314.440156,274.504078795057,295.1295576396418,315.07839881172686
2019-12-12,317.170736,274.1773437267432,295.09068985599265,315.2340541972979
2019-12-13,317.246,273.9994818743081,295.01114528739413,315.6125035184708
2019-12-16,319.512682,273.90495641406505,295.0288865482678,315.61896711653486
2019-12-17,319.616464,273.713407103991,294.9506489964065,315.95453485445677
2019-12-18,319.504722,273.7616225135409,295.08967726972264,316.0932899468305
2019-12-19,320.943298,273.5495060825102,295.0311362044671,316.1873682193105
2019-12-20,320.968551,273.46156443573653,294.82838073542655,316.596538465885
2019-12-23,321.245085,273.14341486837407,294.7871521399642,316.85845912552537
2019-12-24,321.20376,273.03599156483415,294.9417373884403,317.03713364231646
2019-12-26,322.880659,272.9828222633956,295.0319062762096,317.35501409068945
2019-12-27,322.893358,273.0701599220376,295.103097190512,317.7699357134235
2019-12-30,321.06748,272.8757165375729,295.2406101617066,317.90945906016066
2019-12-31,322.036933,272.69004075884754,295.28402678046575,317.9471682224857
2020-01-02,324.775136,272.51436287633345,295.3573430097838,318.3948082497379
2020-01-03,322.511732,272.68279694949643,295.5705761899468,318.663027528987
2020-01-06,323.651111,272.56200784154606,295.6338783752799,318.8459571649031
2020-01-07,322.775218,272.36693188935516,295.5937973513254,318.85168017409114
2020-01-08,324.366916,271.96297134792263,295.5383724558777,319.099097333417
2020-01-09,326.611231,271.82709695759524,295.4437800125717,319.75577146656667
2020-01-10,325.676213,271.5357910247745,295.48458861758235,319.99644233684637
2020-01-13,327.946917,271.5167775885877,295.6531618343225,320.0505968003079
2020-01-14,327.480594,271.1481852057101,295.8489092820969,320.17343576382524
2020-01-15,328.096335,271.2576854985613,295.78616185777395,320.46180031559913
