date,window_start,window_end,n_days,p_uu,p_du,p_ud,p_dd,mu_u,sig_u,mu_d,sig_d,last_up,p_u,ai_loss,ai_adam
2008-08-01,2007-02-02,2008-08-01,378,0.42295405359408406,0.5770459464059159,0.6136083361340985,0.3863916638659015,0.025132340790225943,0.031442205266693724,0.00593389323264368,0.041924902215584835,0.0,0.5543766578249337,1.2542101703332913,1.0
2008-08-31,2007-03-01,2008-08-29,380,0.38523355986753055,0.6147664401324695,0.5951249738870267,0.4048750261129733,0.029510040918671748,0.02626814158381471,0.006788056629001162,0.03028866536841411,0.0,0.554089709762533,0.6384274795715429,1.0
2008-09-30,2007-04-02,2008-09-30,379,0.42410210621950645,0.5758978937804935,0.5985774039280991,0.4014225960719009,0.020931463507323375,0.010880264586128882,0.021412779559970122,0.019257649726385186,1.0,0.5396825396825397,0.1349690242932388,1.0
2008-10-31,2007-05-01,2008-10-31,382,0.44819299611896357,0.5518070038810364,0.5282066233304437,0.4717933766695563,0.03163095138971132,0.03026670264575781,0.01178389124268527,0.03497955032311203,0.0,0.5354330708661418,0.3784950047540261,1.0
2008-11-30,2007-05-31,2008-11-28,380,0.485043860434477,0.514956139565523,0.525411152407693,0.474588847592307,0.022454144099330265,0.011314079108655993,0.0262513148862213,0.02085860798511735,0.0,0.5118733509234829,0.1563401781077077,1.0
2008-12-31,2007-07-02,2008-12-31,380,0.4867538742704176,0.5132461257295824,0.5226583680736452,0.4773416319263548,0.022832064275431514,0.012068997488944066,0.026522458691611902,0.022098066338864988,0.0,0.5092348284960422,0.13557698473662416,1.0
2009-01-31,2007-08-01,2009-01-30,379,0.42537085222746107,0.5746291477725389,0.5000204994642143,0.4999795005357856,0.014300262315679983,0.027644378549268617,0.011248400311599939,0.052607265529417836,0.0,0.5013262599469496,0.4888847520790002,1.0
2009-02-28,2007-08-29,2009-02-27,378,0.4082770854547642,0.5917229145452358,0.49387247871243856,0.5061275212875614,0.012362773327706305,0.024592688126947142,0.011278444485384042,0.05116136553883334,1.0,0.5079787234042553,0.4372355668687353,1.0
2009-03-31,2007-10-01,2009-03-31,378,0.41777093949556315,0.5822290605044369,0.4931052010850723,0.5068947989149277,0.013700162688760023,0.027497123574735848,0.011660228158068754,0.051760442912099316,1.0,0.5026595744680851,0.4421542579929962,1.0
2009-04-30,2007-10-31,2009-04-30,377,0.4092925960790755,0.5907074039209246,0.5070387826196112,0.4929612173803888,0.013138078421840716,0.02156098462074764,0.012329372921638994,0.04567546133158028,1.0,0.5066666666666667,0.25296673373372897,1.0
2009-05-31,2007-12-03,2009-05-29,375,0.39745230336912707,0.6025476966308729,0.537303823968476,0.462696176031524,0.012337504834269139,0.02027808197904329,0.013444816876030061,0.03843417096731315,1.0,0.5120643431635389,0.14316118970331215,1.0
2009-06-30,2007-12-31,2009-06-30,378,0.4165511073305399,0.5834488926694601,0.5310996820878231,0.4689003179121769,0.013138889548779741,0.015164866716001287,0.0161808397408258,0.03277535843036503,1.0,0.5079787234042553,0.19444526697953618,1.0
2009-07-31,2008-02-01,2009-07-31,378,0.49072885656327053,0.5092711434367294,0.5326068952393466,0.46739310476065343,0.015607298034286458,0.016888416966419115,0.017031338209054548,0.030802213485042904,1.0,0.5251989389920424,0.1186161624653713,1.0
