ticker,trading_date,evaluation_timestamp,S_t,K,dte,DTE,expiration,window_end,remaining_horizon,n_steps,r,market,model_price,error,early_ex_frac,mean_ex_day
SPY,2023-02-06 09:59:00,2023-02-06 09:59:00,391.46486780123774,410.0,32,32,2023-03-10 00:00:00,2023-02-10 15:59:00,384,384,0.0471,9.34,0.0,-9.34,0.0,384.0
SPY,2023-02-06 10:59:00,2023-02-06 10:59:00,391.44578545129974,410.0,32,32,2023-03-10 00:00:00,2023-02-10 15:59:00,372,372,0.0471,9.34,0.0,-9.34,0.0,372.0
SPY,2023-02-06 11:59:00,2023-02-06 11:59:00,390.921688710255,410.0,32,32,2023-03-10 00:00:00,2023-02-10 15:59:00,360,360,0.0471,9.34,0.0,-9.34,0.0,360.0
SPY,2023-02-06 12:59:00,2023-02-06 12:59:00,391.1403724405435,410.0,32,32,2023-03-10 00:00:00,2023-02-10 15:59:00,348,348,0.0471,9.34,0.0,-9.34,0.0,348.0
SPY,2023-02-06 13:59:00,2023-02-06 13:59:00,391.15955020223095,410.0,32,32,2023-03-10 00:00:00,2023-02-10 15:59:00,336,336,0.0471,9.34,0.0,-9.34,0.0,336.0
SPY,2023-02-06 14:59:00,2023-02-06 14:59:00,391.43624427633074,410.0,32,32,2023-03-10 00:00:00,2023-02-10 15:59:00,324,324,0.0471,9.34,0.0,-9.34,0.0,324.0
SPY,2023-02-06 15:59:00,2023-02-06 15:59:00,391.0927619774484,410.0,32,32,2023-03-10 00:00:00,2023-02-10 15:59:00,312,312,0.0471,9.34,0.0,-9.34,0.0,312.0
SPY,2023-02-07 09:59:00,2023-02-07 09:59:00,391.25538248800535,415.0,31,31,2023-03-10 00:00:00,2023-02-10 15:59:00,306,306,0.0471,8.67,0.0,-8.67,0.0,306.0
SPY,2023-02-07 10:59:00,2023-02-07 10:59:00,391.0066687659769,415.0,31,31,2023-03-10 00:00:00,2023-02-10 15:59:00,294,294,0.0471,8.67,0.0,-8.67,0.0,294.0
SPY,2023-02-07 11:59:00,2023-02-07 11:59:00,392.42720675525516,415.0,31,31,2023-03-10 00:00:00,2023-02-10 15:59:00,282,282,0.0471,8.67,0.0,-8.67,0.0,282.0
SPY,2023-02-07 12:59:00,2023-02-07 12:59:00,396.3444478772042,415.0,31,31,2023-03-10 00:00:00,2023-02-10 15:59:00,270,270,0.0471,8.67,0.0,-8.67,0.0,270.0
SPY,2023-02-07 13:59:00,2023-02-07 13:59:00,391.1549404079555,415.0,31,31,2023-03-10 00:00:00,2023-02-10 15:59:00,258,258,0.0471,8.67,0.0,-8.67,0.0,258.0
SPY,2023-02-07 14:59:00,2023-02-07 14:59:00,395.6078726235045,415.0,31,31,2023-03-10 00:00:00,2023-02-10 15:59:00,246,246,0.0471,8.67,0.0,-8.67,0.0,246.0
SPY,2023-02-07 15:59:00,2023-02-07 15:59:00,397.15755042998967,415.0,31,31,2023-03-10 00:00:00,2023-02-10 15:59:00,234,234,0.0471,8.67,0.0,-8.67,0.0,234.0
SPY,2023-02-08 09:59:00,2023-02-08 09:59:00,397.9552099345555,411.0,30,30,2023-03-10 00:00:00,2023-02-10 15:59:00,228,228,0.0472,9.07,0.0,-9.07,0.0,228.0
SPY,2023-02-08 10:59:00,2023-02-08 10:59:00,396.37911163637705,411.0,30,30,2023-03-10 00:00:00,2023-02-10 15:59:00,216,216,0.0472,9.07,0.0,-9.07,0.0,216.0
SPY,2023-02-08 11:59:00,2023-02-08 11:59:00,395.4084657332306,411.0,30,30,2023-03-10 00:00:00,2023-02-10 15:59:00,204,204,0.0472,9.07,0.0,-9.07,0.0,204.0
SPY,2023-02-08 12:59:00,2023-02-08 12:59:00,395.84093172968204,411.0,30,30,2023-03-10 00:00:00,2023-02-10 15:59:00,192,192,0.0472,9.07,0.0,-9.07,0.0,192.0
SPY,2023-02-08 13:59:00,2023-02-08 13:59:00,395.3796346668006,411.0,30,30,2023-03-10 00:00:00,2023-02-10 15:59:00,180,180,0.0472,9.07,0.0008964036503262136,-9.069103596349674,0.0,180.0
