date,ticker,mu,sigma,lam,mu_j,kappa,sigma_j
2023-03-09 09:59:00,AAPL,1.0329245022575968,0.1564310790073267,1764.0,0.0009560929304422824,0.0009592256722874559,0.002312132732941143
2023-03-09 09:59:00,MSFT,3.8857285541812883,0.1628928418280611,756.0,0.0023849052110576827,0.0023993250764298146,0.0048054304292687675
2023-03-09 09:59:00,SPY,0.5104549427104227,0.10597263305615272,1512.0,0.00051601365731709,0.0005181323056331344,0.001992216916444963
2023-03-09 10:59:00,AAPL,2.056175951324984,0.14792561891582368,504.0,0.00011254077380495886,0.00011856023867884424,0.0034676900565991805
2023-03-09 10:59:00,MSFT,4.2789215646372964,0.14739436797249916,756.0,0.0024227106220564565,0.0024363954778940933,0.00463069247875977
2023-03-09 10:59:00,SPY,1.2850156428065167,0.09696742745942674,1260.0,-0.000209712912993254,-0.00020832648803714715,0.0016521028896980066
2023-03-09 11:59:00,AAPL,0.7538533287112654,0.14790400727479192,756.0,0.0006585313760174571,0.0006622039134704938,0.0026280704666031144
2023-03-09 11:59:00,MSFT,2.6023153602937903,0.14358315431379165,756.0,0.0023928356045139765,0.0024064658547997553,0.004634511475065335
2023-03-09 11:59:00,SPY,0.42322816279334835,0.09517800501177856,1008.0,-0.0005564687931880474,-0.0005548959509495965,0.0016845358434497317
2023-03-09 12:59:00,AAPL,1.3144948404082872,0.1521931319401474,1008.0,-0.00011567375652710155,-0.00011216642676936672,0.002646143848569277
2023-03-09 12:59:00,MSFT,3.2330558985304676,0.14335610822706907,756.0,0.0010194279271811268,0.0010344061513531955,0.0053746804146694175
2023-03-09 12:59:00,SPY,0.914006342207838,0.0976026815917875,1260.0,-0.0007311796744158272,-0.0007297728279953564,0.0015102533615248507
2023-03-09 13:59:00,AAPL,-0.449090731267221,0.15614466950683695,1008.0,-0.00011567375652710155,-0.00011216642676936672,0.002646143848569277
2023-03-09 13:59:00,MSFT,0.9923110029410844,0.14093396901938346,504.0,0.00253650371931613,0.0025617620712372613,0.006630630842172542
2023-03-09 13:59:00,SPY,-0.5469341150175467,0.10146344461141808,1008.0,-0.0006242630278168182,-0.0006225866673459368,0.0017219018049421302
2023-03-09 14:59:00,AAPL,-1.4399783249348639,0.17009045636437817,756.0,-0.0007377358688502866,-0.0007333761428789387,0.0028603056255326357
2023-03-09 14:59:00,MSFT,-0.2990853759473452,0.15741881063461163,504.0,0.00253650371931613,0.0025617620712372613,0.006630630842172542
2023-03-09 14:59:00,SPY,-2.194537262557497,0.11297989313455299,1260.0,-0.00025338453315058016,-0.0002518970699256773,0.0017063011628744493
2023-03-09 15:59:00,AAPL,-4.117180230913624,0.18865090606621962,1008.0,0.0001867484353981208,0.0001912031709427886,0.002978744214627322
2023-03-09 15:59:00,MSFT,-3.943272306652629,0.20558294694645635,504.0,0.004878855873273746,0.0048963085173572285,0.0033180446581918487
2023-03-09 15:59:00,SPY,-5.3981225295735324,0.1349930494779579,1260.0,0.0005201939851842141,0.0005222643144262573,0.001966721485454228
2023-03-10 09:59:00,AAPL,-6.548531681843069,0.1910133656780228,1512.0,-0.0006908482973326061,-0.0006874284798057406,0.0025232638507599807
2023-03-10 09:59:00,MSFT,-8.102641203401129,0.20668156963091822,756.0,-0.0016541740634569517,-0.00164580221228261,0.003745939375152619
2023-03-10 09:59:00,SPY,-6.927867572511361,0.14946615347604694,756.0,-0.0007225701011896272,-0.0007185563706283427,0.002740600370950269
2023-03-10 10:59:00,AAPL,-6.575016788637954,0.21399153168684287,1260.0,0.000645157215016745,0.0006492199538346011,0.0027756392819765752
2023-03-10 10:59:00,MSFT,-7.219105519162184,0.2279913903337981,1512.0,0.00060885910133468,0.000614925772739694,0.003428609637829482
2023-03-10 10:59:00,SPY,-7.354120898568623,0.17059090477127017,1260.0,0.0013658831667724414,0.0013696785890628949,0.00239092794010077
2023-03-10 11:59:00,AAPL,-7.920792370366245,0.23626647616288798,756.0,0.001074328254378661,0.001079545868847509,0.0030447738380881334
2023-03-10 11:59:00,MSFT,-7.67200247539334,0.24435411035671437,1260.0,0.00021058668627738086,0.00021736258019355859,0.0036748534918149742
2023-03-10 11:59:00,SPY,-7.7100075362483595,0.18685897858651326,1260.0,0.0013658831667724414,0.0013696785890628949,0.00239092794010077
2023-03-10 12:59:00,AAPL,-8.764888210344228,0.24822794323874825,504.0,0.0028306369586483804,0.0028346638287193304,0.00018323171682436647
2023-03-10 12:59:00,MSFT,-7.124321376388587,0.2510622444267251,1260.0,0.00021058668627738086,0.00021736258019355859,0.0036748534918149742
2023-03-10 12:59:00,SPY,-8.296466880232487,0.1952837651501034,1260.0,0.0013658831667724414,0.0013696785890628949,0.00239092794010077
2023-03-10 13:59:00,AAPL,-7.765800848235627,0.24652343792817674,504.0,0.0028306369586483804,0.0028346638287193304,0.00018323171682436647
2023-03-10 13:59:00,MSFT,-6.66135966109276,0.24899632293271312,1260.0,0.00021058668627738086,0.00021736258019355859,0.0036748534918149742
2023-03-10 13:59:00,SPY,-8.458698499035647,0.19746179692445157,1260.0,0.0013658831667724414,0.0013696785890628949,0.00239092794010077
2023-03-10 14:59:00,AAPL,-5.913991044970323,0.2615943684476143,504.0,0.0028306369586483804,0.0028346638287193304,0.00018323171682436647
2023-03-10 14:59:00,MSFT,-3.5788325428469108,0.2650645244544838,1008.0,-0.0004211967777441039,-0.00041343875740429414,0.00391727736389273
2023-03-10 14:59:00,SPY,-5.090192915087808,0.22066354205437566,1008.0,0.0011624609904692385,0.0011668142781939839,0.0027103833691183134
2023-03-10 15:59:00,AAPL,-4.180325515041309,0.2602400826759883,252.0,0.0027010725691534176,0.002704723752295468,0.0
2023-03-10 15:59:00,MSFT,-3.312396429898315,0.25959145607519657,1008.0,-0.0004211967777441039,-0.00041343875740429414,0.00391727736389273
2023-03-10 15:59:00,SPY,-4.2859827024090675,0.21945427743983856,756.0,0.0007639193812799169,0.000769248228316366,0.0031727361260997463
2023-03-13 09:59:00,AAPL,49.488007440473055,0.6212315958573185,0.0,0.0,0.0,0.0
2023-03-13 09:59:00,MSFT,23.63457144921244,0.6641628003446421,0.0,0.0,0.0,0.0
2023-03-13 09:59:00,SPY,31.04947133704867,0.44445517199315565,3276.0,-0.010078604005190783,-0.010027985074627432,0.0
2023-03-13 10:59:00,AAPL,16.543840426485716,0.48225603124977323,1092.0,0.005556871661929641,0.005572339711312324,0.0
2023-03-13 10:59:00,MSFT,18.01166814309215,0.5129349173540104,1092.0,0.005296258514068342,0.005310308484332449,0.0
2023-03-13 10:59:00,SPY,16.211070207275235,0.3972581153349989,1092.0,-0.010078604005190783,-0.010027985074627432,0.0
2023-03-13 11:59:00,AAPL,14.431004352988088,0.42979371171182884,655.2,0.005556871661929641,0.005572339711312324,0.0
2023-03-13 11:59:00,MSFT,15.467489544068838,0.45660866765357067,655.2,0.005296258514068342,0.005310308484332449,0.0
2023-03-13 11:59:00,SPY,8.86747172772149,0.23782837540026577,1310.4,-0.002882125729700924,-0.0028263348041835945,0.010177357178521102
2023-03-13 12:59:00,AAPL,7.785621341822165,0.40613879027691785,467.99999999999994,0.005556871661929641,0.005572339711312324,0.0
2023-03-13 12:59:00,MSFT,9.932208729634349,0.4307416462875605,467.99999999999994,0.005296258514068342,0.005310308484332449,0.0
2023-03-13 12:59:00,SPY,3.5798753911006727,0.26079351409984197,935.9999999999999,-0.002882125729700924,-0.0028263348041835945,0.010177357178521102
