date,window_start,window_end,n_days,mu,sigma
2019-09-03,2018-03-05,2019-09-03,378,0.11766298397732258,0.3257029441039654
2019-09-30,2018-04-02,2019-09-30,378,0.12120296474976773,0.3192895854804845
2019-10-31,2018-05-01,2019-10-31,380,0.08364248097376488,0.30688704789729143
2019-11-30,2018-05-31,2019-11-29,379,0.06834646447562262,0.30752220707903943
2019-12-31,2018-07-02,2019-12-31,378,0.055671196125024025,0.3072897056826519
2020-01-31,2018-08-01,2020-01-31,378,0.08154901604792286,0.31148647842369076
2020-02-29,2018-08-30,2020-02-28,376,-0.039497144973617115,0.316665696367942
2020-03-31,2018-10-01,2020-03-31,377,-0.01802121124980642,0.34792772904289576
2020-04-30,2018-10-31,2020-04-30,376,0.3218991634486428,0.3345676515421467
2020-05-31,2018-12-03,2020-05-29,374,0.24805139960479705,0.3227612182083135
2020-06-30,2018-12-31,2020-06-30,378,0.41606642720989484,0.2975939964614002
2020-07-31,2019-02-01,2020-07-31,378,0.4069774993886579,0.304252405371118
2020-08-31,2019-03-01,2020-08-31,380,0.49342918773324823,0.3035494697900847
