date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0,lam,mu_j,sigma_j,kappa_j,eta_v,kappa_q,theta_q,v0_q,mu_j_q,kappa_j_q,n_quotes,q_success,q_explosive,jump_premium_identified
2019-09-03,2018-03-05,2019-09-03,378,0.11766298397732258,20.0,0.10585670530830743,3.0,0.018755343455315453,0.06809861004752786,4.0,0.0024676416120326117,0.08016679755261766,0.005697166804941256,-40.0,60.0,0.035285568436102484,0.009766155242281025,-0.10036467842423746,-0.0925813154952545,24,True,False,True
2019-09-30,2018-04-02,2019-09-30,378,0.12120296474976773,20.0,0.10173443568889193,3.0,0.040768508690283506,0.03168947412434638,5.333333333333333,-0.013317664127612594,0.07378917940867209,-0.010539310757069265,-40.0,60.0,0.033911478562963976,0.02743079354267057,-0.07922519568362037,-0.07364965558171133,24,True,False,True
2019-10-31,2018-05-01,2019-10-31,380,0.08364248097376488,20.0,0.09395958111735249,3.0,0.037125288803558705,0.024606796819528615,6.631578947368421,-0.010618168154654217,0.07098962138406761,-0.008065701243152645,-40.0,60.0,0.03131986037245083,0.0040129538516948185,-0.02838042061976127,-0.025529134593551994,24,True,False,True
2019-11-30,2018-05-31,2019-11-29,379,0.06834646447562262,20.0,0.09433891968746606,3.0,0.03688080064666371,0.015876156202151243,6.649076517150396,-0.010618168154654217,0.07098962138406761,-0.008065701243152645,-40.0,60.0,0.03144630656248869,0.0001,-0.03343828834506265,-0.03044543585146664,24,True,False,True
2019-12-31,2018-07-02,2019-12-31,378,0.055671196125024025,20.0,0.09418945517593413,3.0,0.05035111130935374,0.032938775759116155,6.666666666666667,-0.010618168154654217,0.07098962138406761,-0.008065701243152645,-40.0,60.0,0.03139648505864471,0.0001,-0.04129710085396469,-0.038035121368388713,24,True,False,True
2020-01-31,2018-08-01,2020-01-31,378,0.08154901604792286,20.0,0.09679353930107486,3.0,0.0972441730329398,0.09065755523232327,6.666666666666667,0.0023784800694528485,0.07306119532653238,0.005060209031606977,-40.0,60.0,0.032264513100358286,0.1577422340756177,-0.01562138961616203,-0.01286889887789322,24,True,False,True
2020-02-29,2018-08-30,2020-02-28,376,-0.039497144973617115,20.0,0.10001665924632368,3.0,0.0728408912439995,0.14623183262805095,6.031914893617021,-0.003927289850002186,0.07455098781868695,-0.001147705838920321,-40.0,60.0,0.03333888641544123,0.08546801376426674,-0.028632498539795385,-0.025522231612181145,24,True,False,True
2020-03-31,2018-10-01,2020-03-31,377,-0.01802121124980642,20.0,0.12073389602341662,3.0,0.015352786746939672,0.41348395180232583,4.679045092838196,0.028603638196556296,0.07597380211339884,0.03199069185705694,-15.024022405037456,35.02402240503746,0.06894347806610107,0.2577325917218542,-0.1719087850012761,-0.15551033067424402,24,True,False,True
2020-04-30,2018-10-31,2020-04-30,376,0.3218991634486428,20.0,0.11204899941614588,3.0,0.07044173517423286,0.19139027492878086,3.351063829787234,0.04263235121390494,0.07062475670646266,0.04615995996107092,-22.91974884608537,42.91974884608537,0.05221325959663236,0.5019986385405929,0.0707446494268555,0.07598721269527609,24,True,False,True
2020-05-31,2018-12-03,2020-05-29,374,0.24805139960479705,20.0,0.10414042639270875,3.0,-0.03654947950657393,0.1269167210229456,4.042780748663102,0.021741892940990493,0.07996189442283384,0.02525241952191082,-16.114330456376194,36.114330456376194,0.0576726330388452,0.07626666272493997,-0.04398702273000145,-0.03996935240351063,24,True,False,True
2020-06-30,2018-12-31,2020-06-30,378,0.41606642720989484,20.0,0.08901484472205556,3.0,-0.09095043930482445,0.06586086963297237,4.0,0.01668363479757007,0.07560222235361101,0.01973366740122695,10.235093277441056,9.764906722558944,0.18231581161223578,0.07909916581283898,0.0035199681371342086,0.006398197725898447,24,True,False,True
2020-07-31,2019-02-01,2020-07-31,378,0.4069774993886579,20.0,0.09298189787077472,3.0,0.04182199439574596,0.20219927843469235,4.666666666666667,0.025201435095650458,0.0726013117932214,0.02822797738741256,-40.0,60.0,0.030993965956924906,0.5249836381928545,0.10711684879622366,0.1160016294439441,24,True,False,True
2020-08-31,2019-03-01,2020-08-31,380,0.49342918773324823,20.0,0.09286596109587969,3.0,0.055694363918341865,0.06969487790216031,4.6421052631578945,0.025201435095650458,0.0726013117932214,0.02822797738741256,7.855843902294371,12.144156097705629,0.1529393402863533,0.16447104468235027,0.04474567714158838,0.04852157942027335,24,True,False,True
