date,window_start,window_end,n_days,lambda,omega,alpha,beta,sigma0,mu_p,rf_mean,persist_p,persist_q,uncond_var_p,uncond_var_q,q_stationary
2008-08-01,2007-02-02,2008-08-01,378,0.07775695453426662,0.0009007938235561275,0.1090544519268815,1.568120045114432e-15,0.031230953055837465,0.5240697250863754,0.0340383597883598,0.10905445192688307,0.1097138108447233,0.0010110537344333891,0.001011802535554124,True
2008-08-31,2007-03-01,2008-08-29,380,0.08002182619604684,0.0009210574177055028,0.11710357777442701,7.630979498195616e-14,0.030997263858079833,0.5456756206402789,0.03233763157894736,0.11710357777450332,0.11785344967614919,0.0010432225055163487,0.001044109300622858,True
2008-09-30,2007-04-02,2008-09-30,379,0.06618314266001007,0.0009816896060854544,0.19433857038359045,3.956760371424229e-15,0.05826672263125992,0.4464854980896429,0.030109498680738787,0.19433857038359442,0.19518981381666017,0.001218489020323165,0.0012197778096484236,True
2008-10-31,2007-05-01,2008-10-31,382,0.021751161522884865,0.0008528948814636055,0.3489190734950379,3.1743147286418375e-14,0.029272580736619425,0.05489226988161997,0.027654450261780098,0.3489190734950697,0.3490841516543164,0.001309967542809207,0.0013102997624520219,True
2008-11-30,2007-05-31,2008-11-28,380,0.005606180605890659,0.0008792712035422774,0.4569953706848543,1.5141490116235369e-13,0.04076114036251254,-0.11456505495424839,0.02520578947368421,0.45699537068500573,0.4570097337117803,0.0016192701794301215,0.0016193130119123707,True
2008-12-31,2007-07-02,2008-12-31,380,0.016377613244350837,0.0009889236336507986,0.3943289344099667,7.03199825497658e-54,0.0358400764067325,-0.019345035101829652,0.02248052631578947,0.3943289344099667,0.39443470376773776,0.0016327734472298225,0.0016330586310076473,True
2009-01-31,2007-08-01,2009-01-30,379,0.028379110310242036,4.1587206186961575e-05,0.08207810887208943,0.8949228993747096,0.03692182689399114,0.09737516376646128,0.019859366754617414,0.977001008246799,0.9770671118136102,0.0018082186659845,0.001813430818175038,True
2009-02-28,2007-08-29,2009-02-27,378,0.0380883060118357,5.728290426315314e-05,0.07968920217259741,0.8843834920490912,0.03813288915560033,0.18895333594930971,0.017746560846560847,0.9640726942216886,0.9641883008657463,0.0015944113543224195,0.0015995584026439636,True
2009-03-31,2007-10-01,2009-03-31,378,0.02231892853813605,2.9160046609397083e-05,0.046067096378517865,0.9353561964117104,0.03852266006433765,0.03468224412101425,0.015551587301587302,0.9814232927902283,0.9814462404035241,0.0015697101902999468,0.0015716516352263065,True
2009-04-30,2007-10-31,2009-04-30,377,0.042009920755791116,2.8751207386996227e-05,0.05653739756221542,0.9243036950076741,0.03061516145476411,0.22302946578490077,0.013343501326259947,0.9808410925698895,0.9809408716598257,0.0015006705101466423,0.0015085268787656042,True
2009-05-31,2007-12-03,2009-05-29,375,0.03740892455139633,2.548359306122556e-05,0.05948718472867519,0.9235125460729169,0.027477257740723043,0.17592637465088237,0.011527733333333332,0.9829997308015921,0.9830829788118947,0.0014990111488124031,0.0015063877249940154,True
2009-06-30,2007-12-31,2009-06-30,378,0.04463487286847375,1.8814889429869548e-05,0.05633451189936447,0.930200933342993,0.026156215716221485,0.2423850939599056,0.010006613756613755,0.9865354452423575,0.986647678906062,0.001397364396263468,0.0014091100189622865,True
2009-07-31,2008-02-01,2009-07-31,378,0.05875466747926795,2.3282557184488315e-05,0.05642175622121311,0.9273191492830393,0.03185279379163096,0.37464911120719835,0.008457936507936508,0.9837409055042524,0.9839356796667557,0.0014319713309113033,0.0014493334732815417,True
