date,ticker,mu,theta,kappa,xi,rho,lam,v0,mu_j,sigma_j,kappa_j
2023-03-09 09:59:00,AAPL,1.0329245022575968,0.026272590107406533,80445.70179807283,64.95062784703296,0.06904816947707336,1764.0,0.06880282998786677,0.0009560929304422824,0.002312132732941143,0.0009592256722874559
2023-03-09 09:59:00,MSFT,3.8857285541812883,0.03280767188316656,74510.19695422355,69.85155010367525,0.14308502886154445,756.0,0.052789331108644824,0.0023849052110576827,0.0048054304292687675,0.0023993250764298146
2023-03-09 09:59:00,SPY,0.5104549427104227,0.012392552739162661,87046.4880926857,46.401978767867256,-0.008689156451840242,1512.0,0.01652453124776071,0.00051601365731709,0.001992216916444963,0.0005181323056331344
2023-03-09 10:59:00,AAPL,2.056175951324984,0.025013841669310963,82767.41953630395,64.28362988715482,0.05755525974869266,504.0,0.028790446717041913,0.00011254077380495886,0.0034676900565991805,0.00011856023867884424
2023-03-09 10:59:00,MSFT,4.2789215646372964,0.027608369988432895,85361.11036028923,68.58527701914653,0.05495666964413228,756.0,0.029543733047935828,0.0024227106220564565,0.00463069247875977,0.0024363954778940933
2023-03-09 10:59:00,SPY,1.2850156428065167,0.010198444178594468,97550.45940258754,44.56173658749898,-0.02864696849352076,1260.0,0.014394895510028708,-0.000209712912993254,0.0016521028896980066,-0.00020832648803714715
2023-03-09 11:59:00,AAPL,0.7538533287112654,0.023744219360739036,82073.18794146352,62.367751271387284,0.005523930004095787,756.0,0.017759351914749446,0.0006585313760174571,0.0026280704666031144,0.0006622039134704938
2023-03-09 11:59:00,MSFT,2.6023153602937903,0.026321841290496115,87869.55785174316,67.94505267958995,-0.04586271064451039,756.0,0.029698931172586995,0.0023928356045139765,0.004634511475065335,0.0024064658547997553
2023-03-09 11:59:00,SPY,0.42322816279334835,0.009843747555034555,95476.56112779524,43.31208631967934,-0.07361127035108656,1008.0,0.007860769484771333,-0.0005564687931880474,0.0016845358434497317,-0.0005548959509495965
2023-03-09 12:59:00,AAPL,1.3144948404082872,0.025121681092271676,81363.32546814445,63.873274410678384,-0.01772818830640235,1008.0,0.022390528401346716,-0.00011567375652710155,0.002646143848569277,-0.00011216642676936672
