date,window_start,window_end,n_days,mu,sigma,lam,mu_j,sigma_j,kappa,mu_j_q,kappa_q,n_quotes,q_success,jump_premium_identified
2014-01-02,2012-07-03,2014-01-02,379,0.1389261614330428,0.241147741870978,3.324538258575198,-0.048264713429480556,0.0730623324495465,-0.04457179922517385,-0.06683417693031567,-0.06214987549388129,24,True,True
2014-01-31,2012-08-01,2014-01-31,379,0.10767907921827287,0.24016371132360123,3.9894459102902373,-0.05410443206328922,0.06689616895388523,-0.05054475326994823,-0.1171756040093535,-0.10857863897371656,24,True,True
2014-02-28,2012-08-29,2014-02-28,378,0.07539926291918858,0.24001711141251222,4.0,-0.05410443206328922,0.06689616895388523,-0.05054475326994823,-0.027337881091337588,-0.02478793822848191,24,True,True
2014-03-31,2012-10-01,2014-03-31,377,0.09681714875569859,0.2358231789273071,4.010610079575597,-0.05410443206328922,0.06689616895388523,-0.05054475326994823,-0.04434157166678445,-0.04122995870924562,24,True,True
2014-04-30,2012-10-31,2014-04-30,377,0.17562959915816384,0.2274234518217607,4.679045092838196,-0.03511884310491104,0.07907221994647934,-0.03148628496101813,-0.04332481672698521,-0.03940136308269038,24,True,True
2014-05-31,2012-12-03,2014-05-30,376,0.2929924984607887,0.2218599639423386,4.0212765957446805,-0.05257646166219517,0.07030536406923434,-0.048870486966121396,-0.014858602564169708,-0.012310775143417052,24,True,True
2014-06-30,2012-12-31,2014-06-30,378,0.3576890371004578,0.213588055514464,3.3333333333333335,-0.04978749794598114,0.07823182141275245,-0.045652472239486985,-0.042146999834256224,-0.038332854601537014,24,True,True
2014-07-31,2013-02-01,2014-07-31,378,0.26700660414816685,0.19276642226028187,4.666666666666667,0.003994996624957154,0.06631539082888772,0.006213083784432305,-0.023662047952235348,-0.02123448741846079,23,True,True
2014-08-31,2013-03-01,2014-08-29,380,0.33331307224373097,0.18439141513666543,4.6421052631578945,0.003994996624957154,0.06631539082888772,0.006213083784432305,0.019847984321125844,0.02229167756184114,24,True,True
2014-09-30,2013-04-01,2014-09-30,381,0.31889784113026814,0.18482361513946863,4.6299212598425195,0.003994996624957154,0.06631539082888772,0.006213083784432305,-0.06110987912186581,-0.05720933902065706,24,True,True
2014-10-31,2013-05-01,2014-10-31,382,0.35553097101751574,0.17584711441528686,4.617801047120419,0.00591485290569725,0.06443798276377137,0.008022992810628127,-0.02877857485714082,-0.026349089842516937,23,True,True
2014-11-30,2013-05-31,2014-11-28,380,0.4077384659303525,0.17141801044521618,4.6421052631578945,0.00591485290569725,0.06443798276377137,0.008022992810628127,0.019709773036879437,0.02202494534859878,24,True,True
2014-12-31,2013-07-01,2014-12-31,381,0.44397295084464244,0.17642954200234312,4.6299212598425195,0.00591485290569725,0.06443798276377137,0.008022992810628127,0.0020703978136973967,0.004155133352917062,22,True,True
