date,window_start,window_end,n_days,p_uu,p_du,p_ud,p_dd,mu_u,sig_u,mu_d,sig_d,last_up,p_u
2019-09-03,2018-03-05,2019-09-03,378,0.5738095238095238,0.42619047619047623,0.5327380952380952,0.46726190476190477,0.01335966985142453,0.013519671576637565,0.015742731693611782,0.015852206240887203,1.0,0.5570291777188329
2019-09-30,2018-04-02,2019-09-30,378,0.5697115384615384,0.43028846153846156,0.5323529411764706,0.4676470588235294,0.013151077195032548,0.013457567423124504,0.015110175203799517,0.015536683523643312,1.0,0.5517241379310345
2019-10-31,2018-05-01,2019-10-31,380,0.5552884615384616,0.44471153846153844,0.5319767441860466,0.4680232558139535,0.012520613267946531,0.013051854218440182,0.014335112766222135,0.015062650283898861,0.0,0.5461741424802111
2019-11-30,2018-05-31,2019-11-29,379,0.5487804878048781,0.4512195121951219,0.5258620689655172,0.47413793103448276,0.012674158118998835,0.013102126378728898,0.014268605422031361,0.014983614670481047,0.0,0.5396825396825397
2019-12-31,2018-07-02,2019-12-31,378,0.5420792079207921,0.4579207920792079,0.5255681818181819,0.4744318181818182,0.012607572095822622,0.013368663608247146,0.01407555868096362,0.014890773787209632,1.0,0.5358090185676393
2020-01-31,2018-08-01,2020-01-31,378,0.5301507537688442,0.46984924623115576,0.5223463687150838,0.4776536312849162,0.01298720901946456,0.014070528815744556,0.013832197026975074,0.01472320474902838,1.0,0.5278514588859416
2020-02-29,2018-08-30,2020-02-28,376,0.5180412371134021,0.4819587628865979,0.5082417582417582,0.49175824175824173,0.013102281798245111,0.014198402568671987,0.014217981511632855,0.014977199063405333,0.0,0.5146666666666667
2020-03-31,2018-10-01,2020-03-31,377,0.5025773195876289,0.49742268041237114,0.5218579234972678,0.4781420765027322,0.014588451003776743,0.015610418405311407,0.015532958185030418,0.016342227583074336,0.0,0.5132978723404256
2020-04-30,2018-10-31,2020-04-30,376,0.5225,0.47750000000000004,0.5426136363636364,0.45738636363636365,0.014994541149440259,0.01567160884533986,0.014392081371317447,0.01460093721865866,1.0,0.5333333333333333
2020-05-31,2018-12-03,2020-05-29,374,0.5394088669950738,0.46059113300492616,0.5436046511627908,0.4563953488372093,0.013886769923861224,0.014353566039144127,0.014332599525964232,0.015081385046210958,1.0,0.5427807486631016
2020-06-30,2018-12-31,2020-06-30,378,0.5616113744075829,0.4383886255924171,0.5505952380952381,0.4494047619047619,0.013354343760874722,0.012980645645675134,0.013135729896585175,0.013817446733077724,1.0,0.5582010582010583
2020-07-31,2019-02-01,2020-07-31,378,0.5600961538461539,0.43990384615384615,0.5409356725146199,0.4590643274853801,0.013699948749400209,0.01375769406256906,0.013171312298777979,0.01370908246070171,1.0,0.5502645502645502
2020-08-31,2019-03-01,2020-08-31,380,0.5547619047619048,0.4452380952380952,0.5467836257309941,0.45321637426900585,0.014085118795898742,0.013746041071343848,0.013022441534554789,0.013335312385645321,1.0,0.5526315789473685
