date,window_start,window_end,n_days,mu,sigma,lam,mu_j,sigma_j,kappa
2019-09-03,2018-03-05,2019-09-03,378,0.10953100490869525,0.28346285304801305,4.0,0.0024676416120326117,0.08016679755261766,0.005697166804941256
2019-09-30,2018-04-02,2019-09-30,378,0.1963868420450789,0.26825502007043056,5.333333333333333,-0.013317664127612594,0.07378917940867209,-0.010539310757069265
2019-10-31,2018-05-01,2019-10-31,380,0.15822142302637643,0.24497339183483816,6.631578947368421,-0.010618168154654217,0.07098962138406761,-0.008065701243152645
2019-11-30,2018-05-31,2019-11-29,379,0.14271299128994472,0.24558513422166253,6.649076517150396,-0.010618168154654217,0.07098962138406761,-0.008065701243152645
2019-12-31,2018-07-02,2019-12-31,378,0.12989536925268397,0.2451091273095291,6.666666666666667,-0.010618168154654217,0.07098962138406761,-0.008065701243152645
2020-01-31,2018-08-01,2020-01-31,378,0.06747760405188495,0.24778994472652788,6.666666666666667,0.0023784800694528485,0.07306119532653237,0.005060209031606977
2020-02-29,2018-08-30,2020-02-28,376,-0.016195730600204572,0.2581853064893427,6.031914893617021,-0.003927289850002186,0.07455098781868696,-0.001147705838920321
2020-03-31,2018-10-01,2020-03-31,377,-0.15473193086460088,0.3003629866968103,4.679045092838196,0.028603638196556296,0.07597380211339884,0.03199069185705694
2020-04-30,2018-10-31,2020-04-30,376,0.18144830977673707,0.2985469343992208,3.351063829787234,0.04263235121390494,0.07062475670646266,0.04615995996107092
2020-05-31,2018-12-03,2020-05-29,374,0.16276489490602303,0.2764318852777194,4.042780748663102,0.021741892940990493,0.07996189442283384,0.02525241952191082
2020-06-30,2018-12-31,2020-06-30,378,0.35496627331025354,0.25413781290947984,4.0,0.01668363479757007,0.07560222235361101,0.01973366740122695
2020-07-31,2019-02-01,2020-07-31,378,0.29483062873365307,0.25496646789506616,4.666666666666667,0.025201435095650458,0.0726013117932214,0.02822797738741256
2020-08-31,2019-03-01,2020-08-31,380,0.3835060585252196,0.25441249060987053,4.6421052631578945,0.025201435095650458,0.0726013117932214,0.02822797738741256
