ticker,date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0,lam,mu_j,sigma_j,kappa_j
SPY,2023-03-09 09:59:00,2023-03-08 10:00:00,2023-03-09 09:59:00,390,0.5104549427104227,87046.4880926857,0.012392552739162661,46.401978767867256,-0.008689156451840242,0.01652453124776071,1512.0,0.00051601365731709,0.001992216916444963,0.0005181323056331344
SPY,2023-03-09 10:59:00,2023-03-08 11:00:00,2023-03-09 10:59:00,390,1.2850156428065167,97550.45940258754,0.010198444178594468,44.56173658749898,-0.02864696849352076,0.014394895510028708,1260.0,-0.000209712912993254,0.0016521028896980066,-0.00020832648803714715
SPY,2023-03-09 11:59:00,2023-03-08 12:00:00,2023-03-09 11:59:00,390,0.42322816279334835,95476.56112779524,0.009843747555034555,43.31208631967934,-0.07361127035108656,0.007860769484771333,1008.0,-0.0005564687931880474,0.0016845358434497317,-0.0005548959509495965
SPY,2023-03-09 12:59:00,2023-03-08 13:00:00,2023-03-09 12:59:00,390,0.914006342207838,95048.16863798274,0.010198289904398675,43.986158969016515,-0.06652519828638466,0.013806821074386235,1260.0,-0.0007311796744158272,0.0015102533615248507,-0.0007297728279953564
SPY,2023-03-09 13:59:00,2023-03-08 14:00:00,2023-03-09 13:59:00,390,-0.5469341150175467,93139.00179906831,0.011135077808931701,45.49806257687749,-0.06702256654974294,0.022190289141604584,1008.0,-0.0006242630278168182,0.0017219018049421302,-0.0006225866673459368
SPY,2023-03-09 14:59:00,2023-03-08 15:00:00,2023-03-09 14:59:00,390,-2.194537262557497,98280.0,0.013694235846908133,1e-06,-0.06910533709273084,0.029733868304914216,1260.0,-0.00025338453315058016,0.0017063011628744493,-0.0002518970699256773
SPY,2023-03-09 15:59:00,2023-03-09 09:30:00,2023-03-09 15:59:00,390,-5.3981225295735324,93823.75553988504,0.01961142527623172,60.602629906327444,-0.1683176438393446,0.03521844859445164,1260.0,0.0005201939851842141,0.001966721485454228,0.0005222643144262573
SPY,2023-03-10 09:59:00,2023-03-09 10:00:00,2023-03-10 09:59:00,390,-6.927867572511361,77098.52984563113,0.024911978136506394,61.91667718423359,-0.09856014904432024,0.07070810360873853,756.0,-0.0007225701011896272,0.002740600370950269,-0.0007185563706283427
SPY,2023-03-10 10:59:00,2023-03-09 11:00:00,2023-03-10 10:59:00,390,-7.354120898568623,82909.40657408787,0.031154277757772714,71.80277569511695,-0.09110069465728429,0.03201790484595552,1260.0,0.0013658831667724414,0.00239092794010077,0.0013696785890628949
SPY,2023-03-10 11:59:00,2023-03-09 12:00:00,2023-03-10 11:59:00,390,-7.7100075362483595,85834.58602706868,0.03707110067640845,79.69468987265878,-0.1292960529013133,0.055926837956617334,1260.0,0.0013658831667724414,0.00239092794010077,0.0013696785890628949
SPY,2023-03-10 12:59:00,2023-03-09 13:00:00,2023-03-10 12:59:00,390,-8.296466880232487,88764.27327124297,0.04039777119008351,84.60154407268924,-0.09484663500541042,0.03221706060554575,1260.0,0.0013658831667724414,0.00239092794010077,0.0013696785890628949
SPY,2023-03-10 13:59:00,2023-03-09 14:00:00,2023-03-10 13:59:00,390,-8.458698499035647,88678.73523571836,0.04128369242714342,85.4829494112658,-0.10127212313251706,0.012539408117772537,1260.0,0.0013658831667724414,0.00239092794010077,0.0013696785890628949
SPY,2023-03-10 14:59:00,2023-03-09 15:00:00,2023-03-10 14:59:00,390,-5.090192915087808,90028.26341652397,0.05107221421793011,95.79928462478155,0.11039689008423487,0.08841605264299443,1008.0,0.0011624609904692385,0.0027103833691183134,0.0011668142781939839
SPY,2023-03-10 15:59:00,2023-03-10 09:30:00,2023-03-10 15:59:00,390,-4.2859827024090675,92405.18159355705,0.051083147958566895,97.06607634701751,0.12517497204589922,0.041557499281684084,756.0,0.0007639193812799169,0.0031727361260997463,0.000769248228316366
SPY,2023-03-13 10:59:00,2023-03-13 09:30:00,2023-03-13 10:59:00,90,16.211070207275235,98280.0,0.15682750291705697,1e-06,0.20857500446803928,0.15295431711522647,1092.0,-0.010078604005190783,0.0,-0.010027985074627432
SPY,2023-03-13 11:59:00,2023-03-13 09:30:00,2023-03-13 11:59:00,150,8.86747172772149,98280.0,0.12499064947260498,1e-06,0.164931059860254,0.08473833850542263,1310.4,-0.002882125729700924,0.010177357178521102,-0.0028263348041835945
SPY,2023-03-13 12:59:00,2023-03-13 09:30:00,2023-03-13 12:59:00,210,3.5798753911006727,98280.0,0.11678503747765204,1e-06,0.12398640856229028,0.06179390275662303,935.9999999999999,-0.002882125729700924,0.010177357178521102,-0.0028263348041835945
SPY,2023-03-13 13:59:00,2023-03-13 09:30:00,2023-03-13 13:59:00,270,3.9243265024321805,98280.0,0.10664033067781005,1e-06,0.12681139276754916,0.04784592615185842,728.0,-0.002882125729700924,0.010177357178521102,-0.0028263348041835945
