Date,SPY,AAPL,JPM,XOM
2003-12-01,107.61,0.328209,20.451412,18.740879
2003-12-02,107.26,0.325638,20.537437,18.797523
2003-12-03,107.1,0.317929,20.531702,18.818132
2003-12-04,107.61,0.319743,20.29656,19.065327
2003-12-05,106.79,0.315207,20.049952,18.941723
2003-12-08,107.58,0.318231,20.33671,19.261026
2003-12-09,106.67,0.30916,19.975397,19.384626
2003-12-10,106.57,0.308102,19.883633,19.461874
2003-12-11,107.8,0.320649,20.06142,19.523676
2003-12-12,108.09,0.315812,20.1245,19.600929
2003-12-15,107.49,0.304927,20.222006,19.46703
2003-12-16,108.2,0.304171,20.485825,19.81208
2003-12-17,108.35,0.300543,20.451412,20.023226
2003-12-18,109.63,0.302962,20.445684,20.296171
2003-12-19,109.06,0.297822,20.520235,20.39403
2003-12-22,109.49,0.300089,20.703756,20.32708
2003-12-23,109.8,0.299485,20.7439,20.471279
2003-12-24,109.6,0.308555,20.720961,20.512476
2003-12-26,109.78,0.314149,20.772577,20.625772
2003-12-29,111.19,0.319743,20.950365,20.898733
2003-12-30,111.21,0.321708,20.990511,20.950239
2003-12-31,111.45,0.323068,21.065067,21.115034
2004-01-02,111.11,0.321708,21.1982,20.924484
2004-01-05,112.48,0.335163,21.157694,21.413738
2004-01-06,112.63,0.333953,21.690243,21.269531
2004-01-07,112.92,0.341512,22.008621,21.115034
2004-01-08,113.48,0.353153,22.384888,21.06353
2004-01-09,112.47,0.34771,22.436998,20.74938
2004-01-12,113.01,0.358747,22.454355,21.042929
2004-01-13,112.42,0.364642,22.518026,20.950239
2004-01-14,113.35,0.365852,22.70327,20.950239
2004-01-15,113.51,0.345443,22.529608,20.744232
2004-01-16,114.28,0.343477,22.732214,20.857534
2004-01-20,114.17,0.343629,22.628019,21.053238
2004-01-21,115.07,0.341815,23.212658,21.336479
2004-01-22,114.71,0.335313,23.120054,21.259237
2004-01-23,114.47,0.341059,22.923233,21.135632
2004-01-26,115.85,0.347862,23.30529,21.398277
2004-01-27,114.72,0.348769,23.172161,21.212885
2004-01-28,113.18,0.340454,22.645372,21.017178
2004-01-29,113.77,0.342873,22.60486,21.357086
2004-01-30,113.47,0.341059,22.512241,21.006887
2004-02-02,113.89,0.33743,22.581707,20.955385
2004-02-03,113.96,0.336523,22.65118,20.811182
2004-02-04,113.03,0.329418,22.529608,20.780277
2004-02-05,113.24,0.338942,22.552763,20.795731
2004-02-06,114.66,0.343327,22.998495,20.862682
2004-02-09,114.39,0.342721,22.871134,21.106239
2004-02-10,114.96,0.347408,22.853769,21.292789
2004-02-11,116.23,0.359805,23.311071,21.722904
2004-02-12,115.67,0.358747,23.363176,21.717709
2004-02-13,115.05,0.34771,23.247402,21.717709
2004-02-17,116.17,0.350129,23.536839,21.883528
2004-02-18,115.67,0.351641,23.432636,21.660707
2004-02-19,115.2,0.339698,23.62945,21.738443
2004-02-20,114.9,0.33864,23.484741,21.779892
2004-02-23,114.6,0.335465,23.334238,22.064907
2004-02-24,114.41,0.338035,23.270563,21.924988
2004-02-25,114.88,0.344838,23.357384,22.101171
2004-02-26,115.03,0.348316,23.478964,21.924988
2004-02-27,115.04,0.361619,23.745237,21.852448
2004-03-01,116.14,0.363131,24.040455,22.033808
2004-03-02,115.46,0.359956,24.121492,21.78508
2004-03-03,115.68,0.361619,24.370407,21.712532
2004-03-04,116.07,0.380365,24.659845,21.634792
2004-03-05,116.27,0.404251,24.897173,22.018261
2004-03-08,115.31,0.393064,24.856674,22.054537
2004-03-09,114.65,0.409694,24.584599,22.168537
2004-03-10,112.99,0.418462,24.329893,21.987175
2004-03-11,111.31,0.410449,23.913103,21.427519
2004-03-12,112.69,0.416648,24.034668,21.779892
2004-03-15,111.08,0.399867,23.693134,21.650341
2004-03-16,111.7,0.390342,23.924677,21.800617
2004-03-17,113.02,0.395937,24.474606,21.888716
2004-03-18,112.88,0.388075,24.324108,22.002722
2004-03-19,111.23,0.390948,23.924677,21.505255
2004-03-22,109.79,0.390948,23.617878,21.215059
2004-03-23,109.65,0.38233,23.722075,21.121778
2004-03-24,109.38,0.385505,23.583153,20.779766
2004-03-25,111.17,0.406216,24.023085,20.857492
2004-03-26,111.06,0.408787,23.878361,21.111422
2004-03-29,112.52,0.421939,24.347254,21.292789
2004-03-30,112.97,0.42209,24.30094,21.531157
2004-03-31,112.91,0.408787,24.283579,21.551886
2004-04-01,113.5,0.409845,24.463026,21.515612
2004-04-02,114.48,0.41574,24.235437,21.717709
2004-04-05,115.35,0.428137,24.363827,21.893894
2004-04-06,115.15,0.420729,24.217928,21.86281
2004-04-07,114.39,0.412869,24.142075,21.712532
2004-04-08,114.27,0.416194,24.013685,21.997549
2004-04-12,114.86,0.423904,24.252947,22.339548
2004-04-13,113.29,0.407124,23.365931,22.189268
2004-04-14,113.16,0.402739,22.916586,22.438004
2004-04-15,113.23,0.442953,22.624796,22.634922
2004-04-16,113.81,0.441139,22.910749,22.728197
2004-04-19,113.93,0.428591,22.969107,22.660831
2004-04-20,112.16,0.419218,22.490583,22.438004
2004-04-21,112.76,0.419218,21.988712,22.256645
2004-04-22,114.35,0.419973,22.397207,22.438004
2004-04-23,114.42,0.418764,22.350525,22.267
2004-04-26,113.91,0.410147,22.496414,22.287727
2004-04-27,114.17,0.407274,22.537266,22.671202
2004-04-28,112.62,0.399867,22.134615,22.344728
2004-04-29,111.79,0.404705,21.971222,22.044174
2004-04-30,111.14,0.389738,21.942041,22.049358
2004-05-03,112.16,0.394123,22.093763,22.634922
2004-05-04,112.36,0.395181,22.356363,22.552011
2004-05-05,112.58,0.402891,22.204641,22.795557
2004-05-06,111.83,0.401833,21.942041,22.712658
2004-05-07,110.3,0.403193,21.288445,22.412088
2004-05-10,109.14,0.397297,20.664024,21.790266
2004-05-11,110.0,0.410299,20.535643,22.217924
2004-05-12,110.22,0.412717,20.874107,22.426548
2004-05-13,110.14,0.411054,20.86244,22.285719
2004-05-14,110.08,0.409089,20.809902,22.567373
2004-05-17,108.93,0.402739,20.605667,22.452627
2004-05-18,109.67,0.409089,20.757389,22.264868
2004-05-19,109.41,0.40017,20.856598,22.217924
2004-05-20,109.46,0.403797,20.955795,22.285719
2004-05-21,109.9,0.409845,21.055019,22.217924
2004-05-24,110.08,0.413322,21.055019,22.322237
2004-05-25,111.85,0.429498,21.498528,22.854208
2004-05-26,112.06,0.43101,21.492695,22.713392
2004-05-27,112.06,0.42587,21.562716,22.619511
2004-05-28,112.64,0.424206,21.498528,22.556921
2004-06-01,112.7,0.424206,21.50436,22.791624
2004-06-02,113.11,0.437209,21.766975,22.833349
2004-06-03,112.28,0.429347,21.568554,22.713392
2004-06-04,112.87,0.435092,21.755291,22.619511
2004-06-07,114.67,0.450663,22.257162,22.948097
2004-06-08,114.85,0.458827,22.210468,22.890718
2004-06-09,113.77,0.456559,21.988712,22.661243
2004-06-10,114.29,0.464723,22.058744,22.937666
2004-06-14,113.2,0.455349,21.924519,22.869865
2004-06-15,113.88,0.463967,21.737782,22.989824
2004-06-16,114.03,0.494958,21.778629,23.328823
2004-06-17,113.88,0.496017,21.778629,23.34968
2004-06-18,113.77,0.497529,21.726107,23.459213
2004-06-21,113.29,0.48876,21.5919,23.328823
2004-06-22,113.71,0.498889,21.568554,23.417496
2004-06-23,114.67,0.509472,21.953695,23.709543
2004-06-24,114.35,0.50161,22.041239,23.610451
2004-06-25,113.73,0.509472,22.169622,23.078478
2004-06-28,113.64,0.491179,22.146288,23.146286
2004-06-29,113.93,0.49133,22.344687,23.245365
2004-06-30,114.4,0.491934,22.624796,23.161928
2004-07-01,113.23,0.488307,22.471725,23.255806
2004-07-02,112.87,0.469863,22.41876,23.323616
2004-07-06,111.95,0.467898,21.930105,23.521799
2004-07-07,112.19,0.459432,21.700506,23.662609
2004-07-08,111.28,0.455652,21.635738,23.636534
2004-07-09,111.65,0.453989,21.68284,23.70434
2004-07-12,111.81,0.440534,21.724047,23.699121
2004-07-13,111.9,0.441744,21.865343,23.579161
2004-07-14,111.53,0.447186,21.459118,23.709543
2004-07-15,111.05,0.497831,21.194195,23.636534
