ticker,regime,n_obs,start_date,end_date,mean,std,ann_vol,skewness,kurtosis,min,max
SPY,crisis,756,2007-01-03,2009-12-31,-0.0003163779456839191,0.01879502354020122,0.2983617490378634,-0.16681280850830837,6.141847005680508,-0.0944413453254728,0.10939778703775864
SPY,normal,505,2013-01-02,2014-12-31,0.0007264087527036047,0.007082451285232201,0.11243042864072514,-0.37998491242318666,1.3304857443041822,-0.025040565118892525,0.025269060157969533
SPY,high_vol,502,2017-01-03,2018-12-31,0.00022450129463423346,0.008212800188299087,0.13037416119422296,-0.7369632042787685,6.337006946843335,-0.04176387958645966,0.048386963855425964
AAPL,crisis,756,2007-01-03,2009-12-31,0.0012034531048060037,0.028335361457276012,0.44980991835046247,-0.479555981977177,4.580361603143249,-0.1974699165507107,0.13019409399931597
AAPL,normal,505,2013-01-02,2014-12-31,0.0008287389958024421,0.01606795334900614,0.25507085183554606,-1.2278845429307303,11.572558741806812,-0.13188456108185814,0.078794690645358
AAPL,high_vol,502,2017-01-03,2018-12-31,0.0006768236909600921,0.01501992110925105,0.23843385580132612,-0.11772940820784768,3.338233390968321,-0.06863272854021032,0.06805251418951858
JPM,crisis,756,2007-01-03,2009-12-31,-8.650310650863768e-05,0.043178551670017495,0.6854382581449138,0.32006023912715464,6.192551015909154,-0.2322784940368131,0.22391705614352903
JPM,normal,505,2013-01-02,2014-12-31,0.0008061526547674861,0.011635996533059655,0.1847157184973137,-0.11727998605498248,1.0050675903166004,-0.04334719656432874,0.04375256812897477
JPM,high_vol,502,2017-01-03,2018-12-31,0.0003358201089669458,0.0122382614273725,0.19427637729973202,-0.28905638893353414,1.9796165181135996,-0.04914028729266934,0.04062235437743644
XOM,crisis,756,2007-01-03,2009-12-31,-7.64556781539768e-05,0.02264122629984083,0.3594183250014838,0.14424555240567694,10.309071036328273,-0.15027121747939903,0.15863063931200666
XOM,normal,505,2013-01-02,2014-12-31,0.00023928227118707462,0.009378015718424169,0.14887138429323052,-0.3695980587434171,2.2802476469483457,-0.04263941166759831,0.029757574869004856
XOM,high_vol,502,2017-01-03,2018-12-31,-0.00040324705683643375,0.010971849790400256,0.1741727158065314,-0.5868626071564952,3.512028660782661,-0.058586388942896056,0.04667255545237769
