date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0,lam,mu_j,sigma_j,kappa_j,eta_v,kappa_q,theta_q,v0_q,mu_j_q,kappa_j_q,n_quotes,q_success,q_explosive,jump_premium_identified
2018-10-01,2017-04-03,2018-10-01,378,0.3943880647959184,20.0,0.04080364151997521,3.0,0.1791939339773434,0.028092780807468833,4.0,-0.00752513031525807,0.05845947476687694,-0.005799492857141986,-3.3494765651554665,23.349476565155467,0.034950369363625625,0.0001,-0.08846872687321468,-0.08310284958500025,22,True,False,True
2018-10-31,2017-05-01,2018-10-31,381,0.3133087946449778,20.0,0.050002009943050485,3.0,0.07170736723940045,0.18193808278155987,4.6299212598425195,-0.002663356501896403,0.06257815345584018,-0.0007050951604223865,-24.725260873725514,44.72526087372552,0.022359628078737433,0.1178149530323028,-0.06805035534775546,-0.06395557657139661,22,True,False,True
2018-11-30,2017-05-31,2018-11-30,381,0.31859787469502643,20.0,0.05414193690489006,3.0,0.097307810002488,0.09857510069059243,4.6299212598425195,-0.002663356501896403,0.06257815345584018,-0.0007050951604223865,-29.114567702124848,49.114567702124845,0.02204720083591318,0.12718576273479246,-0.10409076328176517,-0.09709031812257929,21,True,False,True
2018-12-31,2017-07-03,2018-12-31,377,0.27749631811374526,20.0,0.06183565109944369,3.0,0.0636356940574051,0.16507216315463077,5.347480106100796,0.0059292774018809835,0.06282722311944013,0.007934217783606812,2.850051483822175,17.149948516177826,0.07211176294915768,0.173713276453282,-0.06802258433413715,-0.06391496226622306,24,True,False,True
2019-01-31,2017-08-01,2019-01-31,378,0.25977501672435466,20.0,0.06584533497389773,3.0,0.06470392315532861,0.09357159947112656,4.666666666666667,0.013497490106105887,0.06380081049153619,0.015654022183232863,-40.0,60.0,0.02194844499129924,0.19713665381362955,-0.036286126353878095,-0.0336709339036847,24,True,False,True
2019-02-28,2017-08-29,2019-02-28,377,0.3055238540128025,20.0,0.06682349787769878,3.0,0.0695742241262107,0.04823411832365816,4.679045092838196,0.013497490106105887,0.06380081049153619,0.015654022183232863,-40.0,60.0,0.022274499292566263,0.00976850280754638,-0.04626994431115606,-0.04327058705338371,23,True,False,True
2019-03-31,2017-10-02,2019-03-29,375,0.32655543954941024,20.0,0.06791755956790305,3.0,0.07052510249141795,0.030111157852242807,4.704,0.013497490106105887,0.06380081049153619,0.015654022183232863,-40.0,60.0,0.022639186522634348,0.0038369232557317686,-0.07788345132379783,-0.07304307316465519,22,True,False,True
2019-04-30,2017-10-31,2019-04-30,375,0.31521314292827307,20.0,0.06615382125394603,3.0,0.025788683785452682,0.022465519079074295,4.032,0.005389245557394655,0.06582101194978675,0.0075840627839620645,-40.0,60.0,0.022051273751315343,0.0001,-0.038935281774469845,-0.036101305866938715,22,True,False,True
2019-05-31,2017-12-01,2019-05-31,375,0.2755056662986388,20.0,0.06816795467842916,3.0,0.017656926588666303,0.046374894814195225,4.032,0.005389245557394655,0.06582101194978675,0.0075840627839620645,-40.0,60.0,0.02272265155947639,0.07854597383081084,-0.08710024795809598,-0.08142713326173778,14,True,False,True
2019-06-30,2018-01-02,2019-06-28,375,0.3183106355742028,20.0,0.06933344388260124,3.0,0.012724735558869825,0.061554893852749766,4.032,0.005389245557394655,0.06582101194978675,0.0075840627839620645,-40.0,60.0,0.023111147960867075,0.01787554623971007,-0.07694895410000513,-0.07205494070363516,23,True,False,True
2019-07-31,2018-02-01,2019-07-31,376,0.25855153345751053,20.0,0.06865604925818425,3.0,-0.001159530330010075,0.02096104586796164,4.0212765957446805,0.005389245557394655,0.06582101194978675,0.0075840627839620645,-40.0,60.0,0.022885349752728084,0.0001,-0.04450392032424229,-0.041453991874233265,21,True,False,True
2019-08-31,2018-03-01,2019-08-30,379,0.27204784642230334,20.0,0.06551613319923277,3.0,0.03661696900461479,0.07762468857175099,3.324538258575198,0.017006641335002293,0.06635719917775044,0.01939394616077128,-40.0,60.0,0.021838711066410926,0.048261021447692544,-0.11620605213369513,-0.1077459818148766,23,True,False,True
2019-09-30,2018-04-02,2019-09-30,378,0.2964166891122583,20.0,0.05955032368884038,3.0,-0.08479446934742328,0.027511512362099547,2.6666666666666665,0.0030140859590859215,0.06757040627350816,0.0053110195878158795,-12.139167308016647,32.139167308016646,0.037057788783461366,0.009806450266121912,-0.12807934489864709,-0.11820569547345583,23,True,False,True
