ticker,trading_date,S_t,K,dte,r,market,model_price,error,early_ex_frac,mean_ex_day
MSFT,2008-08-06,26.21,26.0,44,0.0163999999999999,1.16,2.0210082252215447,0.8610082252215447,0.229,40.8651
MSFT,2008-08-13,28.12,28.0,37,0.0185,1.115,1.9767065016488643,0.8617065016488643,0.253,33.7663
MSFT,2008-08-20,27.32,27.0,30,0.0171,1.125,1.8277478995649286,0.7027478995649286,0.2797,27.6219
MSFT,2008-08-27,27.27,27.0,23,0.0167,0.945,1.58836475015177,0.64336475015177,0.2199,21.6084
MSFT,2008-09-04,26.9,27.0,43,0.0169,1.12,2.1361415979518195,1.0161415979518194,0.2672,39.9049
MSFT,2008-09-11,26.44,26.0,36,0.0161,1.355,2.2376342787858245,0.8826342787858246,0.2176,33.4016
MSFT,2008-09-18,24.57,25.0,29,0.0023,1.23,1.4558474484389758,0.22584744843897586,0.2288,27.1157
MSFT,2008-09-25,25.72,26.0,22,0.0076,0.94,1.3637166702612529,0.4237166702612529,0.2036,20.4486
MSFT,2008-10-02,26.48,26.0,15,0.0063,1.31,1.3799259876088663,0.06992598760886626,0.2918,13.6981
MSFT,2008-10-09,23.01,23.0,43,0.006,2.115,1.6705882770099822,-0.44441172299001797,0.2418,39.9257
MSFT,2008-10-17,24.19,24.0,35,0.0083,2.185,1.6985818259294545,-0.48641817407054555,0.247,32.0602
MSFT,2008-10-24,22.32,22.0,28,0.0089,2.03,1.4796174436936702,-0.5503825563063296,0.2067,26.3889
MSFT,2008-10-31,22.63,23.0,21,0.0046,1.115,1.447777997294466,0.332777997294466,0.1843,20.0432
MSFT,2008-11-07,20.88,21.0,42,0.0031,1.64,2.0710525105091366,0.43105251050913673,0.1777,40.8461
MSFT,2008-11-14,21.25,21.0,35,0.0015,1.675,2.0370519004273597,0.3620519004273597,0.2756,32.2
MSFT,2008-11-21,17.53,17.5,56,0.0002,2.23,2.006576733372614,-0.22342326662738587,0.2911,51.3503
MSFT,2008-12-01,20.22,20.0,18,0.0007,1.185,1.5547337607999094,0.3697337607999094,0.246,16.742
MSFT,2008-12-08,19.87,20.0,39,0.0003,1.525,1.9974315018600937,0.47243150186009375,0.2164,36.3906
MSFT,2008-12-15,19.36,19.0,32,0.0003,1.61,2.01125785932668,0.40125785932668,0.264,29.4294
MSFT,2008-12-22,19.12,19.0,25,0.0001,1.075,1.6265701684363087,0.5515701684363088,0.2518,22.8777
MSFT,2008-12-30,18.96,19.0,17,0.001,0.79,1.2899424381594513,0.4999424381594513,0.2048,15.9899
