ticker,regime,date,log_return
AAPL,covid,2019-01-02,0.0011405615796946
AAPL,covid,2019-01-03,-0.1049244843830551
AAPL,covid,2019-01-04,0.0418032452987064
AAPL,covid,2019-01-07,-0.0022281456657472
AAPL,covid,2019-01-08,0.0188834138540521
AAPL,covid,2019-01-09,0.0168393685806343
AAPL,covid,2019-01-10,0.0031910416783923
AAPL,covid,2019-01-11,-0.0098664349431011
AAPL,covid,2019-01-14,-0.0151512616145883
AAPL,covid,2019-01-15,0.0202599799278346
AAPL,covid,2019-01-16,0.0121425100631706
AAPL,covid,2019-01-17,0.0059200848585461
AAPL,covid,2019-01-18,0.0061401627425996
AAPL,covid,2019-01-22,-0.0227012993793285
AAPL,covid,2019-01-23,0.0040359270300697
AAPL,covid,2019-01-24,-0.0079575780646741
AAPL,covid,2019-01-25,0.032599322639644
AAPL,covid,2019-01-28,-0.0092973226131408
AAPL,covid,2019-01-29,-0.010418824248854
AAPL,covid,2019-01-30,0.0661008646238706
AAPL,covid,2019-01-31,0.0071754860969378
AAPL,covid,2019-02-01,0.000480569498004
AAPL,covid,2019-02-04,0.0280091561076007
AAPL,covid,2019-02-05,0.0169645427272377
AAPL,covid,2019-02-06,0.0003446559021984
AAPL,covid,2019-02-07,-0.0191211911487037
AAPL,covid,2019-02-08,0.0011742332528748
AAPL,covid,2019-02-11,-0.0057672108401542
AAPL,covid,2019-02-12,0.0085799911977413
AAPL,covid,2019-02-13,-0.0041633005430582
AAPL,covid,2019-02-14,0.0036367923621817
AAPL,covid,2019-02-15,-0.002227585721224
AAPL,covid,2019-02-19,0.0029884515341336
AAPL,covid,2019-02-20,0.0064147105037825
AAPL,covid,2019-02-21,-0.0056545446157255
AAPL,covid,2019-02-22,0.0111038273912765
AAPL,covid,2019-02-25,0.0072578062302742
AAPL,covid,2019-02-26,0.0005743263826932
AAPL,covid,2019-02-27,0.0030921114294865
AAPL,covid,2019-02-28,-0.0098842730878824
AAPL,covid,2019-03-01,0.0104564032080505
AAPL,covid,2019-03-04,0.0050167864441694
AAPL,covid,2019-03-05,-0.0018216292194446
AAPL,covid,2019-03-06,-0.0057705150357356
AAPL,covid,2019-03-07,-0.0116419459086329
AAPL,covid,2019-03-08,0.0023738558728659
AAPL,covid,2019-03-11,0.034055960602377
AAPL,covid,2019-03-12,0.0111726048746504
AAPL,covid,2019-03-13,0.0044123445066226
AAPL,covid,2019-03-14,0.0110550310323975
AAPL,covid,2019-03-15,0.0129244617362185
AAPL,covid,2019-03-18,0.0101567366309031
AAPL,covid,2019-03-19,-0.0079562267329449
AAPL,covid,2019-03-20,0.0087004969834266
AAPL,covid,2019-03-21,0.0361682693854989
AAPL,covid,2019-03-22,-0.0209256269849767
AAPL,covid,2019-03-25,-0.0121649076568129
AAPL,covid,2019-03-26,-0.010385467563864
AAPL,covid,2019-03-27,0.0089541281560003
AAPL,covid,2019-03-28,0.0013255108882955
AAPL,covid,2019-03-29,0.0064964900847802
AAPL,covid,2019-04-01,0.006768229916576
AAPL,covid,2019-04-02,0.0144319614906681
AAPL,covid,2019-04-03,0.0068314611980035
AAPL,covid,2019-04-04,0.0017391782905027
AAPL,covid,2019-04-05,0.0066718933041544
AAPL,covid,2019-04-08,0.0156137079751762
AAPL,covid,2019-04-09,-0.0030033206935172
AAPL,covid,2019-04-10,0.0055983839300691
AAPL,covid,2019-04-11,-0.0083592280140532
AAPL,covid,2019-04-12,-0.0004019209330191
AAPL,covid,2019-04-15,0.0018085934606644
AAPL,covid,2019-04-16,0.0001004754085093
AAPL,covid,2019-04-17,0.0192859533257907
AAPL,covid,2019-04-18,0.0035871000435659
AAPL,covid,2019-04-22,0.0032809963104779
AAPL,covid,2019-04-23,0.0143205406559428
AAPL,covid,2019-04-24,-0.0015436300321049
AAPL,covid,2019-04-25,-0.0091164105765073
AAPL,covid,2019-04-26,-0.0047854146496999
AAPL,covid,2019-04-29,0.0015162636328291
AAPL,covid,2019-04-30,-0.0194440132677246
AAPL,covid,2019-05-01,0.0479188534319501
AAPL,covid,2019-05-02,-0.0065290350482749
AAPL,covid,2019-05-03,0.0123545924499378
AAPL,covid,2019-05-06,-0.0155631561512285
AAPL,covid,2019-05-07,-0.0273269495619731
AAPL,covid,2019-05-08,0.0001971815940935
AAPL,covid,2019-05-09,-0.0108023883903493
AAPL,covid,2019-05-10,-0.013950228579248
AAPL,covid,2019-05-13,-0.0598768339194793
AAPL,covid,2019-05-14,0.0157063645181366
AAPL,covid,2019-05-15,0.0119079829441886
AAPL,covid,2019-05-16,-0.0044095578733911
AAPL,covid,2019-05-17,-0.0056980064318736
AAPL,covid,2019-05-20,-0.0317692439912869
AAPL,covid,2019-05-21,0.0189895555109515
AAPL,covid,2019-05-22,-0.0206840002476831
AAPL,covid,2019-05-23,-0.0172171164461904
AAPL,covid,2019-05-24,-0.0038480956639847
AAPL,covid,2019-05-28,-0.0041432237912672
AAPL,covid,2019-05-29,-0.0047803328100331
AAPL,covid,2019-05-30,0.0051730505366452
AAPL,covid,2019-05-31,-0.0182817001404436
AAPL,covid,2019-06-03,-0.0101615360086198
AAPL,covid,2019-06-04,0.035930557095925
AAPL,covid,2019-06-05,0.0160143302943892
AAPL,covid,2019-06-06,0.0145750452155481
AAPL,covid,2019-06-07,0.0262688038848104
AAPL,covid,2019-06-10,0.0126986174643643
AAPL,covid,2019-06-11,0.0115130834671498
AAPL,covid,2019-06-12,-0.0031877065533153
AAPL,covid,2019-06-13,-0.0002061316301213
AAPL,covid,2019-06-14,-0.007288729111388
AAPL,covid,2019-06-17,0.0059486480198082
AAPL,covid,2019-06-18,0.0232462755172069
AAPL,covid,2019-06-19,-0.002927078400044
AAPL,covid,2019-06-20,0.0080036439754771
AAPL,covid,2019-06-21,-0.0034150074277982
AAPL,covid,2019-06-24,-0.0010065540604916
AAPL,covid,2019-06-25,-0.0152736327629735
AAPL,covid,2019-06-26,0.0213982931132385
AAPL,covid,2019-06-27,-0.0003003434828193
AAPL,covid,2019-06-28,-0.0091535534803307
AAPL,covid,2019-07-01,0.018174670272507
AAPL,covid,2019-07-02,0.0058374148232678
AAPL,covid,2019-07-03,0.0082525218206906
AAPL,covid,2019-07-05,-0.0008806413741481
AAPL,covid,2019-07-08,-0.0208297044220976
AAPL,covid,2019-07-09,0.0060811964075077
AAPL,covid,2019-07-10,0.0098398285028556
AAPL,covid,2019-07-11,-0.0073088867078883
AAPL,covid,2019-07-12,0.0076534050882379
AAPL,covid,2019-07-15,0.0093512258964092
AAPL,covid,2019-07-16,-0.0034658468810046
AAPL,covid,2019-07-17,-0.0056394485240637
AAPL,covid,2019-07-18,0.0112957961056615
AAPL,covid,2019-07-19,-0.0150401924293622
AAPL,covid,2019-07-22,0.0225970138527175
AAPL,covid,2019-07-23,0.0077872466911615
AAPL,covid,2019-07-24,-0.0008144456455827
AAPL,covid,2019-07-25,-0.0079386583899337
AAPL,covid,2019-07-26,0.0034718286828178
AAPL,covid,2019-07-29,0.0092951232666554
