ticker,regime,n_obs,start_date,end_date,mean,std,ann_vol,skewness,kurtosis,min,max
SPY,crisis,505,2008-01-02,2009-12-31,-0.000541691762442,0.0218882779629306,0.3474656407042196,-0.111013211947117,4.36482999259187,-0.0944413453254728,0.1093977870377586
SPY,normal,505,2013-01-02,2014-12-31,0.0007264087527036,0.0070824512852322,0.1124304286407251,-0.3799849124231866,1.3304857443041822,-0.0250405651188925,0.0252690601579695
SPY,late,503,2018-01-02,2019-12-31,0.0003759417857629,0.0094683159584093,0.1503048561632112,-0.614535722381419,3.6314359088101726,-0.0417638795864596,0.0483869638554259
SPY,covid,505,2019-01-02,2020-12-31,0.0007991758817214,0.0164291022734989,0.2608039132783443,-1.0683352555846448,15.12490967608607,-0.1269598767600317,0.0897992645832742
AAPL,crisis,505,2008-01-02,2009-12-31,0.0001225867117084,0.0303477808342946,0.4817560855814161,-0.5232109778630508,4.645716740051249,-0.1974699165507107,0.1301940939993159
AAPL,normal,505,2013-01-02,2014-12-31,0.0008287389958024,0.0160679533490061,0.255070851835546,-1.2278845429307303,11.572558741806812,-0.1318845610818581,0.078794690645358
AAPL,late,503,2018-01-02,2019-12-31,0.0011549596360787,0.0173989374768872,0.2761995698436315,-0.5917753474815522,4.345706477849667,-0.1049244843830551,0.0680525141895185
AAPL,covid,505,2019-01-02,2020-12-31,0.0024492551894698,0.0238526185931381,0.3786485814907129,-0.4827766200429757,6.218641629043114,-0.1377080651907918,0.1131574305187638
MSFT,crisis,505,2008-01-02,2009-12-31,-0.0002253642733783,0.027122287096398,0.4305529598661919,0.3104952334069611,5.1964280042547895,-0.1245784403241257,0.1706253854610824
MSFT,normal,505,2013-01-02,2014-12-31,0.0012082435290324,0.0140090027700883,0.222386024674012,-0.9566413611891652,12.968861904773014,-0.121033071354027,0.0703296925407179
MSFT,late,503,2018-01-02,2019-12-31,0.0012794259350384,0.0153548682581782,0.2437509769517949,-0.1179917276633561,2.634371997622786,-0.0558700017218006,0.0729768628386682
MSFT,covid,505,2019-01-02,2020-12-31,0.0016020495770699,0.0214860514970511,0.3410804935075469,-0.4995794868235241,10.879827299635362,-0.1594534205518285,0.1329287852626808
AMZN,covid,505,2019-01-02,2020-12-31,0.0015326879123742,0.0199251899824516,0.3163025851156953,0.0004520734002458,2.273630523594729,-0.0825350321734267,0.0763082368841326
AMZN,crisis,505,2008-01-02,2009-12-31,0.0007385977684106,0.0369339060294743,0.5863075818013089,0.7130062006700305,4.965514274853318,-0.1367589371153891,0.2374020349270767
AMZN,late,503,2018-01-02,2019-12-31,0.0009094766006251,0.0190387970271825,0.3022315331745656,-0.2598978089989363,3.058456033918759,-0.0814234737098848,0.0902539811584145
AMZN,normal,505,2013-01-02,2014-12-31,0.0004213184478928,0.0189207543355646,0.3003576635379067,-1.134111469704962,7.735294121032146,-0.1165028202083761,0.0897093386227095
