Date,SPY,AAPL,MSFT,AMZN
2004-02-25,114.88,0.344838,16.668592,2.147
2004-02-26,115.03,0.348316,16.543736,2.1825
2004-02-27,115.04,0.361619,16.562462,2.1505
2004-03-01,116.14,0.363131,16.668592,2.1485
2004-03-02,115.46,0.359956,16.475071,2.1005
2004-03-03,115.68,0.361619,16.462578,2.1585
2004-03-04,116.07,0.380365,16.462578,2.2195
2004-03-05,116.27,0.404251,16.450102,2.2045
2004-03-08,115.31,0.393064,16.125462,2.175
2004-03-09,114.65,0.409694,16.056784,2.1355
2004-03-10,112.99,0.418462,15.838287,2.0775
2004-03-11,111.31,0.410449,15.663489,2.064
2004-03-12,112.69,0.416648,15.844531,2.122
2004-03-15,111.08,0.399867,15.707195,2.054
2004-03-16,111.7,0.390342,15.719673,2.1065
2004-03-17,113.02,0.395937,15.688457,2.14
2004-03-18,112.88,0.388075,15.538625,2.1505
2004-03-19,111.23,0.390948,15.376309,2.14
2004-03-22,109.79,0.390948,15.295157,2.0425
2004-03-23,109.65,0.38233,15.076656,2.0115
2004-03-24,109.38,0.385505,15.238964,1.9815
2004-03-25,111.17,0.406216,15.725915,2.0995
2004-03-26,111.06,0.408787,15.626031,2.085
2004-03-29,112.52,0.421939,15.800827,2.138
2004-03-30,112.97,0.42209,15.732156,2.19
2004-03-31,112.91,0.408787,15.563598,2.164
2004-04-01,113.5,0.409845,15.657245,2.237
2004-04-02,114.48,0.41574,16.137949,2.3045
2004-04-05,115.35,0.428137,16.200382,2.348
2004-04-06,115.15,0.420729,16.106731,2.322
2004-04-07,114.39,0.412869,15.975636,2.2925
2004-04-08,114.27,0.416194,15.906961,2.405
2004-04-12,114.86,0.423904,15.988123,2.398
2004-04-13,113.29,0.407124,15.888242,2.329
2004-04-14,113.16,0.402739,15.925688,2.3395
2004-04-15,113.23,0.442953,15.744638,2.3495
2004-04-16,113.81,0.441139,15.707195,2.275
2004-04-19,113.93,0.428591,15.938176,2.3555
2004-04-20,112.16,0.419218,15.813315,2.26
2004-04-21,112.76,0.419218,15.888242,2.286
2004-04-22,114.35,0.419973,16.200382,2.443
2004-04-23,114.42,0.418764,17.192997,2.3145
2004-04-26,113.91,0.410147,17.005703,2.3625
2004-04-27,114.17,0.407274,16.993223,2.4
2004-04-28,112.62,0.399867,16.581196,2.3485
2004-04-29,111.79,0.404705,16.531254,2.3095
2004-04-30,111.14,0.389738,16.312748,2.18
2004-05-03,112.16,0.394123,16.450102,2.2205
2004-05-04,112.36,0.395181,16.437607,2.1975
2004-05-05,112.58,0.402891,16.41888,2.213
2004-05-06,111.83,0.401833,16.306513,2.157
2004-05-07,110.3,0.403193,16.094257,2.095
2004-05-10,109.14,0.397297,16.187893,2.063
2004-05-11,110.0,0.410299,16.194138,2.135
2004-05-12,110.22,0.412717,16.194138,2.151
2004-05-13,110.14,0.411054,16.294018,2.1805
2004-05-14,110.08,0.409089,16.144196,2.1525
2004-05-17,108.93,0.402739,15.944426,2.104
2004-05-18,109.67,0.409089,16.125462,2.0995
2004-05-19,109.41,0.40017,15.994359,2.0845
2004-05-20,109.46,0.403797,16.063028,2.049
2004-05-21,109.9,0.409845,16.162918,2.0585
2004-05-24,110.08,0.413322,16.081762,2.0815
2004-05-25,111.85,0.429498,16.294018,2.181
2004-05-26,112.06,0.43101,16.318996,2.2345
2004-05-27,112.06,0.42587,16.350214,2.381
2004-05-28,112.64,0.424206,16.375181,2.425
2004-06-01,112.7,0.424206,16.300264,2.5115
2004-06-02,113.11,0.437209,16.312748,2.5175
2004-06-03,112.28,0.429347,16.162918,2.47
2004-06-04,112.87,0.435092,16.200382,2.5475
2004-06-07,114.67,0.450663,16.50004,2.588
2004-06-08,114.85,0.458827,16.606176,2.597
2004-06-09,113.77,0.456559,16.525011,2.512
2004-06-10,114.29,0.464723,16.712292,2.497
2004-06-14,113.2,0.455349,16.793453,2.4625
2004-06-15,113.88,0.463967,17.111845,2.5055
2004-06-16,114.03,0.494958,17.055658,2.5285
2004-06-17,113.88,0.496017,17.336586,2.4885
2004-06-18,113.77,0.497529,17.698685,2.48
2004-06-21,113.29,0.48876,17.698685,2.4885
2004-06-22,113.71,0.498889,17.661221,2.45
2004-06-23,114.67,0.509472,17.667461,2.5405
2004-06-24,114.35,0.50161,17.72365,2.551
2004-06-25,113.73,0.509472,17.836018,2.59
2004-06-28,113.64,0.491179,17.654972,2.6695
2004-06-29,113.93,0.49133,17.792328,2.6855
2004-06-30,114.4,0.491934,17.829782,2.72
2004-07-01,113.23,0.488307,17.873482,2.628
2004-07-02,112.87,0.469863,17.836018,2.6295
2004-07-06,111.95,0.467898,17.492666,2.562
2004-07-07,112.19,0.459432,17.542606,2.55
2004-07-08,111.28,0.455652,17.255428,2.475
2004-07-09,111.65,0.453989,17.392782,2.416
2004-07-12,111.81,0.440534,17.411501,2.4525
2004-07-13,111.9,0.441744,17.230453,2.48
2004-07-14,111.53,0.447186,17.561337,2.475
2004-07-15,111.05,0.497831,17.399021,2.4335
2004-07-16,110.52,0.486795,17.155548,2.355
2004-07-19,110.47,0.483318,17.448961,2.301
2004-07-20,111.25,0.486795,17.679949,2.3495
2004-07-21,109.78,0.478027,18.017069,2.238
2004-07-22,110.08,0.478933,18.104469,2.291
2004-07-23,109.02,0.464118,17.498907,1.999
2004-07-26,108.8,0.472584,17.892214,1.939
2004-07-27,109.88,0.490272,17.75486,1.9555
2004-07-28,109.96,0.487853,17.84226,1.8985
2004-07-29,110.49,0.493446,17.779835,1.929
2004-07-30,110.62,0.488911,17.786083,1.946
2004-08-02,111.11,0.477422,17.804808,1.915
2004-08-03,110.42,0.473037,17.523874,1.8805
2004-08-04,110.33,0.480597,17.517626,1.856
2004-08-05,108.54,0.474549,17.186756,1.7805
2004-08-06,106.87,0.45021,16.943283,1.7745
2004-08-09,107.0,0.45807,16.968258,1.766
2004-08-10,108.38,0.476515,17.305378,1.855
2004-08-11,108.12,0.468804,17.111845,1.828
2004-08-12,106.86,0.459129,16.780973,1.8145
2004-08-13,107.03,0.466234,16.868376,1.8065
2004-08-16,108.49,0.465327,16.912071,1.8975
2004-08-17,108.74,0.466688,16.887093,1.9115
2004-08-18,110.11,0.479841,17.143055,1.968
2004-08-19,109.71,0.464269,16.930796,1.9315
2004-08-20,110.43,0.46563,16.980742,1.9755
2004-08-23,110.17,0.469863,17.055872,1.9725
2004-08-24,110.22,0.483015,17.055872,1.9525
2004-08-25,111.11,0.499645,17.249971,2.015
2004-08-26,111.12,0.523985,17.181103,2.0095
2004-08-27,111.4,0.519298,17.193626,1.995
2004-08-30,110.55,0.515821,17.093447,1.9155
2004-08-31,111.06,0.521415,17.093447,1.907
2004-09-01,111.26,0.542126,17.149797,1.912
2004-09-02,112.51,0.539103,17.293808,1.959
2004-09-03,112.04,0.532602,16.97448,1.937
2004-09-07,112.81,0.540614,17.13102,1.9255
2004-09-08,112.33,0.549534,17.068403,1.9005
2004-09-09,112.54,0.539707,17.080923,1.9035
2004-09-10,113.09,0.542277,17.212418,1.9285
2004-09-13,113.31,0.538044,17.062132,2.0005
2004-09-14,113.56,0.536533,17.181103,2.1335
2004-09-15,112.77,0.532148,17.024569,2.1105
2004-09-16,113.09,0.549534,17.068403,2.1285
2004-09-17,113.12,0.561477,17.224937,2.148
2004-09-20,112.49,0.570094,17.224937,2.1635
2004-09-21,113.2,0.574629,17.068403,2.1645
2004-09-22,111.62,0.558151,16.980738,2.069
2004-09-23,111.13,0.563443,17.12476,2.0915
2004-09-24,111.3,0.563745,17.087191,2.047
2004-09-27,110.64,0.567373,17.024569,1.9965
2004-09-28,111.32,0.575083,17.074667,1.9715
2004-09-29,111.8,0.584758,17.268764,2.042
