date,ticker,mu,sigma
2018-01-02,AAPL,0.37018290720647634,0.1815178355504941
2018-01-02,MSFT,0.45835805285108644,0.160490822007583
2018-01-02,SPY,0.21008637071162575,0.06317627881340844
2018-03-23,AAPL,0.1816065085437581,0.2139118534129367
2018-03-23,MSFT,0.33885025548857345,0.22896603308286267
2018-03-23,SPY,0.06835935113414712,0.13561169178212235
2018-06-13,AAPL,0.2226457082839606,0.243570947625234
2018-06-13,MSFT,0.3574443607829291,0.2636781830775014
2018-06-13,SPY,0.08413993913621855,0.16397556887617037
2018-08-30,AAPL,0.47471664301132044,0.21838050529953432
2018-08-30,MSFT,0.3649537919680938,0.228859660009821
2018-08-30,SPY,0.13212750340749332,0.12833742520603836
2018-11-19,AAPL,0.00898853173183127,0.26539231612912123
2018-11-19,MSFT,0.17796526529308956,0.24357015682820343
2018-11-19,SPY,-0.01648566517553024,0.13127941925908146
2019-02-12,AAPL,-0.3729865154830998,0.3733882723105423
2019-02-12,MSFT,-0.022792225507194175,0.3174081010203188
2019-02-12,SPY,-0.06445593994241783,0.19226094069600175
2019-05-03,AAPL,0.05764002117065563,0.3488695379844338
2019-05-03,MSFT,0.41520951353595303,0.2775234664843907
2019-05-03,SPY,0.1609473198093481,0.17433182233028474
2019-07-23,AAPL,0.63152997318096,0.24616052864251262
2019-07-23,MSFT,0.5531896399865643,0.19498579773510866
2019-07-23,SPY,0.26285580349519216,0.10666654382851326
2019-10-10,AAPL,0.2871088460874108,0.2668245474220738
2019-10-10,MSFT,0.3038651212540881,0.21368786009130164
2019-10-10,SPY,0.0336922261172591,0.14029136424974378
2019-12-31,AAPL,0.7900903284503371,0.22666627432428366
2019-12-31,MSFT,0.334440824073455,0.17695443513998854
2019-12-31,SPY,0.18407905737125435,0.12482707481808096
