date,window_start,window_end,n_days,mu,sigma,lam,mu_j,sigma_j,kappa,mu_j_q,kappa_q,n_quotes,q_success,jump_premium_identified
2018-10-01,2017-04-03,2018-10-01,378,0.5328959735820599,0.19415588541091128,2.0,0.007584633433012596,0.10097003052332695,0.012762865920283417,0.028765903554153184,0.034443268419710016,24,True,True
2018-10-31,2017-05-01,2018-10-31,381,0.4573422487304648,0.21501344291469612,4.6299212598425195,-0.018860364626165298,0.08073532601386718,-0.015480198837805048,0.11974295947547799,0.13088674594506777,24,True,True
2018-11-30,2017-05-31,2018-11-30,381,0.32511505711085215,0.23300466845531637,5.291338582677166,0.005864086343135622,0.08138349088015596,0.009217948632537665,0.09052303312845562,0.09837813541312501,24,True,True
2018-12-31,2017-07-03,2018-12-31,377,0.20457239596357177,0.2636018041586962,4.679045092838196,0.019848076847953675,0.086430046248198,0.023863434825417196,0.2014329847135699,0.22773138158692996,24,True,True
2019-01-31,2017-08-01,2019-01-31,378,0.2818490249182959,0.2738590270336855,4.666666666666667,0.019848076847953675,0.086430046248198,0.023863434825417196,0.10718448739642741,0.11730503151769911,24,True,True
2019-02-28,2017-08-29,2019-02-28,377,0.23613919881781828,0.28305444383068784,4.010610079575597,0.03373913395525685,0.085693098589493,0.0381193797546755,-0.03768402395657006,-0.03344045214886193,24,True,True
2019-03-31,2017-10-02,2019-03-29,375,0.2827429819214021,0.2864417824418847,4.032,0.03373913395525685,0.085693098589493,0.0381193797546755,-0.03598659192530465,-0.03179838976183702,24,True,True
2019-04-30,2017-10-31,2019-04-30,375,0.36590119133518284,0.28391469564820376,4.032,0.0024676416120326117,0.08016679755261766,0.005697166804941256,-0.036121013450608676,-0.03237208964903704,24,True,True
2019-05-31,2017-12-01,2019-05-31,375,0.27062860237893266,0.2872622174231279,4.032,0.0024676416120326117,0.08016679755261766,0.005697166804941256,-0.04101201329616653,-0.0370932027159927,24,True,True
2019-06-30,2018-01-02,2019-06-28,375,0.31902186968254687,0.29147154502151995,4.032,0.0024676416120326117,0.08016679755261766,0.005697166804941256,-0.03844073487237595,-0.0346141153980174,24,True,True
2019-07-31,2018-02-01,2019-07-31,376,0.16157419358001654,0.28960862407313825,4.0212765957446805,0.0024676416120326117,0.08016679755261766,0.005697166804941256,-0.014654698643882214,-0.011376137695555344,24,True,True
2019-08-31,2018-03-01,2019-08-30,379,0.09863147076318621,0.2832484833920585,3.9894459102902373,0.0024676416120326117,0.08016679755261766,0.005697166804941256,-0.04995857714497512,-0.04566948850965857,24,True,True
2019-09-30,2018-04-02,2019-09-30,378,0.1963868420450789,0.2682550200704305,5.333333333333333,-0.013317664127612594,0.07378917940867209,-0.010539310757069265,-0.03562962745054866,-0.03237165442534706,24,True,True
