ticker,date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0,lam,mu_j,sigma_j,kappa_j
AAPL,2008-01-02,2007-07-03,2008-01-02,127,0.7481422179251709,214.9829636692789,0.177088259074507,8.717207685984729,-0.06341648462226532,0.08820489565011365,1.984251968503937,0.10017073341069183,0.0,0.10535962378461439
AAPL,2008-01-31,2007-08-01,2008-01-31,127,0.07933729635960543,209.6790435426831,0.18461989806705278,8.790169567110707,-0.09439291270767718,0.2813414791299788,3.968503937007874,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-29,2007-08-30,2008-02-29,126,-0.11698832170643363,200.67406931037968,0.17707478649403285,8.42179136245801,-0.06816611866023463,0.20317728865163576,4.0,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-31,2007-10-01,2008-03-31,125,-0.11221817947726764,215.1243798851436,0.18793019409688091,8.983045158766494,0.0003020449477670127,0.19825243553596372,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-04-30,2007-10-31,2008-04-30,125,-0.12281078552195956,216.2115285989095,0.19718135217485383,9.224712291955427,-0.03800352227499827,0.16884017916174973,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-05-31,2007-12-03,2008-05-30,124,0.3027625054260512,252.0,0.1754354381859754,1e-06,-0.02179190297911094,0.09604237687935141,2.032258064516129,-0.11256812287424744,0.0,-0.10646352523776614
AAPL,2008-06-30,2007-12-31,2008-06-30,126,-0.12957625416175675,252.0,0.18104880411161878,1e-06,-0.05148687783572273,0.13413347040066942,2.0,-0.11256812287424744,0.0,-0.10646352523776614
AAPL,2008-07-31,2008-02-01,2008-07-31,126,0.32130263587010965,252.0,0.1643471791098407,1e-06,0.031058044755952394,0.16825096277561283,0.0,0.0,0.0,0.0
AAPL,2008-08-31,2008-03-03,2008-08-29,127,0.6043163599342516,252.0,0.14659014352418748,1e-06,0.017959796363922472,0.0968331891263798,0.0,0.0,0.0,0.0
AAPL,2008-09-30,2008-03-31,2008-09-30,129,-0.0634590975552354,221.11884579978013,0.18358499861173164,9.001439372376506,-0.25410277511813467,0.42013977418154136,1.9534883720930234,-0.19746991655071078,0.0,-0.17919516710312466
