date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0
2018-10-01,2017-04-03,2018-10-01,378,0.3943880647959184,19.999999990800895,0.07784441575481524,1.3338635196689552,-0.47590293356747854,0.017557488320426532
2018-10-31,2017-05-01,2018-10-31,381,0.3133087946449778,19.999999999999986,0.04864816157590739,2.9233140766778956,-0.3811166272248112,0.14513192987334206
2018-11-30,2017-05-31,2018-11-30,381,0.31859787469502643,19.54675579354307,0.07461454427724361,2.753977898922121,-0.4486046394692087,0.15776772307655998
2018-12-31,2017-07-03,2018-12-31,377,0.27749631811374526,19.999999999999996,0.14154152607582554,3.999999999999885,-0.11779226198759779,0.209297234952713
2019-01-31,2017-08-01,2019-01-31,378,0.25977501672435466,19.999999999999996,0.00010000000033995627,3.9999999999999996,-0.5210588239584674,0.2374557728510724
2019-02-28,2017-08-29,2019-02-28,377,0.3055238540128025,19.999999999999996,0.04634810148060541,1.6387506725109775,-0.5440395737936162,0.0447579178948477
2019-03-31,2017-10-02,2019-03-29,375,0.32655543954941024,18.04415213010172,0.09218800002161563,2.458712599214076,-0.5611881935827071,0.02980992239057115
2019-04-30,2017-10-31,2019-04-30,375,0.31521314292827307,19.99999999999648,0.026885723529170298,1.5525066127138305,-0.3465904562432891,0.038688039652947974
2019-05-31,2017-12-01,2019-05-31,375,0.2755056662986388,19.999999999999996,0.06411595448398351,3.307849734145886,-0.6024910120217002,0.11862944629943199
2019-06-30,2018-01-02,2019-06-28,375,0.3183106355742028,19.999999999999996,0.06882147163359084,2.128452829663396,-0.4944065648013687,0.040133889087542444
2019-07-31,2018-02-01,2019-07-31,376,0.25855153345751053,19.999999999994447,0.030680090692766063,1.4337655027746086,-0.4409302949541298,0.03912298668601715
2019-08-31,2018-03-01,2019-08-30,379,0.27204784642230334,16.65347829364217,0.07966971768490869,2.257288965867249,-0.5862838510065979,0.0766684282290222
2019-09-30,2018-04-02,2019-09-30,378,0.2964166891122583,19.999999997896257,0.10517216609207414,2.724329534216141,-0.6162518084658123,0.036512178279531335
