date,window_start,window_end,n_days,mu,sigma,lam,mu_j,sigma_j,kappa
2018-10-01,2017-04-03,2018-10-01,378,0.4313351761546435,0.16246986098336857,4.0,-0.00752513031525807,0.05845947476687694,-0.005799492857141986
2018-10-31,2017-05-01,2018-10-31,381,0.33173479045209037,0.17770566905385896,4.6299212598425195,-0.002663356501896403,0.06257815345584018,-0.0007050951604223865
2018-11-30,2017-05-31,2018-11-30,381,0.3371228639790116,0.18898896449363758,4.6299212598425195,-0.002663356501896403,0.06257815345584018,-0.0007050951604223865
2018-12-31,2017-07-03,2018-12-31,377,0.2511183975249049,0.20099211617371235,5.347480106100796,0.0059292774018809835,0.06282722311944013,0.007934217783606812
2019-01-31,2017-08-01,2019-01-31,378,0.2004996867240843,0.2142555430453215,4.666666666666667,0.013497490106105887,0.06380081049153619,0.015654022183232863
2019-02-28,2017-08-29,2019-02-28,377,0.2469538389612318,0.21617382750966305,4.679045092838196,0.013497490106105887,0.06380081049153619,0.015654022183232863
2019-03-31,2017-10-02,2019-03-29,375,0.26806716653222296,0.21833468777054038,4.704,0.013497490106105887,0.06380081049153619,0.015654022183232863
2019-04-30,2017-10-31,2019-04-30,375,0.2982557976024978,0.21988633687642678,4.032,0.005389245557394655,0.06582101194978675,0.0075840627839620645
2019-05-31,2017-12-01,2019-05-31,375,0.2579026709463654,0.22463937323525157,4.032,0.005389245557394655,0.06582101194978675,0.0075840627839620645
2019-06-30,2018-01-02,2019-06-28,375,0.3014036559825077,0.2270029021241214,4.032,0.005389245557394655,0.06582101194978675,0.0075840627839620645
2019-07-31,2018-02-01,2019-07-31,376,0.2407211818844412,0.22590829143511257,4.0212765957446805,0.005389245557394655,0.06582101194978675,0.0075840627839620645
2019-08-31,2018-03-01,2019-08-30,379,0.21838974789291465,0.22314699316648712,3.324538258575198,0.017006641335002293,0.06635719917775044,0.01939394616077128
2019-09-30,2018-04-02,2019-09-30,378,0.29146339528790116,0.21716148317511874,2.6666666666666665,0.0030140859590859215,0.06757040627350817,0.0053110195878158795
