date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0,lam,mu_j,sigma_j,kappa_j
2018-10-01,2017-04-03,2018-10-01,378,0.3943880647959184,19.999999969564097,0.0664919943384319,0.8312414797428869,-0.9899999999999887,0.005740694532098523,4.0,-0.00752513031525807,0.05845947476687694,-0.005799492857141986
2018-10-31,2017-05-01,2018-10-31,381,0.3133087946449778,19.999999999999996,0.024229680188114135,2.553052241470721,-0.4911408948604154,0.1311524105135085,4.6299212598425195,-0.002663356501896403,0.06257815345584018,-0.0007050951604223865
2018-11-30,2017-05-31,2018-11-30,381,0.31859787469502643,19.565651882790835,0.04941290394648954,2.2779622639086257,-0.5598303820901828,0.1416286079142894,4.6299212598425195,-0.002663356501896403,0.06257815345584018,-0.0007050951604223865
2018-12-31,2017-07-03,2018-12-31,377,0.27749631811374526,19.999999999999996,0.11637339778017691,3.9999999999999667,-0.17072594771144403,0.1904887571679246,5.347480106100796,0.0059292774018809835,0.06282722311944013,0.007934217783606812
2019-01-31,2017-08-01,2019-01-31,378,0.25977501672435466,19.999999999999996,0.00010000000005303228,3.9999999999999996,-0.6808714406607681,0.21269437395138402,4.666666666666667,0.013497490106105887,0.06380081049153619,0.015654022183232863
2019-02-28,2017-08-29,2019-02-28,377,0.3055238540128025,18.89462320316425,0.005077393368622554,0.9424036590070142,-0.9899987068438825,0.02675655119953075,4.679045092838196,0.013497490106105887,0.06380081049153619,0.015654022183232863
2019-03-31,2017-10-02,2019-03-29,375,0.32655543954941024,5.517537032366547,0.09962654080404298,0.6691184414268426,-0.989999999955169,0.0080685312882139,4.704,0.013497490106105887,0.06380081049153619,0.015654022183232863
2019-04-30,2017-10-31,2019-04-30,375,0.31521314292827307,6.210462760035847,0.00010000000000174275,1.0897997771469856,-0.9899999998557382,0.02605138375758205,4.032,0.005389245557394655,0.06582101194978675,0.0075840627839620645
2019-05-31,2017-12-01,2019-05-31,375,0.2755056662986388,19.999999999999996,0.02891630592501888,1.1958734571482506,-0.9899999999997047,0.08660154891817172,4.032,0.005389245557394655,0.06582101194978675,0.0075840627839620645
2019-06-30,2018-01-02,2019-06-28,375,0.3183106355742028,19.999521903328585,0.0467615961424484,1.0524794308878758,-0.9899999995261641,0.020986511482892028,4.032,0.005389245557394655,0.06582101194978675,0.0075840627839620645
2019-07-31,2018-02-01,2019-07-31,376,0.25855153345751053,13.22332203067284,0.0032332965890330277,1.6399961870594895,-0.9899999999982763,0.03660741694994548,4.0212765957446805,0.005389245557394655,0.06582101194978675,0.0075840627839620645
2019-08-31,2018-03-01,2019-08-30,379,0.27204784642230334,16.019837062388987,0.05996913586678799,1.201965170488865,-0.9899999999999658,0.05462593683425434,3.324538258575198,0.017006641335002293,0.06635719917775044,0.01939394616077128
2019-09-30,2018-04-02,2019-09-30,378,0.2964166891122583,19.999999999969532,0.08877606131094871,1.4760777564869574,-0.9899999999999971,0.019516210698684183,2.6666666666666665,0.0030140859590859215,0.06757040627350817,0.0053110195878158795
