date,window_start,window_end,n_days,mu,omega,alpha,beta,sigma0,lam,mu_j,sigma_j,kappa
2018-10-01,2017-04-03,2018-10-01,378,0.49417851755586756,4.207614206746134e-05,0.20596712081545254,0.5130811324622472,0.009584580954942589,2.6666666666666665,0.016851140878545445,0.0588430156958256,0.01875611817620304
2018-10-31,2017-05-01,2018-10-31,381,0.4424156167673532,4.5751527654981736e-05,0.24319532409545513,0.5246654522901784,0.02015432060382024,3.3070866141732282,-0.0028337146129263856,0.0647472920777378,-0.0007373367308036727
2018-11-30,2017-05-31,2018-11-30,381,0.4417309630725592,3.1336744928183855e-05,0.1868113952746071,0.6659412932001066,0.01883166078066177,3.3070866141732282,-0.0028337146129263856,0.0647472920777378,-0.0007373367308036727
2018-12-31,2017-07-03,2018-12-31,377,0.45402595012581126,3.148117234073761e-05,0.22262251918121342,0.6567174570394573,0.026785240313482075,3.3421750663129974,-0.0028337146129263856,0.0647472920777378,-0.0007373367308036727
2019-01-31,2017-08-01,2019-01-31,378,0.4467995172028631,3.320342931943488e-05,0.21933643300440853,0.6628141626589316,0.0211860082941327,3.3333333333333335,-0.0028337146129263856,0.0647472920777378,-0.0007373367308036727
2019-02-28,2017-08-29,2019-02-28,377,0.5198865288364365,3.320344590482937e-05,0.2193364014613073,0.6628133221559506,0.011613280745937954,3.3421750663129974,-0.0028337146129263856,0.0647472920777378,-0.0007373367308036727
2019-03-31,2017-10-02,2019-03-29,375,0.5498391013168945,3.851668004785087e-05,0.22133211792100219,0.6421241284501799,0.013111513100596729,3.36,-0.0028337146129263856,0.0647472920777378,-0.0007373367308036727
2019-04-30,2017-10-31,2019-04-30,375,0.4898611466625402,1.9349720386324755e-05,0.26621005016909444,0.6837836232550213,0.014062612467135256,3.36,-0.021112756372450824,0.05379003278016115,-0.01947395680294428
2019-05-31,2017-12-01,2019-05-31,375,0.4716088554661742,1.8287041006900867e-05,0.23440697950321387,0.7116523340447148,0.011067084870294258,2.6879999999999997,-0.01677319413466094,0.06109237404032848,-0.01479649496345381
2019-06-30,2018-01-02,2019-06-28,375,0.4757986312881291,2.6450184916494995e-05,0.23183176011518675,0.6843167663441707,0.014796418920485492,2.6879999999999997,-0.017481289032995617,0.061301222047402064,-0.015481282722486833
2019-07-31,2018-02-01,2019-07-31,376,0.3980293970383797,2.5751152615837626e-05,0.23094102792848403,0.6841984334697271,0.01046695905410174,2.6808510638297873,-0.017481289032995617,0.061301222047402064,-0.015481282722486833
2019-08-31,2018-03-01,2019-08-30,379,0.38390755638628754,2.3364522284662793e-05,0.18646517710262472,0.7273475199519029,0.015489591906558456,2.6596306068601585,-0.017481289032995617,0.061301222047402064,-0.015481282722486833
2019-09-30,2018-04-02,2019-09-30,378,0.3583031037091274,1.4883687541681399e-05,0.1337527154167878,0.800816740900702,0.012636458450345013,2.6666666666666665,-0.04310078738254619,0.014258144351800818,-0.04208778616940423
