date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0,eta_v,kappa_q,theta_q,v0_q,n_quotes,q_success,q_explosive
2014-01-02,2012-07-03,2014-01-02,379,0.3665358068990793,20.0,0.07150991508182132,3.0,0.24397559293578486,0.030917371770247122,19.26498903364464,0.735010966355361,1.945818997406575,0.048377571234644104,24,True,False
2014-01-31,2012-08-01,2014-01-31,379,0.28599894016204574,20.0,0.07776217877003253,3.0,-0.03190508226339116,0.23420530656311425,-39.394223537772476,59.394223537772476,0.026185098192445848,0.9735105524078722,24,True,False
2014-02-28,2012-08-29,2014-02-28,378,0.25742788420763735,20.0,0.07997966269155303,3.0,0.017236867869402348,0.25130418018708467,-0.14470934498447197,20.144709344984474,0.07940512947779607,0.06149864712094591,23,True,False
2014-03-31,2012-10-01,2014-03-31,377,0.18690678735353258,20.0,0.08032916332033989,3.0,0.007545873140951363,0.045000059313650864,17.929301941760905,2.0706980582390955,0.775865539649476,0.07755640759786538,23,True,False
2014-04-30,2012-10-31,2014-04-30,377,0.16321623741530114,20.0,0.0873277423930456,3.0,-0.08843982372109944,0.23772633973252305,-3.2457113855328057,23.245711385532807,0.07513449766686414,0.20725743579687683,24,True,False
2014-05-31,2012-12-03,2014-05-30,376,0.14418754764360048,20.0,0.08842935061838968,3.0,-0.08828311508665136,0.06859042780434396,-6.720786912922468,26.720786912922467,0.0661876844469908,0.07258730152637884,24,True,False
2014-06-30,2012-12-31,2014-06-30,378,0.18743693024672906,20.0,0.08925292861027177,3.0,-0.07088178130850452,0.07364946569622476,6.588917353271624,13.411082646728376,0.13310324149265454,0.08550082182899639,24,True,False
2014-07-31,2013-02-01,2014-07-31,378,0.10970426697732952,20.0,0.09289139512570685,3.0,-0.13169321810261614,0.20522046745663497,-4.257362215089623,24.25736221508962,0.0765882079857162,0.06410006383877916,24,True,False
2014-08-31,2013-03-01,2014-08-29,380,0.16522365856843177,20.0,0.09111387875768927,3.0,-0.13567638252207273,0.03543236686513141,-11.249250843630795,31.249250843630797,0.05831428037338696,0.06499533195749958,24,True,False
2014-09-30,2013-04-01,2014-09-30,381,0.1260531468434425,20.0,0.09108488860026412,3.0,-0.13936306586487548,0.05258933389055064,9.833294957058312,10.166705042941688,0.1791827110465853,0.0730527311823639,24,True,False
2014-10-31,2013-05-01,2014-10-31,382,0.12219551347334036,20.0,0.09145557415165621,3.0,-0.16788126616401183,0.1405973543454522,-6.678982154966359,26.67898215496636,0.06856001748524843,0.07142482998092056,24,True,False
2014-11-30,2013-05-31,2014-11-28,380,0.15804762627623917,20.0,0.09206194960231955,3.0,-0.16452164171525954,0.05353237439688743,-1.490082088306239,21.490082088306238,0.08567854624660999,0.10989871762730122,24,True,False
2014-12-31,2013-07-01,2014-12-31,381,0.07354650377449776,20.0,0.09357974719018426,3.0,-0.17683947486479148,0.06051038622138772,19.689871577682222,0.3101284223177778,6.034902992173761,0.07000349705754723,24,True,False
