date,window_start,window_end,n_days,p_uu,p_du,p_ud,p_dd,p_hh,p_ll,p_lh,p_hl,mu_u_l,sig_u_l,mu_u_h,sig_u_h,mu_d_l,sig_d_l,mu_d_h,sig_d_h,last_up,last_wild,p_u,p_h
2008-08-01,2007-02-02,2008-08-01,378,0.5071428571428571,0.4928571428571429,0.6101190476190477,0.3898809523809524,0.4947089947089947,0.4947089947089947,0.5052910052910053,0.5052910052910053,-5.042206722367582,0.57283151662571,-3.590643539241885,0.40575090238373074,-5.133680991056791,0.5953224184105083,-3.49995226782632,0.4868686196823851,0.0,0.0,0.5543766578249337,0.4986737400530504
2008-08-31,2007-03-01,2008-08-29,380,0.509478672985782,0.490521327014218,0.606508875739645,0.39349112426035504,0.4947089947089947,0.5,0.5,0.5052910052910053,-4.987907803698944,0.5577513951670777,-3.5836200741675186,0.4035909420320528,-5.086028497898713,0.5897674538059329,-3.5108918918885412,0.4873246417422622,0.0,1.0,0.554089709762533,0.49868073878627966
2008-09-30,2007-04-02,2008-09-30,379,0.5122549019607843,0.48774509803921573,0.5685714285714285,0.43142857142857144,0.5211640211640212,0.5184210526315789,0.4815789473684211,0.47883597883597884,-4.924669121751864,0.538719636974223,-3.5372076857935157,0.4123022026288783,-5.041132371560342,0.5925719219995826,-3.468289334952292,0.6111743773371273,1.0,1.0,0.5396825396825397,0.5
2008-10-31,2007-05-01,2008-10-31,382,0.5097560975609756,0.4902439024390244,0.5677966101694916,0.4322033898305085,0.5342105263157895,0.5338541666666666,0.46614583333333337,0.46578947368421053,-4.823014454098464,0.532949592396158,-3.448381923644166,0.48173867571283213,-4.940920446484457,0.5740397928657721,-3.3682291663482586,0.5796716740065085,0.0,1.0,0.5354330708661418,0.49868766404199477
2008-11-30,2007-05-31,2008-11-28,380,0.46923076923076923,0.5307692307692308,0.5540540540540541,0.44594594594594594,0.5582010582010583,0.56282722513089,0.43717277486911,0.44179894179894175,-4.73858506724423,0.5282468268503945,-3.377148983741988,0.4924174929975978,-4.870842447414314,0.5623621333254001,-3.3193288077761336,0.5543555935474069,0.0,1.0,0.5118733509234829,0.49868073878627966
2008-12-31,2007-07-02,2008-12-31,380,0.46649484536082475,0.5335051546391752,0.5564516129032258,0.4435483870967742,0.5657894736842105,0.5657894736842105,0.4342105263157895,0.4342105263157895,-4.757256087439264,0.531508109300652,-3.356458504362314,0.48135736075533536,-4.829574162683914,0.5700640293556531,-3.2693128940117164,0.5312753160728582,0.0,0.0,0.5092348284960422,0.49868073878627966
2009-01-31,2007-08-01,2009-01-30,379,0.4605263157894737,0.5394736842105263,0.5398936170212766,0.4601063829787234,0.5611702127659575,0.5657894736842105,0.4342105263157895,0.43882978723404253,-4.713159301944087,0.5214240225253673,-3.3270917829699194,0.4738044585260529,-4.74986731390036,0.5549073076664994,-3.284198967859704,0.5317830660156548,0.0,1.0,0.5013262599469496,0.4986737400530504
2009-02-28,2007-08-29,2009-02-27,378,0.468586387434555,0.531413612565445,0.5456989247311828,0.4543010752688172,0.5476190476190477,0.550531914893617,0.44946808510638303,0.45238095238095233,-4.729459482576359,0.5162752292250673,-3.338555572830644,0.4798467496840443,-4.790112498772338,0.5654465653171673,-3.284035728122441,0.5321062334103387,1.0,0.0,0.5079787234042553,0.5
2009-03-31,2007-10-01,2009-03-31,378,0.46296296296296297,0.537037037037037,0.5398936170212766,0.4601063829787234,0.5529100529100529,0.550531914893617,0.44946808510638303,0.4470899470899471,-4.7444056450125744,0.5365497987645856,-3.3092595373668368,0.46987790844720817,-4.756569508160619,0.5670790180925767,-3.28840806303231,0.5313339634292109,1.0,0.0,0.5026595744680851,0.5
2009-04-30,2007-10-31,2009-04-30,377,0.4605263157894737,0.5394736842105263,0.5510752688172043,0.4489247311827957,0.550531914893617,0.550531914893617,0.44946808510638303,0.44946808510638303,-4.7501696598165655,0.5347263410405536,-3.3202357161351927,0.4691146559563028,-4.693591667362957,0.5487736970139543,-3.274667055083767,0.5267107957602506,1.0,0.0,0.5066666666666667,0.49866666666666665
2009-05-31,2007-12-03,2009-05-29,375,0.4790575916230366,0.5209424083769634,0.5491803278688525,0.45081967213114754,0.5267379679144385,0.5267379679144385,0.4732620320855615,0.4732620320855615,-4.780423116988026,0.5464443056208967,-3.3140379514874887,0.4517500412917182,-4.7285928053788275,0.556674730538574,-3.301152734738331,0.5337231590552516,1.0,0.0,0.5120643431635389,0.49865951742627346
2009-06-30,2007-12-31,2009-06-30,378,0.4790575916230366,0.5209424083769634,0.5403225806451613,0.4596774193548387,0.5211640211640212,0.5186170212765957,0.4813829787234043,0.47883597883597884,-4.782015011164815,0.5448016263260916,-3.3151552583945993,0.45457110680759555,-4.765292653556455,0.54761911869576,-3.324892147105574,0.5424615040240833,1.0,0.0,0.5079787234042553,0.5
2009-07-31,2008-02-01,2009-07-31,378,0.49747474747474746,0.5025252525252526,0.5583333333333333,0.44166666666666665,0.5211640211640212,0.5211640211640212,0.47883597883597884,0.47883597883597884,-4.804211302593786,0.5477226757555013,-3.3349928092366032,0.4601146643469493,-4.86525680728603,0.5686967680289503,-3.3911378662501805,0.5554740722812019,1.0,0.0,0.5251989389920424,0.4986737400530504
