date,window_start,window_end,n_days,p_uu,p_du,p_ud,p_dd,mu_u,sig_u,mu_d,sig_d,last_up,p_u,ai_loss,ai_adam
2018-10-01,2017-04-03,2018-10-01,378,0.5753504773061389,0.42464952269386114,0.7449484504151358,0.25505154958486415,0.015221196793956768,0.006564010428502145,0.0074470396295090975,0.004121034955081135,1.0,0.5748663101604278,0.6733756059483076,1.0
2018-10-31,2017-05-01,2018-10-31,381,0.5388376238264331,0.4611623761735669,0.6983076383005216,0.3016923616994784,0.01214500786013679,0.005948261430911317,0.009285810795230913,0.005198725955096123,1.0,0.5676392572944297,0.3578920462370433,1.0
2018-11-30,2017-05-31,2018-11-30,381,0.5593509285281529,0.44064907147184706,0.6679622070983858,0.33203779290161417,0.01197010228068464,0.007776161474436128,0.010253096128272523,0.006318444364432284,1.0,0.5649867374005305,0.2421451199565919,1.0
2018-12-31,2017-07-03,2018-12-31,377,0.4961428647478998,0.5038571352521002,0.7489341569283121,0.25106584307168794,0.013727173585574522,0.004715331718727632,0.010927183876513265,0.005949957708972225,1.0,0.5683646112600537,0.4510832860637921,1.0
2019-01-31,2017-08-01,2019-01-31,378,0.5143614559399646,0.48563854406003537,0.6579245856786013,0.3420754143213987,0.010584323646470247,0.006399505803277699,0.011699941292586367,0.009634657918079716,0.0,0.5668449197860963,0.21572596259107749,1.0
2019-02-28,2017-08-29,2019-02-28,377,0.5159971436691859,0.4840028563308141,0.6581458347024023,0.34185416529759766,0.01149366851487142,0.006125006590385983,0.011995809086163614,0.009363300659681552,0.0,0.5683646112600537,0.21787628147168173,1.0
2019-03-31,2017-10-02,2019-03-29,375,0.5110168233063385,0.48898317669366154,0.7638773022228107,0.23612269777718928,0.014174023850382139,0.004674303024876801,0.011008335497271966,0.005437249799585804,1.0,0.5779569892473119,0.4977946839088918,1.0
2019-04-30,2017-10-31,2019-04-30,375,0.511920340252429,0.48807965974757095,0.759588115258836,0.2404118847411641,0.017046607281876906,0.006275643753413311,0.0104360060345176,0.005327462745550182,1.0,0.5737265415549598,0.5529586047187619,1.0
2019-05-31,2017-12-01,2019-05-31,375,0.5507726217078818,0.44922737829211823,0.634763473754312,0.36523652624568803,0.017847275604640195,0.006104928381069569,0.011894489884522706,0.007474564662731461,0.0,0.5614973262032086,0.4294951562306066,1.0
2019-06-30,2018-01-02,2019-06-28,375,0.5255031709396245,0.4744968290603755,0.6999828307056989,0.3000171692943011,0.01774569560226182,0.005728172403790707,0.011767260316224252,0.006806143910714404,0.0,0.5748663101604278,0.4540022631337263,1.0
2019-07-31,2018-02-01,2019-07-31,376,0.5317769272795989,0.4682230727204011,0.6642654499046903,0.3357345500953097,0.015953513474317053,0.006132415605883856,0.011826093828750718,0.006858013128512204,0.0,0.5721925133689839,0.3515076312146957,1.0
2019-08-31,2018-03-01,2019-08-30,379,0.5294964317940467,0.4705035682059533,0.6675086429467313,0.3324913570532687,0.015356800340799368,0.005597434414086304,0.011293353728907763,0.006568333673750052,0.0,0.5702917771883289,0.35667864753439504,1.0
2019-09-30,2018-04-02,2019-09-30,378,0.44363689390697086,0.5563631060930292,0.701126792028641,0.298873207971359,0.01687598302799843,0.004537421042163487,0.010555066938580519,0.005265722127201081,1.0,0.5691489361702128,0.500832903533069,1.0
