ticker,date,window_start,window_end,n_days,mu,sigma,lam,mu_j,sigma_j,kappa
AAPL,2008-01-02,2007-07-03,2008-01-02,127,0.7481422179251709,0.41677867201778396,1.984251968503937,0.10017073341069183,0.0,0.10535962378461439
AAPL,2008-01-03,2007-07-05,2008-01-03,127,0.653890188974569,0.41212210314885117,1.984251968503937,0.10017073341069183,0.0,0.10535962378461439
AAPL,2008-01-04,2007-07-05,2008-01-04,128,0.4911801259624886,0.4266068221656451,1.96875,0.10017073341069183,0.0,0.10535962378461439
AAPL,2008-01-07,2007-07-09,2008-01-07,127,0.38903272823000723,0.4249852190131002,1.984251968503937,0.10017073341069183,0.0,0.10535962378461439
AAPL,2008-01-08,2007-07-09,2008-01-08,128,0.3132769475435382,0.4268215598766603,1.96875,0.10017073341069183,0.0,0.10535962378461439
AAPL,2008-01-09,2007-07-10,2008-01-09,128,0.4353000925227787,0.43066073554352574,1.96875,0.10017073341069183,0.0,0.10535962378461439
AAPL,2008-01-10,2007-07-11,2008-01-10,128,0.3894589977460139,0.4305092392535763,1.96875,0.10017073341069183,0.0,0.10535962378461439
AAPL,2008-01-11,2007-07-12,2008-01-11,128,0.32854438778881223,0.43294225708464174,1.96875,0.10017073341069183,0.0,0.10535962378461439
AAPL,2008-01-14,2007-07-16,2008-01-14,127,0.3213798548932476,0.4354229010553462,1.984251968503937,0.10017073341069183,0.0,0.10535962378461439
AAPL,2008-01-15,2007-07-16,2008-01-15,128,0.20769014782543466,0.44129238169227075,1.96875,0.10017073341069183,0.0,0.10535962378461439
AAPL,2008-01-16,2007-07-17,2008-01-16,128,0.08883950303978735,0.44893745880305086,1.96875,0.10017073341069183,0.0,0.10535962378461439
AAPL,2008-01-17,2007-07-18,2008-01-17,128,0.09271224205032001,0.4489864875214098,1.96875,0.10017073341069183,0.0,0.10535962378461439
AAPL,2008-01-18,2007-07-19,2008-01-18,128,0.10981815763892078,0.4488883844961263,1.96875,0.10017073341069183,0.0,0.10535962378461439
AAPL,2008-01-22,2007-07-23,2008-01-22,127,-0.04140173536264591,0.45190920400396106,1.984251968503937,0.10017073341069183,0.0,0.10535962378461439
AAPL,2008-01-23,2007-07-24,2008-01-23,127,-0.04103151013625623,0.39950262054198654,3.968503937007874,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-01-24,2007-07-25,2008-01-24,127,0.0355754659589138,0.3910116504832096,3.968503937007874,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-01-25,2007-07-26,2008-01-25,127,-0.08440636749309767,0.3946922040481308,3.968503937007874,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-01-28,2007-07-30,2008-01-28,126,-0.1803879872659094,0.3857344350689139,4.0,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-01-29,2007-07-30,2008-01-29,127,-0.15535774779819833,0.38459678406864334,3.968503937007874,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-01-30,2007-07-31,2008-01-30,127,-0.11136959122975602,0.38397924595008365,3.968503937007874,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-01-31,2007-08-01,2008-01-31,127,0.07933729635960543,0.3722893072662752,3.968503937007874,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-01,2007-08-02,2008-02-01,127,0.00623883040347939,0.3711003195007286,3.968503937007874,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-04,2007-08-06,2008-02-04,126,0.02210974383611196,0.3696952971801636,4.0,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-05,2007-08-06,2008-02-05,127,-0.013444395514193127,0.369045283265005,3.968503937007874,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-06,2007-08-07,2008-02-06,127,-0.18286324037760676,0.37629640873631187,3.968503937007874,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-07,2007-08-08,2008-02-07,127,-0.19218017462299827,0.3763727539876587,3.968503937007874,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-08,2007-08-09,2008-02-08,127,-0.10759549274795052,0.37949871154391973,3.968503937007874,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-11,2007-08-13,2008-02-11,126,0.0962851301960126,0.37420110080118435,4.0,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-12,2007-08-13,2008-02-12,127,0.022733950411363793,0.3762120896909878,3.968503937007874,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-13,2007-08-14,2008-02-13,127,0.05023235734698298,0.378298303602427,3.968503937007874,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-14,2007-08-15,2008-02-14,127,0.07998758690810769,0.3765274016613488,3.968503937007874,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-15,2007-08-16,2008-02-15,127,0.10299322669642944,0.37480080576039887,3.968503937007874,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-19,2007-08-20,2008-02-19,126,0.027191517594076224,0.37110050746021905,4.0,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-20,2007-08-21,2008-02-20,126,0.05162713336568188,0.37157484750960357,4.0,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-21,2007-08-22,2008-02-21,126,-0.07321079551989196,0.36746306227287395,4.0,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-22,2007-08-23,2008-02-22,126,-0.185503424311102,0.364122670589191,4.0,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-25,2007-08-27,2008-02-25,125,-0.22490342544488418,0.3623661952394799,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-26,2007-08-27,2008-02-26,126,-0.23312859925409515,0.36094928161287315,4.0,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-27,2007-08-28,2008-02-27,126,-0.12282391080527978,0.36250145827079405,4.0,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-28,2007-08-29,2008-02-28,126,0.07411789866462058,0.36610646017869364,4.0,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-02-29,2007-08-30,2008-02-29,126,-0.11698832170643363,0.36150427667791846,4.0,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-03,2007-09-04,2008-03-03,125,-0.2387292237324354,0.3632351113757104,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-04,2007-09-05,2008-03-04,125,-0.27301420394540227,0.36013885295452575,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-05,2007-09-06,2008-03-05,125,-0.16719028397944388,0.35250554227686337,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-06,2007-09-07,2008-03-06,125,-0.20024659818420554,0.3543730094723698,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-07,2007-09-10,2008-03-07,125,-0.12823829519508795,0.3531662293612938,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-10,2007-09-11,2008-03-10,125,-0.24700107174585695,0.3502681968005098,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-11,2007-09-12,2008-03-11,125,-0.1015408594449379,0.3613448016095992,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-12,2007-09-13,2008-03-12,125,-0.14335021470412102,0.36130336091866105,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-13,2007-09-14,2008-03-13,125,-0.11776654345688813,0.3619635079639004,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-14,2007-09-17,2008-03-14,125,-0.1630774272158484,0.36180751754666535,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-17,2007-09-18,2008-03-17,125,-0.15522298521791378,0.361802156324203,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-18,2007-09-19,2008-03-18,125,-0.09588263310690878,0.36713869811593386,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-19,2007-09-20,2008-03-19,125,-0.14287561605693422,0.3686551360435821,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-20,2007-09-21,2008-03-20,125,-0.08006513077402205,0.3707768164935681,4.032,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-24,2007-09-25,2008-03-24,124,-0.10002551996354177,0.3738581114850855,4.064516129032258,-0.00619869473177781,0.15042908790095094,0.005128868357051175
AAPL,2008-03-25,2007-09-26,2008-03-25,124,-0.14582574162752884,0.3711746687337673,4.064516129032258,-0.00619869473177781,0.15042908790095094,0.005128868357051175
