date,window_start,window_end,n_days,p_uu,p_du,p_ud,p_dd,mu_u,sig_u,mu_d,sig_d,last_up,p_u
2008-08-01,2007-02-02,2008-08-01,378,0.49184782608695654,0.5081521739130435,0.4921052631578947,0.5078947368421053,0.010169199677276499,0.011807965394427487,0.011195606822449411,0.011276114212474908,0.0,0.4906166219839142
2008-08-31,2007-03-01,2008-08-29,380,0.49184782608695654,0.5081521739130435,0.4895287958115183,0.5104712041884817,0.01092879000521125,0.011968943244120891,0.01086897646625226,0.011059204172654189,0.0,0.4893048128342246
2008-09-30,2007-04-02,2008-09-30,379,0.5027173913043478,0.4972826086956522,0.48684210526315785,0.5131578947368421,0.011550535425439297,0.012649254296135098,0.010866183262791223,0.012956318149287093,1.0,0.4932975871313673
2008-10-31,2007-05-01,2008-10-31,382,0.4661016949152542,0.5338983050847458,0.4675,0.5325,0.00831021365470001,0.018533964177078956,0.011624197137760445,0.015446485585918513,0.0,0.46808510638297873
2008-11-30,2007-05-31,2008-11-28,380,0.4415204678362573,0.5584795321637427,0.4681372549019608,0.5318627450980392,0.010040878042303188,0.020453261461296803,0.012892268061260457,0.01684472831981832,0.0,0.45454545454545453
2008-12-31,2007-07-02,2008-12-31,380,0.45058139534883723,0.5494186046511628,0.4632352941176471,0.5367647058823529,0.011650889962494054,0.02078785607464194,0.013717955053368806,0.01764365209009277,1.0,0.45866666666666667
2009-01-31,2007-08-01,2009-01-30,379,0.4542857142857143,0.5457142857142857,0.47250000000000003,0.5275,0.013036238728881641,0.0207952079851436,0.014286563374571987,0.019727041175491834,0.0,0.46524064171123
2009-02-28,2007-08-29,2009-02-27,378,0.4511494252873563,0.5488505747126438,0.47250000000000003,0.5275,0.014018811349636277,0.020906498109761616,0.014937585785535456,0.019901876275363804,0.0,0.46380697050938335
2009-03-31,2007-10-01,2009-03-31,378,0.4479768786127168,0.5520231213872833,0.47277227722772275,0.5272277227722773,0.0154042261295692,0.02206036193711299,0.016253594571207723,0.01991806892947792,1.0,0.4625668449197861
2009-04-30,2007-10-31,2009-04-30,377,0.43154761904761907,0.5684523809523809,0.46359223300970875,0.5364077669902912,0.01630689099850212,0.022624187312755804,0.01672771803611981,0.019731545025052387,1.0,0.450402144772118
2009-05-31,2007-12-03,2009-05-29,375,0.4349112426035503,0.5650887573964497,0.47536945812807885,0.5246305418719212,0.016440711201848646,0.02248455298462825,0.016547438524336724,0.019860222587572723,1.0,0.4555256064690027
2009-06-30,2007-12-31,2009-06-30,378,0.4479768786127168,0.5520231213872833,0.47512437810945274,0.5248756218905473,0.01632799708032351,0.022278275665302646,0.01647565652351589,0.01993354656484311,0.0,0.46112600536193027
2009-07-31,2008-02-01,2009-07-31,378,0.45786516853932585,0.5421348314606742,0.49234693877551017,0.5076530612244898,0.01620359785883558,0.022097722233060915,0.016633576912347646,0.020608112512959423,0.0,0.4745308310991957
