date,window_start,window_end,n_days,mu,sigma
2018-10-01,2017-04-03,2018-10-01,378,0.5438359073244179,0.24124977781561668
2018-10-31,2017-05-01,2018-10-31,381,0.3616176320856647,0.27938579989328854
2018-11-30,2017-05-31,2018-11-30,381,0.34931736055146795,0.29919744193563497
2018-12-31,2017-07-03,2018-12-31,377,0.2936440160910128,0.3260097931361377
2019-01-31,2017-08-01,2019-01-31,378,0.3692539571547038,0.3342123510334416
2019-02-28,2017-08-29,2019-02-28,377,0.3676955259993606,0.33784072317012714
2019-03-31,2017-10-02,2019-03-29,375,0.41425528231825537,0.3409499264026181
2019-04-30,2017-10-31,2019-04-30,375,0.36999630325353544,0.3264117382919961
2019-05-31,2017-12-01,2019-05-31,375,0.27624807572058524,0.32932757256057793
2019-06-30,2018-01-02,2019-06-28,375,0.32386705074734157,0.3330056006241069
2019-07-31,2018-02-01,2019-07-31,376,0.16891895144148783,0.3312721570886906
2019-08-31,2018-03-01,2019-08-30,379,0.10691454541441098,0.3254120921017563
2019-09-30,2018-04-02,2019-09-30,378,0.12120296474976773,0.31928958548048453
