date,ticker,mu,omega,alpha,beta,lam,kappa,sigma0,mu_j,sigma_j
2019-01-02,AAPL,0.11157421199047567,9.496643392691875e-06,0.049014585075801885,0.9376248711405406,4.0,-0.0017335660182598023,0.027359673407176478,-0.005696090758017913,0.08900584672173895
2019-01-02,MSFT,0.03837865023198539,1.4709976133824105e-05,0.1441588309564282,0.8341594240315553,2.0,-0.054337937660027924,0.028188183074597528,-0.05587000172180101,0.0
2019-01-02,SPY,0.2708621955014851,4.600189570558383e-06,0.14485983065062025,0.8388434065858758,2.0,-0.032824868605786706,0.02022033428188909,-0.03337569197012158,0.0
