date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0
2019-09-03,2018-03-05,2019-09-03,378,0.05136115058329398,19.999998600231027,0.03262054293974833,2.2686229738515915,-0.8073986512326555,0.04995269920586845
2019-09-30,2018-04-02,2019-09-30,378,0.07959802138718312,19.999999992776356,0.034796020687629485,2.1191830683589585,-0.7816710439059499,0.018117636572864533
2019-10-31,2018-05-01,2019-10-31,380,0.09083054650259503,5.622534087313819,0.05552851431665611,1.9432023330026493,-0.7544343949210637,0.011556384463793222
2019-11-30,2018-05-31,2019-11-29,379,0.09451832208601132,19.999999999998316,0.013440397613472613,1.6643534664959743,-0.5731705709784753,0.008976629349949573
2019-12-31,2018-07-02,2019-12-31,378,0.11465244724177144,12.081037627813952,0.0328320575411879,1.8869526785327047,-0.7231049680030137,0.007588336554061931
2020-01-31,2018-08-01,2020-01-31,378,0.0900791117221645,19.999999323700653,0.02824556329683759,1.9035073677337975,-0.8308774503652804,0.032819447211313614
2020-02-29,2018-08-30,2020-02-28,376,0.009074817363094113,19.999999999999996,0.026632124589247606,3.9999999999968736,-0.672409086299067,0.13835612309894846
2020-03-31,2018-10-01,2020-03-31,377,-0.08041562385818661,19.999999999999513,0.187763768163495,3.9999999998581863,-0.9899999735754818,0.6776320320164686
2020-04-30,2018-10-31,2020-04-30,376,0.0547908300227558,13.182576339386593,0.12571396948076988,3.9999999997471565,-0.6469290671867037,0.086054726897075
2020-05-31,2018-12-03,2020-05-29,374,0.0654940459100358,11.6832207524107,0.06446768408743715,1.7225136579309976,-0.7934357018561982,0.06274237932552844
2020-06-30,2018-12-31,2020-06-30,378,0.14726591188398727,1.0387014882227237,0.7645518688277464,2.856289109827234,-0.7306288735509552,0.07717892711728885
2020-07-31,2019-02-01,2020-07-31,378,0.12678927654672317,14.944860828702385,0.09156488810959966,3.9973006371948316,-0.7314432949679222,0.05433154831915562
2020-08-31,2019-03-01,2020-08-31,380,0.15116065349257013,8.991452698056026,0.07209032360030433,2.4581073522367367,-0.6562468636121592,0.02433255626313306
