timestamp,S_t,p25,p50,p75
2019-09-03,130.407608,130.407608,130.407608,130.407608
2019-09-04,131.931763,129.30156976204034,131.0575539594086,132.25508612065298
2019-09-05,134.251556,128.9928854146843,130.95786863913048,132.91695526580202
2019-09-06,133.340866,128.73622326661194,131.16398223105176,133.47258741687693
2019-09-09,131.826309,128.66025432978392,131.28263913659194,133.98335583290145
2019-09-10,130.445953,128.47950941414564,131.45781843135416,134.37018024803766
2019-09-11,130.484253,128.34976684956243,131.65125452214306,134.86165027900955
2019-09-12,131.826309,128.201632569468,131.80336931742693,135.33653298657094
2019-09-13,131.634628,128.14855048970892,131.9399392319928,135.78796839120264
2019-09-16,130.685608,128.05358671230198,132.10985328613435,136.15584570724118
2019-09-17,131.701675,128.0698435306351,132.3044978942819,136.51457584721518
2019-09-18,132.784927,127.95642996968809,132.48039623531974,136.8805293313202
2019-09-19,135.22934,127.98066632078704,132.55732923733416,137.1952670451774
2019-09-20,133.666794,127.90222042093855,132.65572216827042,137.50692221634154
2019-09-23,133.379227,127.9044377138417,132.82272763480236,137.8468908888661
2019-09-24,131.692123,127.81651781966912,132.9776976984528,138.2232520214343
2019-09-25,133.590118,127.80676343902198,133.15151143374675,138.6327003225415
2019-09-26,133.762665,127.79430360817467,133.2474577820079,138.8664782164084
2019-09-27,132.027618,127.84159781184263,133.49260466405,139.11643906062972
2019-09-30,133.273804,127.74557273782419,133.5649022800696,139.47238687459392
2019-10-01,131.394928,127.7250548368292,133.83789990885276,139.7994095944216
2019-10-02,129.075119,127.86056182029505,133.90340569484476,140.1201645730204
2019-10-03,130.637634,127.91921461024923,134.07793288480295,140.47227939256604
2019-10-04,132.401459,128.00002907895282,134.2655824986848,140.8853850348473
2019-10-07,131.442871,127.99910053520196,134.37684575357378,141.1525734271408
2019-10-08,130.052902,127.99916430142557,134.47539375410486,141.4372273654612
2019-10-09,132.51651,128.07477877909912,134.61616967438255,141.8454160735117
2019-10-10,133.340866,128.01116649955938,134.89145903435616,142.15909789358525
2019-10-11,133.896896,128.09626989884939,135.0195857814874,142.28987273165086
2019-10-14,133.772263,128.18858788843227,135.19370022099753,142.6815266312499
2019-10-15,135.708633,128.15428393858178,135.3398033756016,142.8767929127031
2019-10-16,134.59668,128.19813142209125,135.43993443916423,143.3029749042573
2019-10-17,133.906479,128.18728758835124,135.64573880331432,143.6527767744862
2019-10-18,131.720871,128.2712858708415,135.67929384213886,143.89200395519143
2019-10-21,132.698639,128.430667539815,136.03222556870702,144.12408825518713
2019-10-22,130.723938,128.44261236755256,136.12166437632163,144.30790901712186
2019-10-23,131.557892,128.40153706059562,136.27946101046768,144.65795441457306
2019-10-24,134.146118,128.4681138049936,136.45969121263283,144.89247699331352
2019-10-25,134.903412,128.50362662358498,136.6136753497129,145.25264656975915
2019-10-28,138.220139,128.51375647293133,136.7041269202174,145.51125128722526
2019-10-29,136.916504,128.58102797653325,136.80472598716898,145.80184379038351
2019-10-30,138.622742,128.577054055551,136.93116192164382,146.12642174051155
2019-10-31,137.434067,128.60584059328096,137.13622215614748,146.29312476979948
2019-11-01,137.769608,128.60525782020562,137.38050220132482,146.70868149994797
2019-11-04,138.565216,128.63475802181108,137.5086123524608,146.92692051625772
2019-11-05,138.478973,128.74678939198122,137.6614386259613,147.25134567063026
2019-11-06,138.095551,128.81367523911817,137.7974734209564,147.6275793018898
2019-11-07,138.287277,128.81691241367275,137.99202997010926,147.83553331830012
2019-11-08,139.916885,128.93801303779472,138.11175248804642,148.154759691415
2019-11-11,140.060638,129.02508278895527,138.32800733963904,148.24901508297148
2019-11-12,140.980957,129.07742954052088,138.34254080605075,148.5707497630582
2019-11-13,141.210922,129.16317167750194,138.61200925929143,148.8543085468284
2019-11-14,141.929916,129.2361447069421,138.90898768213953,149.01581560836473
