date,window_start,window_end,n_days,mu,kappa,theta,xi,rho,v0,lam,mu_j,sigma_j,kappa_j
2014-01-02,2012-07-03,2014-01-02,379,-0.023364523865930048,19.999998903578337,0.09115998131840139,1.2054468656286015,0.3663385897354018,0.03199749676372701,3.324538258575198,-0.048264713429480556,0.0730623324495465,-0.04457179922517385
2014-01-31,2012-08-01,2014-01-31,379,-0.10987230799809374,19.999999999997918,0.00010000000018527578,3.999999999993595,-0.006199217497096082,0.234195676168008,3.9894459102902373,-0.05410443206328922,0.06689616895388523,-0.05054475326994823
2014-02-28,2012-08-29,2014-02-28,378,-0.14221527903109826,19.999999999999996,0.02345408363445041,1.3360794549869337,0.17637724478836228,0.03082437638722192,4.0,-0.05410443206328922,0.06689616895388523,-0.05054475326994823
2014-03-31,2012-10-01,2014-03-31,377,-0.12171548830591282,19.090590139667345,0.04540709776403337,1.8571404661744912,-0.0589856950559335,0.011111131845426675,4.010610079575597,-0.05410443206328922,0.06689616895388523,-0.05054475326994823
2014-04-30,2012-10-31,2014-04-30,377,0.00804592162190328,19.999999999999574,0.008350758070284788,0.28922220114576586,0.9899999999822144,0.02221445045059659,4.679045092838196,-0.03511884310491104,0.07907221994647934,-0.03148628496101813
2014-05-31,2012-12-03,2014-05-30,376,0.07689259148205511,19.99999999999949,0.00833939061134968,1.7068856261591416,0.30229385759940786,0.053063577204531,4.0212765957446805,-0.05257646166219517,0.07030536406923434,-0.048870486966121396
2014-06-30,2012-12-31,2014-06-30,378,0.18699937414427126,16.745213645259177,0.0715540612490423,0.32397011525374286,0.98999999976628,0.00010000000000000002,3.3333333333333335,-0.04978749794598114,0.07823182141275246,-0.045652472239486985
2014-07-31,2013-02-01,2014-07-31,378,0.2807053549878157,19.9999999994263,0.02492938072147553,0.5476040607839041,-0.9899999999996815,0.02212284746061232,4.666666666666667,0.003994996624957154,0.06631539082888772,0.006213083784432305
2014-08-31,2013-03-01,2014-08-29,380,0.3457182894561476,19.999999999999996,0.047815329615284764,1.9234410288223103,0.005515218175024594,0.03486001772632779,4.6421052631578945,0.003994996624957154,0.06631539082888772,0.006213083784432305
2014-09-30,2013-04-01,2014-09-30,381,0.3315353454833195,19.99999999833055,0.07456963427285553,0.9064681965283502,-0.9899999999999853,0.01923091356032329,4.6299212598425195,0.003994996624957154,0.06631539082888772,0.006213083784432305
2014-10-31,2013-05-01,2014-10-31,382,0.376329619521514,11.268780802552762,0.021822035339787545,0.5758633876099077,-0.9899986906523028,0.023606541477789848,4.617801047120419,0.00591485290569725,0.06443798276377137,0.008022992810628127
2014-11-30,2013-05-31,2014-11-28,380,0.4276848639938722,19.99999999999999,0.04151880727191167,1.7169276193529528,-0.3809996163860382,0.04597054671598523,4.6421052631578945,0.00591485290569725,0.06443798276377137,0.008022992810628127
2014-12-31,2013-07-01,2014-12-31,381,0.4632012707127197,19.999999999773024,0.11303201150490745,1.0951914768617061,-0.9899999999999999,0.020596479598766586,4.6299212598425195,0.00591485290569725,0.06443798276377137,0.008022992810628127
